Program name,Level,Program Page url
Couple and Family Therapy,"Master's, doctoral and certificate",https://www.hhs.k-state.edu/cft/
Creative Writing,Master's,https://english.k-state.edu/academics/graduate/ma-creative-writing.html
Curriculum and Instruction,Master's and doctoral,https://coe.k-state.edu/academics/departments/curriculum-instruction/
Cybersecurity,Certificate,https://global.k-state.edu/academics/cybersecurity-certificate/
Data Analytics,Master's and certificate,https://www.k-state.edu/data-analytics/
Diagnostic Medicine/Pathobiology,Master's,https://www.vet.k-state.edu/academics/dmp/graduate/ms-pathobio.html
Dietetics,Master's,https://global.k-state.edu/ag/dietetics/
Drama Therapy,Master's,https://www.k-state.edu/mtd/academics/grad/drama-therapy/
Early Childhood Education,Master's,https://www.k-state.edu/education/academics/graduate-programs/masters-programs/early-childhood-education/
Economics,Doctoral,https://www.k-state.edu/economics/academics/phd/
Education,Master's and doctoral,https://coe.k-state.edu/academics/graduate/
Educational Leadership,Master's and doctoral,https://coe.k-state.edu/academics/departments/educational-leadership/graduate-programs/
Electrical and Computer Engineering,Master's and doctoral,https://www.ece.k-state.edu/academics/grad/
Electrical Engineering,Master's,https://www.ece.k-state.edu/graduate/ms/
Elementary Education,Master's,https://www.k-state.edu/grad/academics/programs/masters/elem-ed/
Engineering,Doctoral,https://engg.k-state.edu/academics/phd/
Engineering Management,Master's and certificate,https://engm.k-state.edu/
English,Master's,https://www.k-state.edu/english/academics/graduate/ma-english/
Entomology,Master's and doctoral,https://entomology.k-state.edu/graduate/
Environmental Design and Planning,Doctoral,https://apdesign.k-state.edu/phd/
Environmental Engineering,Master's,https://www.k-state.edu/grad/academics/programs/environmental-eng/
Evolutionary Biology,Doctoral,https://www.k-state.edu/evol/
Family and Community Services,Master's,https://www.hhs.k-state.edu/ahs/academics/fcs/ms/
Financial Planning,Certificate,https://www.hhs.k-state.edu/pfp/academics/graduate/financial-planning-cert/
Financial Therapy,Certificate,https://online.k-state.edu/programs/financial-therapy-graduate-certificate/
Food Safety and Defense,Certificate,https://global.k-state.edu/ag/food-safety/
Food Science,Master's and doctoral,https://foodsci.k-state.edu/graduate/
"Gender, Women, and Sexuality Studies",Master's and certificate,https://www.k-state.edu/gwss/academics/graduate/
Genetics,Doctoral,https://www.k-state.edu/grad/academics/programs/genetics/
Geography,Master's and doctoral,https://www.k-state.edu/geography/academics/graduate/
Geology,Master's,https://www.k-state.edu/grad/academics/programs/geology/
Gerontology,Master's,https://www.hhs.k-state.edu/aging/academics/masters/
Grain Science,Master's and doctoral,https://www.grains.k-state.edu/academics/graduate/
Grassland Management,Certificate,https://online.k-state.edu/programs/grassland-management-certificate/
History,Master's and doctoral,https://www.k-state.edu/history/graduate/
Horticulture,Master's,https://www.k-state.edu/grad/academics/program-details/horti.html
Horticulture with an emphasis in Urban Food Systems,Master's and certificate,https://online.k-state.edu/programs/urban-food-systems-masters/
Hospitality Administration,Master's and doctoral,https://www.hhs.k-state.edu/hospitality/academics/graduate/
Human-Computer Interaction,Certificate,https://global.k-state.edu/courses/graduate-certificate/human-computer-interaction/
Industrial and Manufacturing Systems Engineering,Master's and doctoral,https://www.imse.k-state.edu/academics/graduate/
Infectious Diseases of Animals,Certificate,https://global.k-state.edu/ag/animal-health/infectious-disease/
Information Security and Assurance,Certificate,https://www.cs.k-state.edu/academics/graduate/certificates/infosec.html
Instructional Design and Technology,Master's,https://coe.k-state.edu/academics/graduate/instructional-design-technology/
Interior Architecture,Master's,https://apdesign.k-state.edu/interior-architecture/academics/miarc/
Interior Architecture and Product Design,Master's,https://apdesign.k-state.edu/iapd/graduate/
Journalism and Mass Communications,Master's,https://www.k-state.edu/grad/academics/program-details/mass-communications/
K-12 School Leadership,Master's,https://coe.k-state.edu/academics/departments/educational-leadership/masters/
Kinesiology,Master's and doctoral,https://www.hhs.k-state.edu/kines/academics/grad/
Landscape Architecture,Master's,https://apdesign.k-state.edu/larcp/academics/mla/
Leadership,Doctoral,https://www.k-state.edu/leadership/academics/phd/
Leadership Communication,Doctoral,https://www.k-state.edu/leadership/academics/phd-communication/
Life Sciences,Master's,https://www.k-state.edu/grad/academics/interdisciplinary/life-sciences/
Literacy Education,Certificate,https://online.k-state.edu/programs/literacy-education-certificate/
Mass Communications,Doctoral,https://www.k-state.edu/jmc/graduate/phd/
Mathematics,Master's and doctoral,https://www.math.k-state.edu/graduate/
Mechanical Engineering,Master's and doctoral,https://www.mne.k-state.edu/graduate/
Microbiology,Master's and doctoral,https://www.k-state.edu/biology/grad/micro/
Modern Languages,Master's,https://www.k-state.edu/mlangs/academics/graduate/ma/
Music,Master's,https://www.k-state.edu/mtd/music/areas/grad/
Nuclear Engineering,Master's and doctoral,https://mne.k-state.edu/academics/grad/nuclear-option/
"Nutrition, Dietetics and Sensory Sciences",Master's and doctoral,https://www.hhs.k-state.edu/fndh/graduate/ndss/
One Health,Certificate,https://global.k-state.edu/ag/one-health/
Operations Research,Master's,https://www.imse.k-state.edu/graduate/msor/
Pathobiology,Doctoral,https://www.vet.k-state.edu/academics/dmp/graduate/phd/
Personal Financial Planning,Master's and doctoral,https://www.hhs.k-state.edu/pfp/
Pet Food Processing,Certificate,https://online.k-state.edu/programs/pet-food-processing-certificate/
Philosophy,Master's,https://www.k-state.edu/philosophy/academics/graduate/
Physical Science,Master's,https://www.k-state.edu/grad/academics/programs/physical-science/
Physics,Master's and doctoral,https://www.k-state.edu/physics/graduate/
Physiology,Doctoral,https://www.vet.k-state.edu/academics/anatomy-physiology/graduate/
Plant Pathology,Master's and doctoral,https://www.plantpath.k-state.edu/graduate/
Political Science,Master's,https://www.k-state.edu/grad/academics/program-details/polscima/
Professional Science Master's,Master's,https://www.k-state.edu/grad/academics/professional-masters/
Psychology,Master's and doctoral,https://www.k-state.edu/psych/graduate/
Public Administration,Master's,https://www.k-state.edu/polsci/academics/mpa/
Public Health,Master's and certificate,https://global.k-state.edu/ag/public-health/
Public Health Core Concepts,Certificate,https://online.k-state.edu/programs/public-health-core-concepts-certificate/
Public Horticulture,Master's,https://hnr.k-state.edu/graduate/ms/public_horticulture/
Regional and Community Planning,Master's,https://apdesign.k-state.edu/larcp/programs/mrcp/
School Counseling,Master's,https://coe.k-state.edu/academics/graduate/school-counseling/
Secondary Education,Master's,https://coe.k-state.edu/academics/mat/
Security Studies,Master's and doctoral,https://www.k-state.edu/securitystudies/
Social Justice Education,Certificate,https://online.k-state.edu/programs/social-justice-education-graduate-certificate/
Social Work,Master's,https://hhs.k-state.edu/socialwork/academics/msw/
Sociology,Master's and doctoral,https://www.k-state.edu/sasw/sociology/grad/
Software Engineering,Master's,https://www.cs.k-state.edu/academics/graduate/msse/
Special Education,Master's,https://coe.k-state.edu/academics/special-education/ms/
Statistics,Master's and doctoral,https://www.k-state.edu/stats/graduate/
Student Affairs in Higher Education,Doctoral,https://coe.k-state.edu/academics/departments/educational-leadership/student-affairs/phd-student-affairs.html
Teaching,Master's,https://coe.k-state.edu/academics/graduate/master-of-arts-in-teaching/
Teaching and Learning,Doctoral,https://coe.k-state.edu/academics/graduate/doctor-philosophy-curriculum-instruction/teaching-learning.html
Teaching English as a Second Language,Certificate,https://global.k-state.edu/english/tesl/
Theatre,Master's,https://www.k-state.edu/mtd/academics/theatre/grad/
Veterinary Biomedical Science,Master's,https://www.k-state.edu/grad/academics/programs/ag-and-vetmed/vet-biomedical-sci/
Veterinary Forensics,Certificate,https://globalcampus.k-state.edu/courses/veterinary-forensics/
Veterinary Public Health,Master's,https://www.k-state.edu/mpm/academics/mph/
Youth Development,Master's,https://online.k-state.edu/programs/youth-development-masters/
Youth Program Development and Evaluation,Certificate,https://www.hhs.k-state.edu/ythdev/graduate/certificates/youth-program-development-evaluation/
