Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Master of Science in Human Security and Resilience,https://www.youtube.com/watch?v=giXF02tKNLc,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Management,https://www.mim-compass.com/universities/embry-riddle-aeronautical-university/master-of-science-in-management-online,,,"The Master of Science in Management (MSM) program is open to students from all undergraduate disciplines. No prior business courses are required. To be considered for admission, applicants must have a bachelor’s degree with a cumulative grade point average (CGPA) of 2.5 or higher from an accredited degree-granting institution. Applicants with a CGPA of less than 2.5 may be considered for conditional admission.",,True,False,False,False,False,False,,,program,
Master of Science in Mechanical Engineering,https://erau.edu/degrees,,,"A completed application. A bachelor's degree in mechanical engineering, aerospace engineering, or a closely related field from an accredited institution. A cumulative grade point average (CGPA) of 3.0 or higher on a 4.0 scale. Applicants who possess a bachelor's degree in a discipline other than those mentioned above (e.g., mathematics, physics, or other engineering disciplines) may be required to complete undergraduate-level prerequisite coursework before being fully admitted to the program. The prerequisite courses are not credited toward the degree. Official transcripts from all previously attended colleges and universities are required. International students may have additional requirements. GRE scores are optional for applicants that meet the CGPA requirement.",,True,True,False,True,False,False,,,program,
Master of Science in Occupational Safety Management,https://erau.edu/degrees,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Space Operations,https://erau.edu/degrees,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Systems Engineering,https://erau.edu/degrees,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Uncrewed Systems,https://erau.edu/degrees,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Aerospace Engineering,https://erau.edu/degrees,Required,Required,The Ph.D. in Aerospace Engineering program seeks to attract students who have already earned a Master of Science in Aerospace Engineering or a closely related engineering field. A Bachelor of Science degree may be considered for exceptional applicants. The ideal applicant should possess a graduate GPA of 3.5 or higher on a 4.0 scale. GRE scores will be considered for all applicants.,Not Required,False,False,False,True,False,False,,,program,
PhD in Aviation,https://erau.edu/degrees,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Aviation with Specialization in Aviation Safety,https://erau.edu/degrees,Required,Required,"Admission to the Ph.D. in Aviation program is competitive. Applicants will be evaluated by the Ph.D. in Aviation Admission Committee. An applicant who satisfies the minimum requirements is not guaranteed admission.
To be considered for admission, applicants must satisfy the following:
1. Hold a master’s degree from an accredited institution with a cumulative grade point average (CGPA) of 3.25 or higher on a 4.0 scale.
    * Applicants without a master’s degree must have completed a bachelor’s degree from an accredited institution with a CGPA of 3.5 or higher and have an acceptable GRE score (155 verbal and 155 quantitative). They must complete a master’s degree before beginning the Ph.D. program. Contact the program chair for more details.
2. Submit official transcripts from all previously attended colleges and universities.
3. Complete a graduate application.
4. Submit a comprehensive resume of professional experience.
5. Provide a statement of purpose that includes the applicant's research interests. This statement should be uploaded to the student portal after submitting the application.
6. Submit three letters of recommendation that speak to the applicant’s ability to conduct doctoral-level research.
7. Submit a writing sample of high quality. Examples include a published article or a master’s thesis.",Required,True,False,False,True,False,False,,,program,
PhD in Aviation with Specialization in Aviation Human Factors,https://www.prnewswire.com/news-releases/embry-riddle-aeronautical-university-introduces-phd-in-human-factors-gains-highest-accreditation-from-sacs-commission-on-colleges-271427091.html,Required,Required,"Admission to the Ph.D. in Aviation program is selective and competitive. Applicants are required to have:
- Completed application for admission to the Ph.D. in Aviation program.
- A master's degree from an accredited institution with a minimum cumulative grade point average (CGPA) of 3.0 on a 4.0 scale. Applicants who do not possess a master's degree can apply to one of the college's MS programs and indicate on the application their interest in the Ph.D. program.
- Official transcripts from all post-secondary institutions attended.
- A current resume or curriculum vitae (CV).
- A statement of purpose (essay) that carefully and specifically addresses the applicant's background and interest in pursuing a doctoral degree in aviation at Embry-Riddle Aeronautical University. The essay should include the applicant's goals and objectives, and which of the Embry-Riddle faculty members they have an interest in working with and why.
- Three letters of recommendation are required to be submitted with the application.
- Official Graduate Record Examination (GRE) scores taken within five years. The verbal reasoning score must be 153 or higher, the quantitative reasoning score must be 152 or higher, and the analytical writing score must be a 4.0 or higher. A waiver of the GRE requirement may be granted for applicants who have a previously earned doctoral degree.
- For international applicants, a Test of English as a Foreign Language (TOEFL) score of 80 on the internet-based (iBT) test, 6.5 on the International English Language Testing System (IELTS), or a 105 on the Duolingo English test may be required.",Not Required,False,False,False,True,False,False,,,program,
PhD in Aviation with Specialization in Aviation Operations,https://erau.edu/degrees/doctoral/aviation,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
PhD in Aviation with Specialization in Intradisciplinary,https://erau.edu/degrees,Required,Required,"Admission to the Ph.D. in Aviation program is competitive. Applicants must hold a master's degree from an accredited institution. Applicants who already hold a doctorate degree may apply. A minimum graduate level GPA of 3.0 is recommended. Since this is an online program, applicants who are not native English speakers must demonstrate English proficiency through one of the approved methods listed on the international admissions page. Due to the research-intensive nature of the Ph.D. program, applicants are expected to have some prior research experience as shown through completion of a thesis or other significant research project. Applicants without thesis/significant research project experience will be considered, but may be required to complete GRAD 700 prior to full admission to the Ph.D. program. The Graduate Record Examination (GRE) is not required for admission. However, submission of scores from the GRE or the Graduate Management Admissions Test (GMAT) will enhance a candidate's application package.",Not Required,True,True,False,False,False,False,,,program,
Doctor of Aviation Business Administration,https://erau.edu/degrees,Required,Required,"The following are the minimum requirements for admission to the Doctor of Aviation Business Administration (D.A.B.A.) program.

Possess a Master’s degree in a business or aviation-related discipline from an accredited institution with a minimum cumulative grade point average (CGPA) of 3.5 on a 4.0 scale.
Have a minimum of three years full-time, professional experience in the aviation/aerospace industry or a business-related field.
Submit a two-page statement of purpose (double-spaced) that addresses the applicant’s background, career goals, and reason for pursuing the D.A.B.A. degree.
Submit a detailed résumé or curriculum vitae that outlines the applicant’s academic and professional experience.
Submit three letters of recommendation from individuals who are well-acquainted with the applicant’s academic and/or professional performance.
Submit official transcripts from all previously attended colleges and universities.
Submit an original writing sample (e.g., published article, research paper) authored by the applicant that demonstrates the applicant’s analytical and writing skills.",Required,True,False,False,False,False,False,,,program,
PhD in Electrical Engineering & Computer Science,https://erau.edu/degrees,Required,Required,"To be considered for admission to the Ph.D. in Electrical Engineering & Computer Science program, applicants must meet the general admissions requirements for the university. In addition, the EECS Department requires the following:

*   A master’s degree in Electrical Engineering, Computer Engineering, Computer Science, or a closely related field from an accredited institution with a minimum cumulative GPA of 3.5.
*   Official transcripts are required from all previously attended colleges and universities.
*   Three letters of recommendation are required.
*   Statement of Objectives.
*   GRE required. Applicants may petition for a waiver of the GRE requirement if they possess a graduate degree from a reputable U.S. university in the field of Electrical Engineering, Computer Engineering, Computer Science, or a closely related discipline, with a GPA of 3.5 or higher. In such a case, the applicant must contact the graduate program coordinator and attach a resume and transcripts for review and approval before submitting the application. International applicants who require a student visa must submit official GRE scores.
*   Resume.
*   A writing sample may be requested by the graduate admissions committee. This sample should demonstrate the applicant’s technical writing ability. Papers from previous coursework, a thesis, or work-related documents that the applicant has authored are acceptable.
*   International applicants whose primary language is not English must score a minimum of 550 (paper based) or 79 (internet based) on the Test of English as a Foreign Language (TOEFL), or a minimum of 6.5 on the International English Language Testing System (IELTS).
*   All students are considered for financial aid at the time of admission. However, to guarantee consideration for a graduate assistantship, applications must be submitted by January 15.",Optional,False,False,True,True,False,False,,,program,
PhD in Engineering Physics,https://erau.edu/degrees,Required,Required,"Admission to the Ph.D. in Engineering Physics program is selective and competitive. Applicants are evaluated on the basis of their demonstrated scholarly aptitude and potential for success in a demanding doctoral program. Required application materials include: Completed Application, Transcripts, GRE Scores (optional for applicants with a graduate degree), Letters of Recommendation, Statement of Objectives, Resume. For International Applicants: TOEFL, IELTS, or Duolingo Scores.",,False,False,True,True,False,False,,,program,
PhD in Human Factors,https://erau.edu/degrees/doctoral/human-factors,Required,Required,"Applicants for the Ph.D. in Human Factors must provide the following:

A completed application.
Transcripts from all institutions attended.
A three- to five-page typed statement of purpose that details the applicant's professional goals and how this degree will help achieve them; relevant experience, including research; and the Embry-Riddle faculty members whose work is of particular interest to the student and why.
A curriculum vitae (CV) or resume outlining the applicant's academic and work history.
Three letters of recommendation.
Scores on the general Graduate Record Exam (GRE) are required. We look for a combined Verbal and Quantitative score of 300 or greater, and an Analytical Writing score of 4.0 or greater. International students may need to submit TOEFL, IELTS or Cambridge English Exam scores.
A research paper or other writing sample (optional, but highly recommended).",Optional,False,False,,True,False,False,,,program,
PhD in Mechanical Engineering,https://erau.edu/degrees,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Certificate in Airline Management,https://erau.edu/degrees,,,"The Worldwide Campus has a rolling admissions policy. It is recommended to apply at least 60 days prior to the start of the term. To apply for an undergraduate program, you will need to submit an online application and official transcripts from all institutions attended. ERAU is test-optional, meaning you can choose whether or not to submit SAT or ACT scores as part of your application. International applicants may be required to submit additional documentation.",,True,False,False,False,False,False,,,program,
Graduate Certificate in Airworthiness Engineering,https://erau.edu/degrees,Required,Not Required,"To be considered for admission to the Graduate Certificate in Airworthiness Engineering program, applicants must have a bachelor's degree in engineering or a closely related discipline with a cumulative grade point average (CGPA) of 3.0 or higher from an accredited degree-granting institution. Applicants with a CGPA less than 3.0 may be considered on a case-by-case basis. In addition, the applicant must also submit: Official transcripts from all attended institutions. Two letters of recommendation. A resumé or curriculum vitae (CV).",Not Required,True,False,False,True,False,False,,,program,
Graduate Certificate in Human Factors,https://erau.edu/degrees,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Graduate Certificate in Marketing,https://erau.edu/degrees,Optional,Optional,Applicants for the Graduate Certificate in Marketing must have a baccalaureate degree from an accredited degree-granting institution with a cumulative grade point average (CGPA) of 2.5 or higher on a 4.0 scale. Applicants who already possess a graduate degree from an accredited degree-granting institution need only submit the graduate application and copies of their graduate and undergraduate transcripts. International applicants are required to meet the University’s English language proficiency requirements.,,True,False,True,False,False,False,,,program,
Graduate Certificate in Project Management,https://erau.edu/degrees,Not Required,Not Required,Applicants for admission to the Embry-Riddle Worldwide graduate certificate programs must have a baccalaureate degree from an accredited degree-granting institution with a cumulative grade point average (CGPA) of 2.5 or higher on a 4.0 scale.,,True,False,False,False,False,False,,,program,
