QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,,,,,,,,,,,,,,,,,Bachelor of Science in Biological Sciences,https://www.buffalo.edu/admissions/academics/programs.html
,School of Engineering and Applied Sciences,,,2,,Fall 2026,,,,,,,,"Merit-based, Need-based",,,Bachelor of Science in Biomedical Engineering,https://www.buffalo.edu/admissions/academics/programs.html
,Jacobs School of Medicine and Biomedical Sciences,,4.0,,,Fall 2026,,,,,,,,Merit-based,4 years,,Bachelor of Science in Biomedical Sciences,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Science in Biotechnology,https://www.buffalo.edu/admissions/academics/programs.html
,School of Management,,,,,Fall 2026,,,,,,,,"Merit-based, Need-based",,,Bachelor of Science in Business Administration,https://www.buffalo.edu/admissions/academics/programs.html
,School of Engineering and Applied Sciences,,,,,Fall 2026,,,,,,,,Merit-based and need-based scholarships are available.,4 Years,,Bachelor of Science in Chemical Engineering,https://www.buffalo.edu/admissions/academics/programs.html
,College of Arts and Sciences,,,,,Fall 2026,,,"$5,517.77/Semester",,$295.00,,,,4 Years,"$7,070/Year",Bachelor of Arts in Chemistry,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Science in Chemistry,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Chinese,https://www.buffalo.edu/admissions/academics/programs.html
,School of Engineering and Applied Sciences,,,2.0,,Fall 2026,,,,,,"Up to $22,000 annually for the Presidential Scholarship for out-of-state students.",,"Merit-based, Need-based",4 years,,Bachelor of Science in Civil Engineering,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Classics,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Communication,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Engineering,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Science,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Criminology,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Fine Arts in Dance,https://www.buffalo.edu/admissions/academics/programs.html
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Arts in Economics,https://www.buffalo.edu/admissions/academics/programs.html
#1 Public university in New York State (QS World University Rankings) [14],School of Engineering and Applied Sciences [5],4.0,4.0,2.5,,Fall 2026,,,,,,,,Merit-based scholarships,4 years [29],,Bachelor of Science in Electrical Engineering,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Science in Engineering Physics,https://www.buffalo.edu/admissions/academics/programs.html
410,College of Arts and Sciences,,4.0,,,Fall 2026,,February 1,"$10,782 for in-state students and $30,572 for out-of-state students annually",8375,,,,Merit-based,4 years,,Bachelor of Arts in English,https://www.buffalo.edu/admissions/academics/programs.html
410,School of Architecture and Planning,,4.0,2.5,,Fall 2026,,,,,,,,,4 years,,Bachelor of Science in Environmental Design,https://www.buffalo.edu/admissions/academics/programs.html
,"School of Engineering and Applied Sciences, Department of Civil, Structural and Environmental Engineering",,,,,Fall 2026,,,,,,,,,4 years,,Bachelor of Science in Environmental Engineering,https://www.buffalo.edu/admissions/academics/programs.html
410,College of Arts and Sciences,,4.0,2.0,,Fall 2026,2025-08-01,,"$3,535.00 per semester (Resident)",,$295.00 (Resident),,,Merit-based,4 years,,Bachelor of Science in Environmental Geosciences,https://www.buffalo.edu/admissions/academics/programs.html
,School of Public Health and Health Professions,,,,,Fall 2026,,,,,,,,"Merit-based, Need-based",,,Bachelor of Science in Exercise Science,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Film Studies,https://www.buffalo.edu/admissions/academics/programs.html
,"Department of Romance Languages and Literatures, College of Arts and Sciences",,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Arts in French,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Gender Studies,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Geography,https://www.buffalo.edu/admissions/academics/programs.html
,College of Arts and Sciences,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Science in Geography,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Geology,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Science in Geology,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in German,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Global Affairs,https://www.buffalo.edu/admissions/academics/programs.html
410,College of Arts and Sciences,,4.0,,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Arts in History,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Science in Industrial Engineering,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Science in Industrial Technology,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Interdisciplinary Arts,https://arts-sciences.buffalo.edu/media-study.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in International Studies,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in International Trade,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Italian,https://www.buffalo.edu/admissions/academics/programs.html
,College of Arts and Sciences,,,,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Arts in Jewish Studies,https://www.buffalo.edu/admissions/academics/programs.html
,College of Arts and Sciences,,4.0,,,Fall 2026,,,,,$295.00,,,,4 years,"$3,535.00/Semester",Bachelor of Arts in Korean,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Law,https://www.buffalo.edu/admissions/academics/programs.html
,College of Arts and Sciences,,,Minimum GPA of 2.000 overall. Minimum GPA of 2.500 in the prerequisite courses. [3],,Fall 2026,,,,,,,,,4 Years,,Bachelor of Arts in Linguistics,https://www.buffalo.edu/admissions/academics/programs.html
,School of Management,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",,,Bachelor of Science in Management Information Systems,https://www.buffalo.edu/admissions/academics/programs.html
,College of Arts and Sciences,,4.0,,,Fall 2026,,,,,,,,,4 Years,,Bachelor of Arts in Mathematics,https://www.buffalo.edu/admissions/academics/programs.html
410,College of Arts and Sciences,,4.0,2.0,74.2%,Fall 2026,August 1,February 1,,"$10,093","$295 for in-state and $1,153 for out-of-state students. [2]","Scholarships up to $5,000 per year are available.",61%,"Merit-based scholarships are available for first-year, transfer, and international students. [24, 37]",4 years,"$10,936/Year for in-state and $31,536/Year for out-of-state students. [2]",Bachelor of Science in Mathematics,https://www.buffalo.edu/admissions/academics/programs.html
,School of Engineering and Applied Sciences,,4.0,,,Fall 2026,,,,,,,,,4 years,,Bachelor of Science in Mechanical Engineering,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Media Study,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Arts in Medicinal Chemistry,https://www.buffalo.edu/admissions/academics/programs.html
395,College of Arts and Sciences,,4.0,,,Fall 2026,,,,,,,,Merit-based,"4 years. [3, 10, 11, 13, 17]",,Bachelor of Arts in Music,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Music in Music Performance,https://www.buffalo.edu/admissions/academics/programs.html
410,College of Arts and Sciences,,4.0,3.0,74%,Fall 2026,2025-07-15,2026-02-01,"In-State: $7,070/Year, Out-of-State: $26,860/Year","$1,000 - $3,000","In-State: $295, Out-of-State: $1,119","$1,000 to $3,000",,Merit-based,4 years,,Bachelor of Music in Music Theatre,https://www.buffalo.edu/admissions/academics/programs.html
410,Jacobs School of Medicine and Biomedical Sciences,,4.0,2.5,70-79%,Fall 2026,,2026-01-15,,,,,,,4 years,,Bachelor of Science in Nuclear Medicine Technology,https://www.buffalo.edu/admissions/academics/programs.html
410,School of Nursing,,4.0,,,Fall 2026,,,,,,,,,,,Bachelor of Science in Nursing,https://www.buffalo.edu/admissions/academics/programs.html
,School of Public Health and Health Professions,,4.0,,,Fall 2026,,,,,,,,"Merit-based, Need-based, Diversity",5 years (combined BS/MS program),,Bachelor of Science in Occupational Science,https://www.buffalo.edu/admissions/academics/programs.html
,,,,,,,,,,,,,,,,,Bachelor of Science in Pharmaceutical Sciences,https://www.buffalo.edu/admissions/academics/programs.html
Ranked #1 public university in New York State by QS World University Rankings. [1],Jacobs School of Medicine and Biomedical Sciences [1],,4.0,,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Arts in Pharmacology and Toxicology,https://www.buffalo.edu/admissions/academics/programs.html
410,Jacobs School of Medicine and Biomedical Sciences,,4.0,2.0,68-70%,Fall 2026,,,,,,"$4,000 and $2,500",,Merit-based and need-based,4 years,,Bachelor of Science in Pharmacology and Toxicology,https://www.buffalo.edu/admissions/academics/programs.html
315,College of Arts and Sciences,,,,,Fall 2026,,,3535,,,,,,4 years,"$3,535.00 per semester for a full-time New York State resident undergraduate student.",Bachelor of Arts in Philosophy,https://www.buffalo.edu/admissions/academics/programs.html
410,College of Arts and Sciences,,4.0,,68-70%,Fall 2026,"August 1, 2025",,,,,,,Departmental Scholarships,4 years,,Bachelor of Arts in Physics,https://www.buffalo.edu/admissions/academics/programs.html
491,College of Arts and Sciences,,4.0,,68%,Fall 2026,Mid-August 2025,"January 15, 2026","$10,780/Year",,$449,,,"Merit-based, Need-based",4 years,,Bachelor of Science in Physics,https://www.buffalo.edu/admissions/academics/programs.html
,College of Arts and Sciences,,,,,Fall 2026,,,,,,,,"Merit-based, Need-based, Departmental",4 Years,,Bachelor of Arts in Political Science,https://www.buffalo.edu/admissions/academics/programs.html
