Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
,,"To be eligible for entrance to the Agricultural Science major, a student must: 1) have completed at least 29 credits; 2) have a cumulative grade-point average of at least 2.00.",,True,True,True,False,False,,,program,Bachelor of Science in Agricultural Science,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,Not Required,"First-year students are evaluated based on: High school GPA, Standardized test scores (SAT/ACT) are optional for students applying for admission through the fall 2025 semester, High school courses, Personal statement (optional). For Penn State University Park, the following high school units are required: 4 units of English, 3 units of math, 3 units of science, 3 units of social studies, and 2 units of the same world language. For all other campuses, the world language is not required but is recommended.",,True,True,False,False,False,,,program,Bachelor of Arts in American Studies,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be eligible for entrance to the Animal Science major, a student must have completed at least 29.1 credits and have a minimum cumulative grade-point average of 2.00. First-year applicants are evaluated on the basis of their high school record, including GPA and rigor of coursework. Penn State is currently test-optional, meaning standardized test scores (SAT or ACT) are not required for admission but may be submitted if the applicant chooses.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Animal Science,https://catalog.shsu.edu/undergraduate/colleges-academic-departments/science-and-engineering-technology/agricultural-science/
,,"In order to be eligible for entrance to the Anthropological Science major, a student must: 1. attain at least a 2.00 cumulative grade point average; 2. complete ANTH 21 GN(4) and ANTH 45(3) with a grade of C or better.",,True,True,True,False,False,,,program,Bachelor of Science in Anthropological Science,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,"To be eligible for entrance to the Anthropology major, a student must: 1. have completed at least 29.5 cumulative credits; 2. have a cumulative grade point average of at least 2.00.",,True,False,False,False,False,,,program,Bachelor of Arts in Anthropology,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To apply for first-year admission, applicants must submit the Penn State application or the Common App, and the Self-Reported Academic Record (SRAR). Standardized test scores (SAT or ACT) are optional for first-year students applying through the 2025-26 academic year. For entrance to the Anthropology BS major, students must have completed at least 29 credits with a cumulative grade-point average of at least 2.00.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Anthropology,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be eligible for entrance to the Architectural Engineering major, a student must satisfy the following requirements: 1. Be enrolled in the College of Engineering or the Division of Undergraduate Studies. 2. Have completed at least 29 graded Penn State credits. 3. Have completed with a grade of C or better: CHEM 110, MATH 140, MATH 141, and PHYS 211. 4. Have earned a minimum cumulative grade-point average of 2.60.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Architectural Engineering,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,Admission to the professional B.Arch. degree program is based on high school rank and SAT (or ACT) scores. High school students apply during their senior year for admission into the five-year B.Arch. program. There is no portfolio review for admission to the first-year of the B.Arch. program. Transfer students apply to the department for admission to the program after they have applied to Penn State. The admissions procedure for transfer students into the Architecture program is based on a review of the student's college records and a portfolio of creative work.,,True,False,True,False,False,,,program,Bachelor of Architecture in Architecture,https://arts.psu.edu/
Not Required,Not Required,"Admissions requirements for the Architecture major are listed on the Undergraduate Admissions website. To be considered for admission to the Bachelor of Science in Architecture, students must have a minimum of a high school diploma and meet the following high school unit requirements: 4 units of English, 3 units of Social Studies/Arts/Humanities, 3 units of Science, 3 units of Math (including algebra, geometry, and trigonometry), and 2 units of a single world language. Applicants to the architecture program are not required to submit a portfolio of work.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Architecture,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/architecture-bs/
,,"In order to be eligible for entrance to the Art (B.A.) major, a student must have: 1. attained at least a 2.00 cumulative grade-point average; 2. completed at least 24 credits. First-year students are admitted to the College of Arts and Architecture and typically apply for entrance to the major during their sophomore year. A portfolio is not required for admission to the B.A. in Art. Penn State is test-optional through the fall 2025 semester; first-year applicants can choose whether to submit SAT or ACT scores.",,True,True,False,False,False,,,program,Bachelor of Arts in Art,https://bulletins.psu.edu/undergraduate/colleges/arts-architecture/
,Required,"The B.F.A. in Art is a professional degree program that requires a portfolio review for admission. Portfolios are reviewed once each semester by a committee of the Art faculty. To be eligible for the portfolio review, students must have completed or be currently enrolled in ART 110, ART 111, ART 122Y, and ART 201 or ART 202, and have a minimum cumulative grade-point average of 2.00.",,True,True,False,False,False,,,program,Bachelor of Fine Arts in Art,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,Required,"To be eligible for entrance to the Art Education major, a student must have: attained at least a 3.00 cumulative grade-point average; completed at least 48 collegiate-level credits; completed ENGL 15 or ENGL 30; 3 credits of literature (GH); and 6 credits of quantification (GQ); passed the PAPA or CORE exams or had them waived by qualifying SAT/ACT scores; submitted a portfolio of 10-12 pieces of original work for review by the Art Education faculty; participated in a personal interview with the Art Education faculty; submitted a one-page, typed statement of their professional goals.",,True,True,False,False,False,,,program,Bachelor of Science in Art Education,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"Admission to the Art History major is based on the university’s standard undergraduate admission requirements. To be eligible for entrance to the Art History major, a student must: 1) attain at least a 2.00 cumulative grade-point average; and 2) satisfy any other requirements that may be established by the academic department. Standardized test scores are optional for first-year undergraduate applicants through the 2025-2026 academic year. Required high school coursework includes 4 units of English, 3 units of Mathematics, 3 units of Science, 3 units of Social Studies, and 2 units of World Language.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in Art History,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,"In order to be eligible for entrance to the Asian Studies major, a student must: 1) attain at least a 2.00 cumulative grade-point average; 2) be enrolled in or have completed at least 24 credits. Admissions to all undergraduate programs are processed by the Undergraduate Admissions Office. First-year and transfer students may apply for admission to the College of the Liberal Arts. For a Bachelor of Arts degree in Asian Studies, a minimum of 123 credits is required.",,True,True,False,False,False,,,program,Bachelor of Arts in Asian Studies,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"In order to be eligible for entrance to this major, a student must: 1) attain at least a 2.00 cumulative grade-point average and 2) satisfy the following course requirements: ASTRO 291, MATH 140, MATH 141, PHYS 211. For first-year admission, applicants to the Eberly College of Science must have completed the following high school units: 4 units of English, 3.5 units of Mathematics (including algebra, geometry, and trigonometry), 3 units of Science, 3 units of Social Studies/Arts/Humanities, and 2 units of a single World Language.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Astronomy and Astrophysics,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"In order to be eligible for entrance to the Biobehavioral Health major, a student must: 1. attain at least a 2.00 cumulative grade-point average; 2. have completed BBH 101 with a grade of C or better.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Biobehavioral Health,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"First-year applicants to Penn State must submit a completed application and the Self-Reported Academic Record (SRAR). High school unit requirements include: 4 units of English, 3 units of Mathematics (including algebra, geometry, and trigonometry), 3 units of Science, 3 units of Social Studies, and 2 units of a World Language. For the Eberly College of Science, additional emphasis is placed on math and science performance. Applicants can choose to submit SAT or ACT scores, but Penn State is test-optional through 2025.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Biochemistry and Molecular Biology,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,"To be eligible for entrance to this major, students must satisfy the following requirements: pass the following courses with a grade of C or better: CHEM 110, MATH 140, MATH 141, and PHYS 211; have completed at least 29 earned Penn State credits (excludes transfer and AP credits); have a minimum cumulative grade-point average of 2.60.",,True,True,True,False,False,,,program,Bachelor of Science in Biological Engineering,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be eligible for entrance to the Biology major, a student must have: 1. attained at least a 2.00 cumulative grade-point average; 2. completed BIOL 110 GN(4), CHEM 110 GN(3), and MATH 140 GQ(4) with a grade of C or better. Undergraduate admission also requires the completion of specific high school units: 4 units of English, 3 units of social studies, 3 units of science, 3 units of math (algebra, geometry, trigonometry, or higher), and 2 units of a single world language.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Biology,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"For the B.S. degree in Biomedical Engineering, a minimum of 129 credits is required. Entry to the Biomedical Engineering major occurs during the spring semester of the sophomore year. Students must complete the following entrance-to-major requirements: CHEM 110, MATH 140, MATH 141, PHYS 211 with a grade of C or better. At least a 3.00 cumulative Penn State grade-point average is required. High school students should have a minimum of 4 units of English, 3 units of mathematics (including algebra, geometry, and trigonometry), 3 units of science, and 3 units of social studies/art/humanities.",Not Required,False,True,True,False,False,,,program,Bachelor of Science in Biomedical Engineering,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,"In order to be eligible for entrance to the Biorenewable Systems major, a student must have: 1) attained at least a 2.00 cumulative grade point average.",,True,True,True,False,False,,,program,Bachelor of Science in Biorenewable Systems,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,Not Required,"For entrance into the Biotechnology major, there are no additional requirements beyond those for admission to the University. The first-year admission process is based on a variety of factors, including high school grades and coursework, standardized test scores (SAT/ACT), and other information provided in the application. For transfer students, applicants who have completed at least 18 credits may be considered for admission.",,True,True,True,False,False,,,program,Bachelor of Science in Biotechnology,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,"To be eligible for entrance to the Business major, a student must: 1) have completed the following entrance-to-major requirements with a grade of C or better: MATH 110 GQ(3) or MATH 140 GQ(4), ACCTG 211(4), ECON 102 GS(3), SCM 200 GQ(4) or STAT 200 GQ(4); 2) have achieved a minimum cumulative grade-point average of 2.00.",,True,True,False,False,False,,,program,Bachelor of Science in Business,https://bulletins.psu.edu/undergraduate/colleges/university-college/business-bs/
,,"To be eligible for entrance to the Chemical Engineering major, a student must: 1) have completed the following entrance-to-major requirements with a grade of C or better in each: CHEM 110, CHEM 111, CHEM 112, MATH 140, MATH 141, PHYS 211; 2) have achieved a cumulative grade-point average (GPA) of 2.60 or higher.",,True,True,True,False,False,,,program,Bachelor of Science in Chemical Engineering,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"In order to be eligible for entrance to this major, a student must: attained at least a 2.00 cumulative grade-point average; completed CHEM 110, CHEM 111, CHEM 112, MATH 140, and MATH 141 and earned a grade of C or better in each of these courses. General high school requirements for Penn State include: 4 units of English, 3 units of Mathematics, 3 units of Science, 3 units of Social Studies, and 2 units of a World Language.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Chemistry,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"In order to be eligible for entrance to the Chinese major, a student must have: 1. attained at least a 2.00 cumulative grade-point average; 2. completed CHNS 1, CHNS 2, and CHNS 3 or equivalent. For the B.A. degree in Chinese, a minimum of 123 credits is required. For more information about the admission process, students should visit the Office of Undergraduate Admissions website.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in Chinese,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,"To be eligible for entrance to the Civil Engineering major, a student must have: attained at least a 2.60 cumulative grade-point average; completed the following entrance-to-major courses with a grade of C or better: CHEM 110, MATH 140, MATH 141, and PHYS 211. Students must apply for entrance to the major during the semester in which they are completing their entrance-to-major requirements, typically the spring of the sophomore year.",,True,True,True,False,False,,,program,Bachelor of Science in Civil Engineering,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,"In order to be eligible for entrance to the Classics and Ancient Mediterranean Studies major, a student must have: attained at least a 2.00 cumulative grade-point average. First-year students who wish to start at University Park are admitted to the DUS (Division of Undergraduate Studies) or to the College of the Liberal Arts. Admission to the Bachelor of Arts in Classics and Ancient Mediterranean Studies requires only that students are admitted to the College of the Liberal Arts and meet the criteria for entrance to the major.",,True,True,False,False,False,,,program,Bachelor of Arts in Classics and Ancient Mediterranean Studies,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be eligible for entrance to the Communication Arts and Sciences major, a student must: 1) attain at least a 2.00 cumulative grade-point average. 2) have completed CAS 101 with a grade of C or better. 3) have completed CAS 201 or CAS 202 with a grade of C or better.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in Communication Arts and Sciences,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,"Admission to the Communication Arts and Sciences major (CAS) is available to any student who has been admitted to the University and who is in good standing. Entering students are typically admitted to the College of the Liberal Arts and then apply for the CAS major during their sophomore year when they have completed 29 credits and earned a 2.0 or higher cumulative GPA. In addition to a cumulative 2.0 GPA, students must have completed CAS 101.",,True,True,False,False,False,,,program,Bachelor of Science in Communication Arts and Sciences,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"First-year students can apply to Penn State through the Undergraduate Admissions Office and can choose Communication Sciences and Disorders (CSD) as their major on the application. Evaluation for admission is based on a variety of factors, including high school GPA, high school coursework (specifically completion of required high school units), and standardized test scores if the student chooses to submit them. Required high school units include four units of English, three units of mathematics, three units of science, and three units of social studies, arts, or humanities.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Communication Sciences and Disorders,https://hhd.psu.edu/csd
Not Required,Not Required,"In order to be eligible for entrance to this major, a student must: 1) attain at least a 2.00 cumulative grade-point average. For general undergraduate admission, applicants must have a high school diploma or its equivalent. Required high school coursework includes 4 units of English, 3 units of Mathematics, 3 units of Science, 3 units of Social Studies, and 2 units of World Language.",Not Required,True,False,False,False,False,,,program,"Bachelor of Science in Community, Environment, and Development",https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,"In order to be eligible for entrance to the Comparative Literature major, a student must have: 1. attained at least a 2.00 cumulative grade point average. For the B.A. degree in Comparative Literature, a minimum of 120 credits is required.",,True,True,False,False,False,,,program,Bachelor of Arts in Comparative Literature,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be considered for first-year admission to Penn State, applicants must provide their high school records (official transcripts or Self-Reported Academic Record). General high school unit requirements include 4 units of English, 3 units of Mathematics, 3 units of Science, and 3 units of Social Studies/Arts/Humanities. For the Computer Engineering program in the College of Engineering, a minimum of 1/2 unit of trigonometry or higher-level math is specifically required. Penn State is currently test-optional through the Fall 2025 semester.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Computer Engineering,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be eligible for entrance to the Computer Science major, a student must: have completed MATH 140, MATH 141, PHYS 211, and CMPSC 121 or CMPSC 131 with a grade of C or better; have earned a minimum cumulative grade-point average. General first-year admission requires high school graduation or GED, and the completion of specific high school units including 4 units of English, 3 units of Mathematics, 3 units of Science, 3 units of Social Studies/Arts/Humanities, and 2 units of World Language.",Not Required,False,True,True,False,False,,,program,Bachelor of Science in Computer Science,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be eligible for admission to the Computer Science major, students must: 1. Have completed the following courses with a grade of C or better: CMPSC 121 or CMPSC 131, CMPSC 122 or CMPSC 132, MATH 140, MATH 141. 2. Have a cumulative grade-point average of 2.00 or higher. General first-year admission requirements include the completion of the following high school units: 4 units of English, 3 units of Mathematics, 3 units of Science, 3 units of Social Studies/Arts/Humanities, and 2 units of a single World Language.",Not Required,True,True,True,False,False,,,program,Bachelor of Arts in Computer Science,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,"Entrance to the Corporate Innovation and Entrepreneurship major is competitive and based on specific criteria including successful completion of administrative requirements, credit count, grade-point average, and specific courses. To be eligible for entrance to the Corporate Innovation and Entrepreneurship major, students must: (1) have completed at least 44 cumulative credits at Penn State but not more than 59 cumulative credits at Penn State (this includes current-semester credits in progress) at the time of application for entrance to the major; (2) have a cumulative grade-point average of 3.20 or higher; (3) have completed the following entrance-to-major courses with a grade of C or better: ACCTG 211, ECON 102, ENGL 15 or ENGL 30H, FIN 301, MATH 110 or MATH 140, MGMT 301, MKTG 301, SCM 301, and STAT 200.",,True,False,False,False,False,,,program,Bachelor of Science in Corporate Innovation and Entrepreneurship,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/corporate-innovation-entrepreneurship-bs/corporate-innovation-entrepreneurship-bs_text.pdf
,,"To be considered for first-year admission to Penn State, applicants must have completed a minimum of 15 high school units, including: 4 units of English (including 1 unit of composition or rhetoric), 3 units of mathematics (including algebra, geometry, and a second year of algebra), 3 units of science (including 2 units of natural science), 3 units of social studies (including 1 unit of world history or geography), and 2 units of the same world language. Additionally, to be eligible for entrance to the Creative Writing major, a student must have attained at least a 2.00 cumulative grade-point average and completed at least 29.1 credits. The B.F.A. in Creative Writing requires a total of 120 credits for graduation. Penn State is test-optional through Fall 2025.",,True,True,False,False,False,,,program,Bachelor of Fine Arts in Creative Writing,https://behrend.psu.edu/school-of-humanities-social-sciences/academic-programs/creative-writing
,Not Required,"To be eligible for entrance to the Criminology major, a student must: (1) have completed at least 29.1 credits; (2) have achieved at least a 2.00 cumulative grade-point average; (3) have completed CRIM 100(3), SOC 110(3) or STAT 200(4), and one of the following: CRIM 249(3), CRIM 250W(3), or CRIM 406(3), all with a grade of C or better.",,True,False,False,False,False,,,program,Bachelor of Arts in Criminology,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be eligible for entrance to the Criminology major (CRIMB_BS), a student must have: 1. attained at least a 2.00 cumulative grade point average. For general undergraduate admission to Penn State, applicants must provide a completed application, the Self-Reported Academic Record (SRAR), and meet high school unit requirements including 4 units of English, 3 units of Mathematics, 3 units of Science, 3 units of Social Studies, and 2 units of World Language.",Not Required,True,True,False,False,False,,,program,Bachelor of Science in Criminology,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be eligible for entrance to the Cybersecurity Analytics and Operations major, students must satisfy the following requirements: 1. Attain at least a 2.00 cumulative grade-point average. 2. Complete the following entrance-to-major courses with a grade of C or better: MATH 110 GQ or MATH 140 GQ; IST 210, IST 220, IST 242 (or CMPSC 122 or CMPSC 132), and STAT 200 GQ or SCM 200 GQ.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Cybersecurity Analytics and Operations,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To apply for the Bachelor of Science in Data Sciences, first-year applicants must submit an online application (via MyPennState or the Common App) and the Self-Reported Academic Record (SRAR). Penn State is test-optional through 2025, meaning SAT or ACT scores are not required for admission. The most important factor in the review of an application is the high school academic record, specifically grades and course rigor.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Data Sciences,https://miamioh.edu/_files/documents/about-miami/president/bot/2019/minutes-05-17-19.pdf
,Required,"Entrance to the Digital Arts and Media Design (DART) major is a two-step process. Step 1: All students must first apply to the university through the Penn State Undergraduate Admissions Office. Step 2: Applicants must also complete a portfolio review for the Digital Arts and Media Design major. Information regarding the portfolio review process and deadlines is available on the program's website. For the B.Des. degree in Digital Arts and Media Design, a minimum of 120 credits is required.",,True,True,False,False,False,,,program,Bachelor of Design in Digital Arts and Media Design,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,"To be eligible for admission to the Bachelor of Design in Digital Multimedia Design, students must meet the general University admission requirements, which include a high school diploma or equivalent and the completion of specific high school units. This program is available to both first-year and transfer students. Notably, a portfolio review is not required for admission to this major.",,True,False,False,False,False,,,program,Bachelor of Design in Digital Multimedia Design,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"In order to be eligible for entrance to this major, a student must: 1. have attained at least a 2.00 cumulative grade-point average; 2. have completed at least 29.1 credits and be at least a third-semester student. Students must apply for admission to the college by following the procedures described on the Penn State Admissions website.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Earth Science and Policy,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"For the B.S. degree in Earth Sciences, a minimum of 120 credits is required. In order to be eligible for entrance to the Earth Sciences major, a student must: 1) attain at least a 2.00 cumulative grade-point average; 2) complete the following courses with a grade of C or better: EARTH 100, GEOSC 1, GEOSC 20, or METEO 3. First-year applicants to Penn State must submit: Penn State application, Self-Reported Academic Record (SRAR) or high school transcript, and optional SAT or ACT scores.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Earth Sciences,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be eligible for admission to Penn State as a first-year student, you must have graduated from high school or have a GED. The following high school units are required for all students: 4 units of English, 3 units of Mathematics (Algebra 1, Algebra 2, and Geometry), 3 units of Science, 3 units of Social Studies/Art/Humanities, and 2 units of a single World Language. Admission to the East Asian Studies major is available to students who have been admitted to the College of the Liberal Arts.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in East Asian Studies,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be eligible for entrance to the Economics major, a student must have attained at least a 2.00 cumulative grade-point average and completed and earned a grade of C or better in ECON 102 GS(3), ECON 104 GS(3), MATH 110 GQ(4) or MATH 140 GQ(4). For the Bachelor of Arts degree in Economics, a minimum of 120 credits is required.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in Economics,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"To be eligible for entrance to the Economics (ECNBS) major, a student must have: 1. attained at least a 2.00 cumulative grade-point average; 2. completed and earned a grade of C or better in: ECON 102 GS(3), ECON 104 GS(3), MATH 110 GQ(4) or MATH 140 GQ(4).",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Economics,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,Optional,"To be eligible for entrance to the Electrical Engineering major, a student must: 1. have completed the following entrance-to-major courses with a grade of C or better: CHEM 110, MATH 140, MATH 141, PHYS 211, PHYS 212. 2. have attained at least a 2.60 cumulative grade-point average (on a 4.00 scale) and at least third-semester classification (29.1 credits). Additionally, applicants to the College of Engineering must have completed 1/2 unit of trigonometry or higher level math (pre-calculus, calculus) in high school.",,True,True,True,False,False,,,program,Bachelor of Science in Electrical Engineering,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"In order to be eligible for entrance to this major, students must satisfy the following requirements: 1. Completed the requirements for the Associate in Engineering Technology in Electrical Engineering Technology degree or its equivalent. 2. A minimum cumulative grade point average of 2.00. For the Bachelor of Science in Electrical Engineering Technology degree, a minimum of 127 credits is required.",Not Required,False,True,True,False,False,,,program,Bachelor of Science in Electrical Engineering Technology,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
,,Entrance to the Electro-Mechanical Engineering Technology major requires the completion of at least 29 credits and a minimum 2.00 cumulative grade-point average.,,True,True,True,False,False,,,program,Bachelor of Science in Electro-Mechanical Engineering Technology,https://bulletins.psu.edu/university-course-descriptions/undergraduate/
Not Required,Not Required,"Applicants must submit a completed undergraduate application and the Self-Reported Academic Record (SRAR). Standardized test scores (SAT or ACT) are currently optional for undergraduate admission. To be formally admitted into the Elementary and Early Childhood Education major, students must meet 'Entrance to Major' requirements, which typically occur after completing 48-60 credits at Penn State. These requirements include a minimum 3.00 cumulative grade-point average and the completion of specific core courses in English and Mathematics.",Not Required,True,True,False,False,False,,,program,Bachelor of Science in Elementary and Early Childhood Education,https://sites.google.com/stjudeschool.com/missmcgoldrick2b?usp=sharing
