QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
123,College of Computing,,4.0,2,,Fall 2026,,,,,,,,Merit-based,,,Computer Science (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Construction (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Creative Writing (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,4.0,,,Fall 2026,,,,,,,,,,,Defense Leadership Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
114,"The minor in East Asian Studies is jointly administered by the School of Modern Languages and the School of Literature, Media, and Communication within the Ivan Allen College of Liberal Arts. [27, 30]",,4.0,"The minimum GPA required for graduating with an undergraduate degree is 2.0. [18] For admission to the Ivan Allen College of Liberal Arts, where the minor is housed, a minimum GPA of 3.0 is required. [5, 10]","For the Class of 2029 (Fall 2025 entry), the overall acceptance rate was 12.7%. The in-state acceptance rate was 30%, and the out-of-state acceptance rate was 9%. [16]",Fall 2026,The application for first-year admission opens on August 1 of the applicant's senior year. [23],"For Fall 2026 first-year admission, the Early Action 1 deadline for Georgia students is October 15, 2025. The Early Action 2 deadline for non-Georgia students is November 1, 2025. The Regular Decision deadline is January 6, 2026. [22, 23]","For the 2024-2025 academic year, the estimated in-state undergraduate tuition and fees are $12,058 per year, and out-of-state tuition and fees are $34,484 per year. A minor program does not have a separate tuition fee. [3]","The average financial aid package, including grants and scholarships, was $13,423. [12]",Undergraduate tuition is typically a flat fee for a range of credit hours rather than a per-credit-hour cost. [21],"The Georgia Tech Val-Sal Scholarship for eligible Georgia residents ranges from $2,500 to $5,000 annually. [35]",,"Georgia Tech offers merit-based scholarships such as the HOPE and Zell Miller scholarships for Georgia residents. [15] There are also institutional scholarships and programs like the Georgia Tech Scholars Program. [15, 35]","The East Asian Studies minor requires the completion of 15 credit hours. [8, 36]","For the 2024-2025 academic year, the estimated in-state undergraduate tuition and fees are $12,058 per year, and out-of-state tuition and fees are $34,484 per year. [3]",East Asian Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,School of Earth and Atmospheric Sciences,,4.0,3,,Fall 2026,,,,,,,,"Merit-based, Need-based, Research-based",4 Years,,Bachelor of Science in Earth and Atmospheric Sciences,https://www.gatech.edu/academics/bachelors-degree-programs
,Ivan Allen College of Liberal Arts,,4.0,2,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Science in Economics,https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Economics (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Bachelor of Science in Economics and International Affairs,https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Bachelor of Science in Electrical Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
114,"Interdisciplinary, open to all undergraduate majors with approval.",,4.0,2,13.2%,Fall 2026,,,"The Energy Systems (Minor) program does not have a specific tuition fee. Students pay the general undergraduate tuition. The estimated tuition for the 2026-27 academic year is $10,512 for Georgia residents and $33,596 for out-of-state residents, with an additional $1,496 in mandatory fees. [11]",,"For the 2025-2026 academic year, the undergraduate in-state cost per credit hour is $350.40, and the out-of-state cost is $1,152.40 for students who matriculated in Fall 2025 or after. [16]","Scholarship amounts vary. For example, the Georgia Tech Val-Sal Scholarship for eligible Georgia residents is between $2,500 and $5,000 annually. [12] The Stamps President's Scholars Program is a full-ride scholarship, and a $5,000 scholarship is available for participants in FIRST robotics. [7]",,"Georgia Tech offers merit-based and need-based scholarships. [3, 7]","The program consists of 15 credit hours. [10, 17]","The Energy Systems (Minor) program does not have a separate tuition fee; students pay the standard undergraduate tuition. For the 2026-27 academic year, the estimated annual tuition is $10,512 for in-state students and $33,596 for out-of-state students. [11]",Energy Systems (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"Scheller College of Business, College of Design, College of Sciences, and Ivan Allen College of Liberal Arts",,,3,,Fall 2026,,,,,,,,,22 semester credit hours,,Engineering and Business (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Engineering and Psychology (Minor),https://catalog.gatech.edu/programs/minor-psychology/
114,Ivan Allen College of Liberal Arts,,4.0,2,,Fall 2026,,,,,,"2500, 5000",,"Merit-based, Need-based",,"$10,258/Year (In-state), $31,370/Year (Out-of-state)",English (Minor),https://catalog.gatech.edu/programs/minor-creative-writing/minor-creative-writing.pdf
,School of Civil and Environmental Engineering,,4.0,2,,Fall 2026,,,,,,,,"Merit-based, Need-based, Athletic, Field-Specific",4 years,,Bachelor of Science in Environmental Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
114 in QS World University Rankings 2025,School of Civil and Environmental Engineering,,4.0,,"16% (for the university, not program-specific) [6]",Fall 2026,"August 1, 2025","January 5, 2026 (Regular Decision)","In-state: $12,852 per year, Out-of-state: $33,964 per year. This is the general undergraduate tuition and not specific to the minor.",,"$601 for in-state and $1,276 for out-of-state for students taking 1-11 credit hours.",,,"Merit-based, need-based, and scholarships for Georgia residents such as the HOPE and Zell Miller Scholarships.",A minor at Georgia Tech consists of 15 to 18 credit hours of coursework taken alongside a major. [7],"In-state: $12,852 per year, Out-of-state: $33,964 per year. This is the general undergraduate tuition and not specific to the minor. [15]",Environmental Engineering (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"School of Literature, Media, and Communication (LMC)",,4.0,2.0,,Fall 2026,August 1,January 5,,,,,,"Merit-based, Need-based",15 credit hours,,Film and Media Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
114,School of Modern Languages,,4.0,,16%,Fall 2026,,,,,,2500-5000,,Merit-based,15 credit hours,,French (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
114,School of Modern Languages,,4.0,,12.7%,Fall 2026,"August 1, 2025","January 5, 2026",,,,5000,,"Merit-based, Need-based",15 credit hours,,German (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
123 in QS World University Rankings 2026,Ivan Allen College of Liberal Arts,,4.0,2,"For the 2024 first-year class, the admit rate for Georgia residents was 33%, and 10% for non-residents.",Fall 2026,2025-08-01,2026-01-05,"$10,512/Year","The average first-year financial aid package is typically around $12,031. [3]","Undergraduate tuition is charged as a flat fee for students taking more than 6 credit hours. For the 2025-2026 academic year, the in-state rate for 6 hours or less is $3,124 per semester.","Georgia Tech offers various scholarships, such as the Stamps President's Scholarship (a full-ride scholarship), the Gold Scholarship (a partial-ride scholarship), and the FIRST Robotics Scholarship ($5,000). [9]",73% of undergraduates receive some sort of grant aid. [3],"Merit-based, Need-based, HOPE Scholarship, and Zell Miller Scholarship (for Georgia residents). [4]",15 credit hours. [3],"$10,512/Year",Global Development (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Bachelor of Science in Global Economics and Modern Languages,https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Global Engineering Leadership (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,College of Sciences,,4.0,2,"For the Fall 2025 first-year class, the acceptance rate for Georgia residents is 30% and 9% for nonresidents. [23]",Fall 2026,"August 1, 2025. [14]","January 5, 2026. [14]",,,,,,"Merit-based, need-based, and major of study. [8]","15 credit hours. [3, 4]",,Health and Medical Sciences (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Health Communication (Minor),https://hsoc.gatech.edu/undergraduate/minors/hms
,,,,,,,,,,,,,,,,,"Bachelor of Science in History, Technology, and Society",https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,History (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,College of Design,,4.0,,,Fall 2026,,,,,,,,"Scholarships, Grants, Loans, Work Study",4 years,,Bachelor of Science in Industrial Design,https://www.gatech.edu/academics/bachelors-degree-programs
,College of Design,,4.0,2,"For the 2023 first-year class, the overall admit rate was 36% for Georgia residents and 12% for non-residents.",Fall 2026,August 1,January 5,,,,,,"Scholarships, Grants, Loans, Work-Study. [2]",15 credit hours,,Industrial Design (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Bachelor of Science in Industrial Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Industrial Engineering (Minor),https://www.isye.gatech.edu/academics/undergraduate
,Ivan Allen College of Liberal Arts,,,2,,Fall 2026,,,,,,,,"Merit-Based Scholarships, Need-Based Scholarships, Demographic Scholarships, Field of Study Scholarships, Scholarships For Community Service",,,Science and Engineering for International Development (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
123,"Sam Nunn School of International Affairs, Ivan Allen College of Liberal Arts",,4.0,3.0,"For the Fall 2025 first-year class, the overall acceptance rate was approximately 12.7%, with a 30% acceptance rate for Georgia residents and 9% for non-residents. [19]",Fall 2026,August 1,"January 5, 2026","For the 2025-2026 academic year, the full-time undergraduate tuition per semester is $5,256 for in-state students and $16,798 for out-of-state students. [10]",,,"Scholarship amounts vary. For example, the Georgia Tech Val-Sal Scholarship for eligible Georgia residents is between $2,500 and $5,000 annually. [25] The Stamps President's Scholarship can range from $5,400 to $72,000 annually. [15]",,"Georgia Tech offers merit-based and need-based scholarships. [16] There are also specific programs for Georgia residents like the HOPE and Zell Miller Scholarships. [16] Institutional scholarships are also available, some of which are awarded automatically based on the admission application. [20]","The Bachelor of Science in International Affairs is a four-year undergraduate program. An accelerated five-year Bachelor's/Master's program is also available. [26, 32]","For the 2025-2026 academic year, the full-time undergraduate tuition per semester is $5,256 for in-state students and $16,798 for out-of-state students. [10]",Bachelor of Science in International Affairs,https://www.gatech.edu/academics/bachelors-degree-programs
,"Sam Nunn School of International Affairs and the School of Modern Languages. [5, 6]",,4.0,2,,Fall 2026,,,,,,,,,4 years,,Bachelor of Science in International Affairs and Modern Languages,https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,"International Business, Language, and Culture (Minor)",https://www.gatech.edu/academics/bachelors-degree-programs
,"School of Modern Languages, Ivan Allen College of Liberal Arts",,4.0,,,Fall 2026,,,,,,,,Merit-based,15 credit hours,,Japanese (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Korean (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Latin American and LatinX Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"School of Public Policy, Ivan Allen College of Liberal Arts",,4.0,,,Fall 2026,,,,,,,,,,,"Law, Science, and Technology (Minor)",https://www.gatech.edu/academics/bachelors-degree-programs
,"Scheller College of Business, Institute for Leadership and Social Impact",,4.0,2.5,,Fall 2026,,,,,,A fellowship of $1800 per semester is available.,,Merit-based and need-based scholarships are available.,15 credit hours,,Leadership Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"The Linguistics Minor is an interdisciplinary minor offered through the School of Modern Languages, which is part of the Ivan Allen College of Liberal Arts.",,,,,Fall 2026,,,,,,,,"Scholarships at Georgia Tech can be based on academic achievement, athletic ability, geographical location, departmental and community involvement, areas of study, and/or financial need. [19, 34]",,,Linguistics (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
97,"School of Literature, Media, and Communication, Ivan Allen College of Liberal Arts",,4.0,2.0,16%,Fall 2026,August 2025,,"In-State: $5,129/Semester, Out-of-State: $16,898/Semester (for 15+ credit hours, based on 2024-2025 academic year rates; mandatory fees are $1,364 per semester)","over $10,000 per year","In-State: $427, Out-of-State: $1,407 (based on 2024-2025 academic year rates)",,,"Merit-based, Need-based",4 years,"In-State: $5,129/Semester, Out-of-State: $16,898/Semester (for 15+ credit hours, based on 2024-2025 academic year rates)","Bachelor of Science in Literature, Media, and Communication",https://www.gatech.edu/academics/bachelors-degree-programs
"The official Georgia Tech website's ranking page mentions subject-specific QS World University Rankings by The Guardian, such as No. 9 for Statistics and Operational Research and No. 28 for Computer Science, but does not state an overall institution-level QS World University Ranking. [5]",College of Sciences,,4.0,2.0,,Fall 2026,August 1,The Regular Decision application deadline for first-year admission for Fall 2026 is January 5. [3],"For the 2025-2026 academic year, the estimated undergraduate tuition and fees for two semesters are $12,359 for Georgia residents and $36,171 for out-of-state students. [6]",,"For the 2025-2026 academic year, the undergraduate cost per credit hour is $350.40 for in-state residents and $1,119.87 for out-of-state residents for 4+ credit hours. [23]","The Georgia Tech Alumni Association provides hundreds of scholarships with varying award amounts. [8] Specific examples include the G. Wayne Clough Georgia Tech Promise Program which provides a debt-free degree for qualifying low-income Georgia residents, and the FIRST Robotics Scholarship of $5,000. [11]",,"Georgia Tech offers merit-based and need-based scholarships, including the HOPE and Zell Miller Scholarships for Georgia residents. [7]",A minor at Georgia Tech consists of a minimum of 15 credit hours in an area outside of the student's major.,"For the 2025-2026 academic year, the estimated undergraduate tuition for two semesters is $12,359 for Georgia residents and $36,171 for out-of-state students. [6]",Marine Science (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
33,College of Engineering,,4.0,,17%,Fall 2026,"August 1, 2025",,"In-state: $11,764 per year, Out-of-state: $32,804 per year",,,,,"Merit-based, Need-based",4 years,,Bachelor of Science in Materials Science and Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Materials Science and Engineering (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Mathematical Biology (Minor),https://catalog.gatech.edu/colleges/cos/mathematics/
,,,,,,,,,,,,,,,,,Bachelor of Science in Mathematics,https://www.gatech.edu/academics/bachelors-degree-programs
,College of Sciences,,4.0,A course may be counted toward the minor only if it is taken for a letter grade and a grade of C– or better is received for the course. [1],,Fall 2026,"August 1, 2025","January 5, 2026","$10,512/Year (In-State), $32,938/Year (Out-of-State). This is based on multiplying the per-semester tuition for full-time undergraduates for the Spring 2025 semester and does not include mandatory fees, housing, or other expenses.",,,,,"Merit-based, Need-based",Students must complete four 3000- or 4000-level MATH courses. [1],"$10,512/Year (In-State), $32,938/Year (Out-of-State). This is based on multiplying the per-semester tuition for full-time undergraduates for the Spring 2025 semester and does not include mandatory fees, housing, or other expenses.",Mathematics (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,George W. Woodruff School of Mechanical Engineering,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based, Athletic, Community service, Employer, Military, STEM",4 Years,,Bachelor of Science in Mechanical Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Mechanical Engineering (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Media and Entertainment Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"Schools of History and Sociology, International Affairs, and Modern Languages",,4.0,2.0,,Fall 2026,August 1,January 5,,,,,,"Scholarships, Grants, Loans, Work-Study",15 to 18 credit hours,,Middle Eastern and North African Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Military Science (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,School of Music,,,,,Fall 2026,,,,,,,,,,,Music (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,School of Music,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Science in Music Technology,https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Music Technology (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
114,Ivan Allen College of Liberal Arts,,4.0,2.5,,Fall 2026,2025-08-01,2026-01-05,,,,"A Naval ROTC scholarship covers the cost of all tuition, fees, and uniforms. Scholarship midshipmen are also paid a subsistence allowance that increases each year. Freshmen receive $250 every month in two bi-weekly payments. Each successive year the allowance increases by $50, sophomores receiving $300, juniors $350, and seniors $400. Scholarship midshipmen also receive $375 each semester for book expenses.",,NROTC scholarship,,,Naval Science (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,College of Sciences,,4.0,,,Fall 2026,,,,,,,,"Scholarships, Grants, Loans, Work-Study.",120 credit hours,,Bachelor of Science in Neuroscience,https://www.gatech.edu/academics/bachelors-degree-programs
114,"The Neuroscience Minor is an interdisciplinary program offered through a partnership between the College of Sciences, the College of Engineering, and the College of Computing. [31]",,4.0,2,,Fall 2026,"August 1, 2025","The application deadlines for first-year admission for Fall 2026 are as follows: Early Action 1 (for Georgia students) is October 15, 2025, Early Action 2 (for non-Georgia students) is November 3, 2025, and the Regular Decision deadline is January 5, 2026. [7, 18]","For the 2024-2025 academic year, the estimated in-state tuition and fees for undergraduates are approximately $12,058 per year, while out-of-state tuition and fees are around $34,484 per year. [3] A minor program does not have a separate tuition fee. [33]",13423,"For undergraduate students taking fewer than six credit hours, the cost per credit hour may vary. However, for a full-time course load, tuition is charged as a flat fee. [3] For graduate students, the in-state cost per credit hour is $601, and the out-of-state cost is $1,276. [3]","Scholarship amounts vary. For example, Georgia Tech offers a $5,000 non-renewable scholarship for incoming first-year students involved in FIRST robotics. [29]",,"Georgia Tech offers merit-based, need-based, and institutional scholarships. [28, 29]",A minor at Georgia Tech consists of 15 to 18 credit hours of coursework. [35],"For the 2024-2025 academic year, the estimated in-state tuition and fees for undergraduates are approximately $12,058 per year, while out-of-state tuition and fees are around $34,484 per year. [3]",Neuroscience (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Bachelor of Science in Nuclear and Radiological Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
