Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Concentration.1,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Doctor of Philosophy in Environmental Engineering,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,Information could not be extracted as the provided program URL (https://catalog.umbc.edu/content.php?catoid=41&navoid=2971) could not be accessed or did not contain the specific admission details for the 'Doctor of Philosophy in Environmental Engineering' program.,,,False,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Engineering and Information Technology,,,,,,,,,,,,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80,,,,,,,,,,,,,Graduate assistantships,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Gerontology,,,,,Doctoral,Fall 2026,,,,Required,Required,,,"All applicants must submit an online application, pay the application fee, and submit official transcripts from all post-secondary institutions attended. Other required supporting documents include a statement of purpose, a resume or curriculum vitae, and three letters of recommendation. The GRE General Test is not required for admission.",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,"The PhD program in Gerontology is an intercampus, interdisciplinary research degree program at UMBC and the University of Maryland School of Medicine at the University of Maryland, Baltimore. You'll build on the complex, dynamic, and bi-directional relationships among individuals and the historical, political, economic, environmental, psychological, social, cultural and biological contexts in which aging occurs. [4] The program provides an interdisciplinary and integrative perspective on the process of human aging and the experiences of growing old. [3] The goal of the program is to train a new generation of gerontology scholars conversant with interdisciplinary and integrative paradigms and research designs employed to examine the unique, reciprocal, and dynamic nature of aging in context. [3]",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Human-Centered Computing,,,,,Doctoral,Fall 2026,,,,Optional,Required,Optional,REQUIRED,"Applicants must submit a statement of purpose. This should describe prior experience conducting/asstingin research, your reason for wanting a research-oriented degree, potential research topics of interest, and any faculty who teach in the HCC Program who are conducting research that is of interest to you. Applicants are strongly encouraged to include a CV demonstrating their past research, education, and employment accomplishments. Applicants must submit three letters of recommendation. The GRE is optional for the program. All applicants are expected to read, speak, write, and understand the English language fluently. Those whose native language is not English are required to take the Test of English as a Foreign Language (TOEFL) or the International English Language Testing System (IELTS), unless they have earned a post-secondary degree from an accredited university in the United States.",Optional,,True,True,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Engineering and Information Technology,,,,,,,,,,,,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80,,,,,,,,,,,,,"Research Assistantships, Teaching Assistantships, Graduate Assistantships",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Human Services Psychology,,,,,Doctoral,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"Admission to the program is based on a holistic review of applicants' materials. Applicants are expected to write a personal statement. In the statement, applicants should make sure to indicate how their: 1) interests align with the faculty mentor(s) they have identified and 2) interests, experiences, and/or future goals align with the HSP program's commitment to diversity, inclusion, and social justice. Applicants who do not have a degree in Psychology should explicitly specify their preparation and foundational knowledge necessary for admission into a doctoral program in Psychology. Three letters of recommendation are required from professors or professionals that can speak to your professional experience or educational background. Unofficial transcripts can be used for admission considerations, however you will be required to submit official transcripts if you are admitted. Applicants may identify up to two faculty members who will serve as their faculty mentor.",Not Required,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Arts, Humanities, and Social Sciences",,,,,,,,,"The Human Services Psychology program at UMBC offers concentrations in Clinical Psychology, Behavioral Medicine, and Community Psychology. [1]","The Human Services Psychology program is composed of three interrelated and complementary programs which provide education and training in clinical psychology, behavioral medicine, and community psychology. Initiated in 1983, the Human Services Psychology Program represents a reconceptualization of clinical psychology and several related specialties. Human Services Psychology is defined as that sector of professional psychology concerned with the promotion of human well-being through the acquisition and application of psychological knowledge and principles concerned with the diagnosis, treatment, and prevention of psychological and physical disorders. The program is based on a scientist-practitioner model of training which aims to provide students with skills as both researchers and practitioners. It uses a biopsychosocial approach as the integrative perspective for its training. [1]",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,The program is accredited by the American Psychological Association (APA). [6],,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,7.0,,,68.0,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Information Systems,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"In addition to the general requirements of the Graduate School, the following are required for admission to the Ph.D. program in Information Systems:

Applicants should have a strong academic record and show an aptitude for research. It is expected that applicants have a Master's degree in Information Systems, Computer Science, or a related area. In some cases, a student may be admitted with a Bachelor's degree, with the expectation that the student will complete the requirements for a Master's of Science in Information Systems degree before being advanced to Ph.D. candidacy.

Graduate Record Examination (GRE) scores are optional. TOEFL scores are required for international students whose native language is not English. Three letters of recommendation are required. A statement of purpose is required, detailing the student's research interests and career goals. A resume or curriculum vitae is also required.",Not Required,,False,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Information Systems Department,,,,,,,,,,,,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Doctor of Philosophy in Language, Literacy, and Culture",,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Admission to the LLC doctoral program is highly competitive. At a minimum all applicants must have a master's degree and meet all of the admissions requirements as set forth by the Graduate School. In addition, applicants must submit an academic writing sample with their application. [9] A 3.0 GPA or above on a 4.0 scale is required. [2] The program deadline for receipt of all application materials is January 15 of the calendar year in which the student intends to enroll. [9]",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Arts, Humanities, and Social Sciences",,,,,,,,,,"The interdisciplinary doctoral program in Language, Literacy, and Culture investigates the concepts and processes of language, literacy, and culture in relationship to social, cultural, linguistic, historical, technological, and ideological formations. [10] This interdisciplinary program draws upon the departments of Africana Studies; American Studies; Education; English; Gender, Women's + Sexuality Studies; History; Media and Communication Studies; Modern Languages, Linguistics and Intercultural Communication; and Sociology, Anthropology, and Public Health at UMBC. [10]",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,7.0,,,68.0,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Doctor of Philosophy in Marine, Estuarine & Environmental Sciences",,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"In addition to the general requirements of the Graduate School, the MEES Program requires:

*   A statement of goals and objectives.
*   Three letters of recommendation.
*   For Ph.D. applicants, a preferred minimum GPA of 3.0.
*   Identification of a MEES faculty member who has agreed to advise the student is strongly encouraged prior to application.

Graduate Record Examination (GRE) scores are not required. All application materials must be submitted online through the Graduate School’s website.",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,"['Earth & Ocean Sciences', 'Ecological Systems', 'Environmental Molecular Science & Technology', 'Environment & Society']","Marine Estuarine Environmental Sciences (MEES) is an inter-institutional graduate program of the University System of Maryland whose mission is to educate students to become the scientific leaders and problem-solvers of the future. Using an interdisciplinary approach, we train students to engage in scientific discovery, integration, and application to generate new knowledge and to solve environmental problems. [8] The Marine Estuarine Environmental Sciences (MEES) graduate program is a highly interdisciplinary, multi-campus graduate program in marine and environmental science. [5, 6] The program's strength is drawn from the diverse expertise of its faculty affiliated with several USM institutions, as well as from government and non-government agencies. [5, 6] The program affords students an unparalleled opportunity to combine the expertise of the best environmental scientists in the region to guide their program of study. [5, 6] While the interests of students in the program are diverse, they generally center on some aspect of the interaction between biological, physical and/or chemical systems in the environment. [4, 5] Research activities range from studies of molecular mechanisms to fisheries ecology, chemical pollutants, or economics of environmental impact. [5]",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Mechanical Engineering,,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,"The basic admission requirement is a Bachelor's Degree in Mechanical, Aerospace, Civil, or Chemical Engineering. [4] A minimum undergraduate GPA of 3.3 on a 4.0 scale is required for the Ph.D. program. [2, 4] Students with backgrounds in other fields like Electrical Engineering, Physics, Mathematics, or Chemistry may be admitted but might need to complete prerequisite courses. [4] Applicants for the Ph.D. program must submit 3 letters of recommendation. [4]",Not Required,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,"The PhD in Mechanical Engineering will prepare graduates for industrial and/or academic research as well as for higher-level jobs in mechanical-related industry. The design and manufacturing of power plants, automobiles, aircrafts, helmets, robots, and the development of new materials and systems for improved methods of transportation, energy and production by industrial robots are but a few important inventions that would not have been realized without the creativity associated with the mechanical engineering profession. The mechanical engineering academic program provides a well-balanced curriculum in the following areas of specialization: mechanical systems, mechanics, robotics and mechatronics, thermo/fluid systems, heating- ventilation-and-air-conditioning (HVAC), material characterization, manufacturing and automation systems, materials science and engineering, multidisciplinary design optimization and inverse design, computational analysis and distributed parallel computing, biomechanics, laser and plasma materials processing, nanomaterials, nanotechnology, electronic packaging, optical measurement and diagnostics, waste management, and renewable energy. This program provides an opportunity for students to enhance their technical knowledge and to conduct advanced research that can aid in their professional development and pursuit of research-related employment in the mechanical engineering field.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Molecular and Cell Biology,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Degree requirements: Background in calculus, general physics, organic chemistry, biochemistry and general biology, including genetics. Students intending to do research in computational biology should have some background in mathematics and in programming. Entering students not having this background may be required to take some additional course work in their first year or in the summer immediately preceding entry. [2] Applicants are holistically evaluated according to their undergraduate coursework, their grade point average score (GPA), their graduate record examination score (GRE), their letters of recommendation, written statement of goals and interests, and background and experience. [8]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,"The Ph.D. program in Molecular and Cell Biology (MOCB) combines the substantial faculty resources and research facilities of several departments of the College of Natural and Mathematical Sciences and the College of Engineering at UMBC to offer an interdisciplinary, state-of-the-art educational experience for those desiring advanced training in molecular and cell biology. The program provides participants with the conceptual and technical background to investigate basic or applied problems at the molecular and cellular levels, in the life, biomedical, and bioengineering sciences. The intent of the MOCB program is to provide an intensive, innovative but broadly-based training in molecular and cell biology.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,61.0,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Neurosciences and Cognitive Sciences,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Admission to the NACS program requires a bachelor's degree from a recognized undergraduate institution. [4] Course work in calculus is strongly recommended, as is some understanding of either neuroscience or cognitive science. [4] Strong students will be allowed to make up deficiencies. [4] The program also requires a transcript and three letters of recommendation. [4] GRE tests are accepted, but not required. [6]",Not Required,,True,True,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Natural and Mathematical Sciences,,,,,,,,,"['neuroscience', 'computational neuroscience']","UMBC's Ph.D. in Neurosciences and Cognitive Sciences (NACS) offers a wide range of research and training opportunities for doctoral students within the field of neuroscience. [1] The program offers two concentrations, in neuroscience and computational neuroscience. [1] Faculty research interests range from molecular neurobiology and neural and behavioral systems to analysis and modeling of neurons. [1] Faculty and their students employ both theoretical and experimental approaches in their work.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80,,,,,,,,,,,,,"UMBC participates in all federal and state student financial aid programs and offers scholarships and assistantships through the Graduate School, Graduate Departments and the Office of Financial Aid and Scholarships.",FALSE,,,FALSE,FALSE,,,
,"Doctor of Philosophy in Neurosciences and Cognitive Sciences, Concentration in Computational Neuroscience",,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Admission to the NACS program requires a bachelor's degree from a recognized undergraduate institution. Course work in calculus is strongly recommended, as is some understanding of either neuroscience or cognitive science. Strong students will be allowed to make up deficiencies. The program requires the Graduate Record Examination (GRE) scores, a transcript and three letters of recommendation. All original application documents must be sent directly to the Graduate School, not the graduate program. [1]",Not Required,,False,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,Department of Biological Sciences,,,,,,,,,Computational Neuroscience,"UMBC’s Ph.D. in Neurosciences and Cognitive Sciences (NACS) offers a wide range of research and training opportunities for doctoral students within the field of neuroscience. [11] The program offers two concentrations, in neuroscience and computational neuroscience. [11] Faculty research interests range from molecular neurobiology and neural and behavioral systems to analysis and modeling of neurons. [11] Faculty and their students employ both theoretical and experimental approaches in their work. [11] The world needs scientists with the ability to ask big questions, design thorough experiments to answer them, and analyze and report their findings with courage and an open mind. [12] Scientists like this will help us all better understand complicated systems like the human brain. [12] At UMBC, you can gain the skills and mindset you need to have an impact on humanity. [12] You’ll also improve your teaching, mentoring, and collaboration skills under the mentorship of faculty with international reputations in their areas of expertise who are dedicated to supporting your success. [12]",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Doctor of Philosophy in Neurosciences and Cognitive Sciences, Concentration in Neuroscience",,,,,Doctoral,Fall 2026,,,,,,Not Required,,Strongly recommend having coursework background in calculus and some understanding of either neuroscience or cognitive science.,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Natural and Mathematical Sciences,,,,,,,,,Neuroscience,"The Neurosciences and Cognitive Sciences program (NACS) offers a wide range of research and training opportunities for students pursuing doctoral level research in a variety of areas within the field of neuroscience. Two concentrations are available; neuroscience, and computational neuroscience. Faculty research interests range from molecular neurobiology and neural and behavioral systems, to analysis and modeling of neurons. Research approaches include both the theoretical and the experimental. The experimental work includes cutting edge methodologies; the theoretical includes mathematical, computer, and engineering studies; and both approaches are commonly used together.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,scholarships and assistantships,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Physics,,,,,Doctoral,Fall 2026,,,,Not Required,Not Required,Optional,REQUIRED,"Admission to the Ph.D. program in physics is based on a student’s undergraduate record. It is expected that most applicants will have a bachelor’s degree in physics or a related field. The undergraduate program should have included intermediate and advanced-level courses in mechanics, electricity and magnetism, and quantum physics.",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Natural and Mathematical Sciences,,,,,,,,,"['Astrophysics', 'Condensed Matter Physics', 'Quantum Optics and Quantum Information Science', 'Atmospheric Physics']","UMBC's Ph.D. in physics offers excellent training in disciplines such as astrophysics, condensed matter physics, quantum optics and quantum information science. Opportunities abound for interactions with faculty and students in disciplines outside the department, such as electrical and mechanical engineering and physical chemistry. Graduates frequently continue on to postdoctoral fellowships in academia, high-tech jobs in private industry, or roles in government labs or agencies such as NASA and NIST. UMBC has strong links to NASA's Goddard Space Flight Center in nearby Greenbelt, MD. The UMBC physics department offers a wealth of opportunities while still being small enough to promote a close-knit, collegial environment, including an active Physics Graduate Student Association.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Public Policy,,,,,Doctoral,Fall 2026,,,,,Required,Not Required,REQUIRED,"Applicants for post-baccalaureate study at UMBC must hold a bachelor’s degree from a regionally accredited U.S. institution, or a degree from a non-U.S. institution that is equivalent to a U.S. bachelor’s degree. Individual program admission requirements are often more rigorous than the Graduate School’s minimum requirements. Each program’s section of the graduate catalog contains a statement of the program’s specific requirements. All applicants should have a minimum undergraduate GPA of 3.0 on a 4.0 scale; however, particular programs may have a higher GPA requirement. Particular programs may also require the submission of Graduate Record Examination (GRE) or the Graduate Management Admission Test (GMAT) scores as part of an application.",,,False,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,Public Policy,,,,,,,,,"['Educational Policy', 'Emergency and Disaster Health Systems (EDHS)', 'Evaluation and Analytical Methods', 'Health Policy', 'Policy History', 'Public Management', 'Urban Policy']","The Ph.D. curriculum for a student without a relevant master's degree requires 48 hours of coursework and 18 hours of dissertation research. The curriculum is divided into core courses, disciplinary foundation courses and courses in a specific policy area or discipline. Students with a master's degree will have fewer course requirements.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80,,,,,,,,,,,,,"Graduate Assistantships, Fellowships",FALSE,,,FALSE,FALSE,,,
,Doctor of Philosophy in Statistics,,,,,Doctoral,Fall 2026,,,,,,,,"GRE General Test score in 85 percentile in quantitative section required. TOEFL score of >600 (paper), >250 (computer), or >100 (iBT) for international students whose native language is not English; solid background in mathematics and/or statistics. [4, 13]",Not Required,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Natural and Mathematical Sciences,,,,,,,,,,"The Ph.D. in Statistics is a research-focused degree designed for students with a strong background in mathematics. The primary goal of the program is to produce researchers who can advance statistical theory and methodology. Students will develop a comprehensive understanding of advanced statistical methods and theory, including probability, mathematical statistics, and the construction of probability-based models for complex data. The curriculum is designed to provide students with the skills to conduct original research, critically evaluate scholarly literature, and effectively apply statistical computing tools.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,scholarships and assistantships,FALSE,,,FALSE,FALSE,,,
,Post-Baccalaureate Certificate in American Contemporary Music,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,NOT REQUIRED,"Complete the 3-page application to the UMBC Graduate School. As part of this application you will; Submit payment for online application. Send official transcript certifying completion of bachelor's degree and minimum 3.00 GPA to UMBC. [4] Send supporting materials listed below by mail or email to: Dr. Lisa Cella. [4] Resume including education, jobs, recent performances/projects, awards and honors. [4] Two reference letters. [4] 250-word essay stating your goals and reasons for participation in this program. [4] Performance/Composition/Technology Portfolios. [4]",,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,"College of Arts, Humanities, and Social Sciences",,,,,,,,,,"This unique one-year program, for students and ensembles in performance, composition, music technology, and jazz, is a place to explore creativity and develop a singular musical voice through complete immersion in contemporary music practices in our state-of-the-art facilities at the University of Maryland Baltimore County (UMBC). [1] Whether studying and performing with Internationally acclaimed faculty, interacting with living composers, or working hands on with award-winning music technology professionals, UMBC can tailor fit your course of study with intense musical experiences and the opportunity to delve deeply into a particular area of contemporary music with a focus on music from the Americas. [1] This program is designed for three types of students: Students looking to strengthen their skills before applying to graduate music programs. [1] Students who wish to focus their music study on contemporary music. [1] Ensembles seeking an intense program that not only hones musical skills but focuses on developing a complete entrepreneurial package to prepare for professional life. [1]",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Post-Baccalaureate Certificate in Applied Social Research Methods,,,,,Graduate-Certificate,Fall 2026,,,,Not Required,Not Required,Not Required,REQUIRED,The certificate is open to students with a bachelor's degree in any undergraduate major. [2],Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,"College of Arts, Humanities, and Social Sciences",,,,,,,,,,"The Post-Baccalaureate Certificate in Applied Social Research Methods offered by the Department of Sociology, Anthropology, and Public Health is designed for college graduates who wish to understand how to conduct research projects for communities or organizations. The certificate is awarded by UMBC and has been approved by the Maryland Higher Education Commission (MHEC). The four courses in the certificate program provide an understanding of modes of inquiry in the applied social sciences, and various methods and techniques used in applied research. The certificate if open to student with a bachelor's degree in any undergraduate major. Courses may be applied to the Master of Arts program in Applied Sociology if admitted.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Post-Baccalaureate Certificate in Biochemical Regulatory Engineering,,,,,Graduate-Certificate,Fall 2026,,,,Not Required,Not Required,Not Required,REQUIRED,"The Post-Baccalaureate Certificate in Biochemical Regulatory Engineering is a four-course (12 credit) program. To earn the certificate, students must complete BTEC 660, BTEC 662, BTEC 664, and BTEC 666. All credits may be applied to the Master of Professional Studies (M.P.S.): Biotechnology degree. [3]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Division of Professional Studies,,,,,,,,,,"The Biochemical Regulatory Engineering Post-Baccalaureate Certificate guides students through the ins and outs of the FDA process and explores the numerous considerations that can help ensure product approval and sustainable regulatory compliance status. Professionals from leading bioscience companies and government agency organizations participate in this program. The FDA must be involved at every step of product development, so knowing the internal framework of the FDA review and marketing authorization process can be a significant advantage for your career growth. UMBC’s post-baccalaureate program in biochemical regulatory engineering bridges the gap between your technical expertise and business knowledge of biochemical product development. Students in this program also gain insight from guest lecturers from the private and public sectors who have direct hands-on experience with various biotechnology topics.",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Post-Baccalaureate Certificate in Biotechnology Management,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"A bachelor's degree in science, engineering, or any subject with sufficient coursework in relevant life science topics such as foundations of biology and organic chemistry OR a bachelor's degree in any subject combined with work experience in the life sciences. [2] A minimum undergraduate GPA of 3.0 on a 4.0 scale is also required. [2]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Graduate School,,,,,,,,,,The Post-Baccalaureate Certificate in Biotechnology Management is designed for life science professionals who are interested in leading teams or starting a company—or who are currently engaged in either. The four-course certificate program provides a foundational understanding of management and business processes within the biotechnology field. The courses are taught by industry professionals with extensive practical experience in the subjects they teach.,,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Post-Baccalaureate Certificate in College Teaching & Learning Science,,,,,Graduate-Certificate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"In addition to the Graduate School's general application requirements, applicants to the Post-Baccalaureate Certificate in College Teaching and Learning Science should submit a current resume or curriculum vitae, a statement of goals and interests, and official transcripts. An interview with the Program Director may be required.",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,The Graduate School,,,,,,,,,,,,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,7.0,,,68.0,,96,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Post-Baccalaureate Certificate in Community Leadership,,,,,Graduate-Certificate,Fall 2026,,,,Not Required,Not Required,Not Required,REQUIRED,"For students in the MSW program at the time of enrollment for the Certificate, the Admission requirement will be to be in good standing, as defined by the MSW program, which includes having a GPA of 3.0 or higher. For non-degree seeking students who wish to enroll in the Certificate Program, a bachelor's degree in Social Work or a bachelor's degree and two-years of related professional experience, with a GPA of 3.0 or higher is required. [1]",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"The program is offered through the Social Work department, but the specific school name (e.g., 'School of Social Work') is not explicitly mentioned on the provided page.",,,,,,,,,,"The Community Leadership Certificate provides advanced education and training in social work community practice skills, including mobilizing neighborhood, community, and client groups to solve collective human problems, writing grants for financial support, and planning and conducting advocacy to affect social welfare policy decisions that affect local communities. [4]",,https://catalog.umbc.edu/content.php?catoid=41&navoid=2971,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,7.0,,,68.0,,96,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
