Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,Description.1
,Doctor of Philosophy in Urban and Regional Planning,,,,,Doctoral,Fall 2026,,,,Required,Required,,REQUIRED,"The Doctor of Philosophy in Urban and Regional Science requires applicants to hold a master's degree before beginning the program. [4] The program is rooted in the theoretical bases of urban, city, and community planning, providing expertise in the research process and its application to planning, design, and/or land development issues. [4] It is a transdisciplinary program focusing on the interface of social systems with the natural and built environment. [3] The Ph.D. requires a minimum of 64 credit hours for students who have completed a master's degree. [3, 9] The curriculum includes 29 credits of core courses in research approaches, analytic methods, and theory, 3 credits of professional development, 9–12 elective credits, and 23+ research credits. [4]",,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"['transportation', 'sustainability', 'hazards management', 'healthy communities', 'community development and housing']","The Doctor of Philosophy in Urban & Regional Science is based on a solid core curriculum and provides expertise in areas of specialization that apply to planning, design, and/or land development problems of community, regional, national, or international habitat systems. [4] In educating professionals for research, education, and scholarship in the fields of planning, landscape architecture, and land development, the program provides expertise in the research process and its application to planning, design, and/or land development issues. [4] As a social scientist rooted in the theoretical bases of urban, city, and community planning, students will use rigorous quantitative and qualitative methodologies to examine the interactions among social-ecological systems and the built environment. [5] The work leading to the degree of Doctor of Philosophy (PhD) is designed to give candidates a thorough and comprehensive knowledge of their professional field and training in methods of research, with the final basis for granting the degree being the candidate's grasp of the subject matter of a broad field of study and a demonstrated ability to do independent research. [4] The program accepts students interested in studying in one of its five concentration areas: transportation, sustainability, hazards management, healthy communities, and community development and housing. [4]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,"The program is associated with the Planning Accreditation Board (PAB) accredited programs at the university. [7] The overall planning programs at Texas A&M University have accreditation through December 31, 2028. [13]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Visualization,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"A bachelor's degree in a related field is required for admission to the M.S. program. Example majors include but are not limited to arts-related fields such as fine art, design, and architecture; technical fields such as computer science, mathematics, and engineering; or a variety of other fields with a strong visual emphasis. [3, 4] Competitive applicants have completed the following: Mathematics (Two semesters of calculus and one semester of linear algebra), Computer Science (Proficiency in a high-level programming language such as C/C++, Java, or Python and a course in data structures), and Art and Design (At least two semesters of foundation courses such as drawing, figure drawing, painting, sculpture, design, color theory and photography). [3] A portfolio website showcasing recent, high-quality work is also required. [3]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,"College of Performance, Visualization & Fine Arts",,,,,,,,"['Thesis Option', 'Non-Thesis Option', 'Computer animation', 'Interactive design', 'User experience design', 'Computer graphics', 'Gaming', 'Virtual reality', 'Augmented reality', 'Data visualization']","The Master of Science (MS) a Visualization is designed to prepare students for a range of long-term careers in visualization. The program helps students develop the focused expertise and broad foundation knowledge needed in this rapidly developing field. [2] The program's core curriculum is designed to give all students a basic grasp of the artistic, scientific, cognitive, and technical foundations of the discipline. [2] Beyond this broad training, the program requires students to develop a strong focus area of advanced expertise, and to complete a research thesis or capstone project in this focus area. [2] Students can choose between the thesis and the non-thesis track. The thesis track is recommended for students who want to pursue careers in research and academia. The non-thesis track allows students to tailor the curriculum to their individual career aspirations and is recommended for students interested in careers such as animation, concept art, motion graphics, gaming, and rigging. [2]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,scholarships and assistantships,FALSE,,,FALSE,FALSE,,,,
,Master of Fine Arts in Visualization,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,"College of Performance, Visualization & Fine Arts",,,,,,,,"['Computer animation', 'Gaming', 'Interactive art', 'User experience design', 'Visual storytelling', 'Virtual/augmented reality', 'Visual effects', 'Data visualization']","The Master of Fine Arts in Visualization teaches students to visually communicate their ideas through digital and analog mediums. Our interdisciplinary curriculum encourages the development of new technologies and creative applications. Our graduates are equipped with a unique balance of artistic insight and technical prowess that sets them apart from their peers. [3] Unlike any degree in the state of Texas, the Master of Fine Arts in Visualization combines creativity with technical disciplines. In this program, you'll hone your skills as a technical artist as you create a body of work. With a focus in technological applications and innovations, our program bridges the gap between technical and artistic skills. You'll become a hybrid creative equipped to problem-solve across teams on collaborative projects. [3] The MFA in Visualization is a technology infused visual arts oriented degree that complements the existing Master of Science in Visualization by expanding post-graduate opportunities to include university level faculty positions, self-employment as a contemporary artist, and art direction in digital media. [4]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,8.0,,,,,26,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Arts in Anthropology,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,"The MA program in Anthropology is restricted to students who are currently enrolled in the PhD program in Anthropology and looking to earn their MA en route. It is not open to outside applicants who do not seek to obtain a PhD. [4, 11]",,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"['Biological Anthropology', 'Cultural Anthropology', 'terrestrial Archaeology']","The Master of Arts in Anthropology is structured around the holistic study of the human condition. Students receive comprehensive training within a variety of theoretical and methodological frameworks, integrating a range of quantitative and qualitative approaches to produce culturally informed and socially engaged graduates. Our program facilitates discovery and innovation by exposing students to ground-breaking, original research being conducted by world leading faculty experts. This research is conducted both in the field at numerous archaeological, paleoanthropological, primatological, and cultural anthropological sites around the world, both on land and at sea; and in the lab in some of the most cutting edge ancient DNA, stable light isotope, and nautical and terrestrial archaeology labs in the country. [7] The MA program in Anthropology is restricted to students who are currently enrolled in the PhD program in Anthropology and looking to earn their MA en route. It is not open to outside applicants who do not seek to obtain a PhD. [7]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Maritime Archaeology and Conservation,,,,,Graduate,Fall 2026,,,,Required,Required,GRE,,"Required application materials for the Master of Science in Maritime Archaeology and Conservation (MS-MARC) include a non-refundable application fee, one official transcript from each university attended, GRE General Test scores taken within the last five years, a minimum of three letters of recommendation, and a 1-2 page statement of purpose. [3] A minimum of 32 semester credit hours of approved courses and research is required for the thesis option Master of Science degree; a non-thesis option is not offered. [4] All students are required to write a thesis to complete the degree. [4, 11]",Optional,,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,,,,"College of Arts & Sciences, Department of Anthropology",,,,,,,,,"The Master of Science in Maritime Archaeology and Conservation is a professional degree program. [1] Earning an master's degree will prepare you for employment in maritime museums; cultural resource management firms; (including companies working with the offshore oil industry) and federal, state or similar government agencies. [1] The program is open to a limited number of students, selected on a competitive basis. [1] The Department of Anthropology only accepts graduate students for fall admissions. [1] The program's curriculum is designed to be completed over two years. [1] You will take five core courses and a wide variety of elective courses. [1] All students are required to write a thesis in order to complete the degree. [1] A thesis-based graduate degree is essential for many employment opportunities, and is a prerequisite for being listed on the Register of Professional Archaeologists (RPA). [1]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Each student accepted into the MS program receives a $3,000 scholarship for two academic years (total of $6,000), and a $3,000 research bursary.",,Merit-based,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Anthropology,,,,,Doctoral,Fall 2026,,,,,,,REQUIRED,,,,False,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"['Biological Anthropology', 'Cultural Anthropology', 'Nautical Archaeology', 'Archaeology']","The doctoral program in Anthropology at Texas A&M University is structured around the holistic study of the human condition. [3] Students receive comprehensive training within a variety of theoretical and methodological frameworks, integrating a range of quantitative and qualitative approaches to produce culturally informed and socially engaged graduates. [3] Our program facilitates discovery and innovation by exposing students to ground-breaking, original research being conducted by world leading faculty experts. [3] Department faculty and graduate students work at numerous archaeological, paleoanthropological, primatological, and cultural anthropological sites around the world, both on land and at sea. [3] Department faculty and graduate students also conduct laboratory-based research in some of the most cutting-edge ancient DNA, stable light isotope, and nautical and terrestrial archaeology laboratories and facilities in the country. [3] The PhD program in Anthropology is research-intensive and allows students to specialize in one or more of the following areas: Biological Anthropology; Cultural Anthropology; Nautical Archaeology; Archaeology. [3] Cross-cutting these programs, students engage with our Bridging Themes to develop their own unique, individualized educational curricula. [3] The program provides formal training, research opportunities, and intensive fieldwork experiences for students seeking careers in professional research and/or teaching careers in academic institutions, governmental agencies, museums, or private industry. [3] Work leading to the PhD degree is designed to give the candidate a thorough and comprehensive knowledge of his or her professional field, as well as training in methods of research. [3] The final basis for granting the degree shall be the candidate's grasp of the subject matter of a broad field of study and a demonstrated ability to do independent research. [3] In addition, the candidate must have acquired the ability to express thoughts clearly and forcefully in both oral and written form. [3] The degree is not granted solely for the completion of coursework, residence, and technical requirements, although these must be met. [3]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Atmospheric Sciences,,,,,Graduate,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"A Bachelor of Science or Art degree is a prerequisite. Most successful applicants have a degree in one of the following disciplines: meteorology/atmospheric sciences, geosciences, physics, chemistry, mathematics, or engineering. The prerequisites are 12 hours total of calculus or engineering math and differential equations, and 8 hours total of chemistry and physics for engineering or physical sciences. [10] The statement should be an essay describing past experiences relevant to the M.S. program and should indicate a proposed topic. Applicants should contact faculty with whom they share research interests, and they should mention these faculty by name in their essay. [2]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Arts and Sciences,,,,,,,,,"TThe master of science (MS) degree in atmospheric sciences will prepare students for careers in the public, military or private domain. Students will develop an understanding of theories, concepts, processes and principles of the atmospheric sciences (meteorology, climatology, atmospheric chemistry, etc.). Students will master analytical, scientific, graphical, imaging and software tools that can be used to solve research, development and operational problems. Students will also learn procedures to design, collect and analyze laboratory and field measurements and to access atmospheric data bases provided by government agencies such as NASA, NOAA, EPA, etc. Students will choose to take either the research-based thesis option or the non-thesis option.",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,Research or teaching assistantships,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Atmospheric Sciences,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"A bachelor's degree is required to apply for the Ph.D. program, although a Master of Science degree is not. [10] Prerequisites for the program are a total of 12 hours in calculus or engineering math and differential equations, along with 8 hours in chemistry and physics for engineering or physical sciences. [10] While there isn't a minimum GPA for consideration, most admitted students have a GPA above 3.00. [10] Three letters of recommendation are mandatory. [10] For international applicants, proof of English proficiency is required, which can be demonstrated through a TOEFL score of at least 80, an IELTS score of at least 6.0, or a GRE Verbal Reasoning score of at least 146, among other options. [10]",,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,Computational Science and Engineering (CSE) Option,"The PhD of Atmospheric Sciences prepares graduates for careers in the public, military, or private domain. The curriculum is designed to provide students with an understanding of theories, concepts, processes, and principles of the atmospheric sciences (meteorology, climatology, atmospheric chemistry, atmospheric modeling, etc.). Students master analytical, scientific, graphical, imaging, and software tools that can be used to solve research, development and operational problems. They develop the skills required to research the scientific literature on the latest results of physical sciences. The research-based part of the training prepares the students to lead the development of computer codes, the design of laboratory and field experiments, and the analysis of data from measurements and modeling. [6, 11]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Biology,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants should have completed an undergraduate degree in one of the life sciences, with at least 3 semesters of Biology, 4 semesters of Chemistry, including Organic Chemistry, 1 semester of Biochemistry, 2 semesters of Physics, and one advanced Mathematics course beyond algebra and trigonometry. Applications from students lacking any of the general requirements will be considered, but any deficiencies must be resolved before completion of the program. [8] In addition to the online application, you will need to submit a Statement of Purpose, a C.V., a letter from a faculty member (for thesis-option), official transcripts, and two letters of recommendation. [8]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Arts and Sciences,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Biology,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"The doctorate in biology involves intense laboratory-conducted research coupled with rigorous scholarly contemplation of molecular, cellular and systems principles applicable to microbial, plant and animal contexts. [7] To complete the course of study, you will master experimental method and design to produce and interpret data for addressing a broad range of questions involving living systems and communities. [7] These methodologies include a range of statistical, biochemical, genetic/genomic, molecular and microscopy techniques used for dissecting, describing, cataloging and organizing data from diverse biological systems. [7] You will also master writing and oral skills to effectively communicate new discoveries to fellow scientists and to the general public. [7]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,"The Doctor of Philosophy in Biology involves intense laboratory-conducted research coupled with rigorous scholarly contemplation of molecular, cellular, and systems principles that are applicable to microbial, plant, and animal contexts. [4, 5, 7] To complete the course of study, you will master experimental method and design to produce and interpret data for addressing a broad range of questions involving living systems and communities. [7] These methodologies include a range of statistical, biochemical, genetic/genomic, molecular and microscopy techniques used for dissecting, describing, cataloging and organizing data from diverse biological systems. [5, 7] You will also master writing and oral skills to effectively communicate new discoveries to fellow scientists and to the general public. [5, 7]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,"80 (iBT), 550 (paper-based)",,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Chemistry,,,,,Graduate,Fall 2026,,,,Required,Required,,,"Chemistry graduate students are generally admitted into the PhD program. However, with approval, a student may pursue a Master of Science (MS) degree. [3, 11] A B.A., B.S., M.S., or equivalent degree in chemistry or a degree in a closely related field with appropriate chemistry coursework is expected. [5] An undergraduate grade point average of B (3.0 on a 4.0 scale) or higher is expected, as well as an average of B or higher in chemistry and science courses. [5] In addition to research, these graduate students in the Department of Chemistry are required to enroll in chemistry coursework, serve as teaching assistants for at least two semesters, present seminars and attend seminars. [11] Three letters of recommendation are required. [8]",Not Required,,True,True,,,,,,,,,,,,,,,,,,College of Arts & Sciences,,,,,,,,,"Chemistry graduate students are generally admitted into the PhD program. However, with approval, a student may pursue a Master of Science (MS) degree. In addition to research, these graduate students in the Department of Chemistry are required to enroll in chemistry coursework, serve as teaching assistants for at least two semesters, present seminars and attend seminars. [11, 5] A minimum of 32 semester credit hours of approved courses and research is required for the thesis option Master of Science degree. [11] A minimum of 36 semester credit hours of approved coursework is required for the non-thesis option. [11]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Teaching Assistantships, Research Assistantships, Fellowships",FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Chemistry,,,,,Doctoral,Fall 2026,,,,Optional,Optional,,,"General requirements for graduate admission to Texas A&M University include holding a bachelor's degree (or equivalent) from an accredited institution. Specific departments and programs have their own additional requirements regarding application materials and deadlines. It is critical for applicants to review the specific requirements for their program of interest on the respective department's website. International applicants may have additional requirements, such as proof of English proficiency.",Optional,,True,True,,,,,,,,,,,,,,,,,,College of Arts and Sciences,,,,,,,,"['Analytical Chemistry', 'Inorganic Chemistry', 'Organic Chemistry', 'Physical Chemistry', 'Theoretical Chemistry']","The PhD program in chemistry at Texas A&M offers advanced training in analytical, inorganic, organic, physical, and theoretical chemistry. Students gain hands-on experience in state-of-the-art laboratories and collaborate on research that addresses real-world challenges. The program emphasizes both fundamental science and innovative applications, preparing graduates for impactful careers in academia, industry, and government. [9]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Teaching and research assistantships,FALSE,,,FALSE,FALSE,,,,
,Master of Arts in Communication,,,,,Graduate,Fall 2026,,,,Not Required,Required,,,"In admitting graduate students, the Department of Communication gives preference to the most highly qualified applicants as evaluated by a combination of criteria, including grade point average, letters of recommendation, demonstrated writing ability, and objectives that are a suitable fit with our departmental resources (also, English language proficiency for international applicants). [10]",Required,,True,False,,,,,,,,,,,,,,,,,,College of Arts & Sciences,,,,,,,,,"The Master of Arts (M.A.) in Communication is a two-year, research-oriented degree. You'll develop a generalized program of study across communication arts and sciences. [3] The generalized degree plan builds a firm foundation for students with different interests. [3, 6] You'll be exposed to both social scientific and humanistic approaches to scholarship. [3] This degree will prepare you to pursue a career as a communication instructor and/or communication research specialist. [3, 6] You'll also be prepared to pursue further graduate study in communication or a related field. [3]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Communication,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Arts and Sciences,,,,,,,,"['Media, Society and Politics', 'Media & Health Promotion', 'Science Communication']","The doctoral program in Communication provides world class curriculum, faculty, and facilities to prepare students as scholars and educators. In our doctoral program, you will work with diverse faculty who study health communication, intercultural and international communication, media processes and effects, media and society, and organizational acommunication. [1] Our program centers on: *Media, Society and Politics focuses on the role that communication plays in political institutions and in creating robust civic engagement. [1] We examine political communication from multiple perspectives and examine the interplay of emerging technology, media, and communication with information seeking, processing, and decision making. [1] Our research focuses on both individual-and societal-level outcomes. [1] Faculty and graduate students work in teams to test and develop theory related to political communication. [1] *Media & Health Promotion focuses on media messages and health behavior. [1] This includes social level analysis of mainstream and alternative media as products of and influences on the health of individuals and society; individual level analysis of psychological processes through which health related knowledge, attitudes and behaviors are shaped; and the creation of messages related to health and social well being, as well as how strategic message campaigns can influence decision making and social development. [1] *Science Communication focuses on enhancing the relevance and accessibility of scientific information and local context needed for collaborative and sustainable resource management, especially among local populations most at-risk. [1] The program focuses on environmental communication, natural or technological hazards and the use or communication of public policy. [1] Faculty and students specialize in science education, communication campaigns, communicating risks, risk perception analysis, spatial modeling of vulnerability and adaptive capacity of human populations, audience segmentation, media analysis and public engagement. [1]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Arts in Economics,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,False,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Arts and Sciences,,"$7,500 per long semester (fall or spring) and $3,000 per summer semester for Texas residents. For non-residents, it is $10,000 per long semester (fall or spring) and $4,000 per summer semester. [11]",,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Economics,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,"Most graduate application information is specific to different colleges and programs. Applicants should refer to their program's website for specific application information, including deadlines and required documents. Most academic programs utilize the Texas A&M University GraduateCAS for applications. [18]",,,True,True,False,False,False,False,,True,,False,,False,True,True,False,False,,,,,,,,,,,,"['Financial Econometrics', 'Financial Economics']","The Master of Science in Economics program with a concentration in Financial Econometrics or Financial Economics in the Department of Economics at Texas A&M University is a STEM program that aims to provide rigorous training in economics, econometrics, analytical and quantitative skills for students in order to prepare them for immediate careers in business or government, or further study in top economics and finance Ph.D. programs. [3, 5] This terminal, professional Master's degree program was rebuilt in 2011 after a two-years extensive design and review process, created in response to the increasingly high demand from students seeking a professional master's degree in economics and employers looking for candidates with advanced training. [3] Students are able to complete the program in 18 or 24 months. [3, 5] Most students are in the non-thesis option and complete 36 credit hours to receive their degree. [3, 5] Thesis option students must complete a total of 32 semester hours of graduate course credits, a thesis under the guidance of an Advisory Committee, and pass an oral/final exam in the final semester of their studies. [3, 5] The course structure for the program includes a set of core courses in microeconomics, macroeconomics, and business finance, and required courses in behavioral, international, advanced econometrics, and institutions, and a capstone course that provides students with experience in carrying out an applied research project. [3, 5] Students are encouraged to participate in an internship in the summer of their first year. [3, 5]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,"Texas A&M University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award bachelor's, master's and doctoral degrees. [15] The baccalaureate and master's curricula at Mays Business School are accredited by the Association to Advance Collegiate Schools of Business (AACSB). [15]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Economics,,,,,Doctoral,Fall 2026,,,,,Required,Optional,REQUIRED,"Submit an application and upload documents online at Texas A&M Grad CAS. The Economics Department does not have any specific requirements for the essay. An undergraduate major in economics is not a requirement, but students are expected to have taken some economics courses, including at least intermediate theory courses. Students should also have a solid background in mathematics. The recommended math courses are calculus, linear algebra, and mathematical statistics.",Optional,,False,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Arts and Sciences,,,,,,,,"['Advanced Theory/Special Topics', 'Behavioral and Experimental Economics', 'Econometrics', 'Labor Economics', 'Industrial Organization', 'International Economics', 'Advanced Macroeconomics', 'Public Economics']","The Ph.D. Program in Economics emphasizes analytical and quantitative skills and exposes students to a broad range of contemporary policy issues to prepare them for careers in academic, business, or government careers. [3] In their first two semesters of study, students receive rigorous training in three core areas: microeconomics, macroeconomics and econometrics. [3] After completing the core sequences, students choose three fields of specialization for intensive study. [3] For most students, work on the dissertation begins in the third year and occupies them through the fourth or fifth year of residence. [3] Our PhD program is classified as STEM (CIP Code 45.0603: Econometrics and Quantitative Economics). [3]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,"The Department of Economics offers various scholarships, such as the Gail Frey Monson Memorial Scholarship with a typical stipend of $500 and the S. Charles Maurice Graduate Fellowship in Economics, which is typically $2,500. [3]",,Merit-based and need-based,FALSE,,,FALSE,FALSE,,,,
,Master of Arts in English,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Applicants should have sufficient preparation for graduate courses in English. In some cases, applications are prepared with adjacent degrees, such as in Linguistics, Communication, and History. However, the personal statement needs to sufficiently explain how you are prepared for graduate coursework in English, and your writing sample should demonstrate this preparedness. [6] We are no longer requiring GRE tests, but you may send scores if you have them. [6] International students must still submit TOEFL or IELTS scores to qualify for admission. [6] All M.A. students must take ENGL 603: Bibliography and Research Methods and fulfill 12 additional hours of distribution requirements. [7] M.A. students must demonstrate competency in a minimum of one foreign language. [7]",Required,,True,True,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,"Our masters is designed to provide a knowledge base in a range of literatures and theories with a Master of Arts in English. [9] You will take a broad range of courses with small class sizes and complete independent work with an advisory committee. [9] You will pursue specialized study and synthesize the knowledge and critical skills developed through coursework. [9] Through this program, you will learn to: Articulate a research plan and carry it out, develop original arguments that contribute to ongoing debates within the field, master research techniques and the ability to evaluate resources, including digital resources, and communicate your ideas to varied audiences, both orally and in writing. [9] You will choose between the thesis and non-thesis option. [9] After earning your master's degree in English, you'll be qualified to pursue doctoral studies, apply for positions teaching composition at the community college level, and succeed in editorial and other writing-centered employment. [9]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,"Texas A&M University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award bachelor's, master's and doctoral degrees. [15]",,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,53.0,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
