Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Not Required,Not Required,"To apply, a student must submit a completed application for admission, a $35 non-refundable application fee, and an official high school transcript. UNA practices a test-optional admissions policy. This policy allows a student to be admitted without a test score with a 2.5 GPA. Students can submit test scores if they choose, and scores can still be used for scholarship and course placement purposes.

Unconditional Admission:
- Minimum 2.0 cumulative high school GPA and minimum 18 ACT or 940 SAT
- OR Minimum 2.5 cumulative high school GPA (test-optional)",Not Required,True,False,False,False,False,18.0,940.0,program,Bachelor of Science in Communication Arts,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-humanities-social-sciences/communications/ba-bs/ba-bs.pdf
Not Required,Not Required,"To be considered for admission to the University of North Alabama as a first-time freshman, a student must submit an application for admission, a non-refundable application fee, and an official high school transcript. The University of North Alabama practices test-optional admission. ACT/SAT scores are not required for admission into the university but may be submitted for scholarship consideration and course placement. Unconditional Admission requires a minimum 2.25 high school GPA, while Conditional Admission requires a minimum 2.00 high school GPA.",Not Required,True,True,True,False,False,,,program,Bachelor of Business Administration in Computer Information Systems,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"To be considered for admission to the University of North Alabama as a first-time freshman, applicants must submit an application for admission and an official high school transcript. The submission of ACT or SAT scores is optional due to the university's test-optional admissions policy. For unconditional admission, students must have a regular high school diploma and either a minimum 2.25 high school GPA OR a minimum 2.00 high school GPA with a composite ACT score of 20 or an SAT combined score of 1020. For conditional admission, students must have a regular high school diploma and either a minimum 2.00 high school GPA OR a composite ACT score of 18 or an SAT combined score of 940.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Computer Science,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"Admission to the University of North Alabama is based on a holistic review of a student's application. Applicants must have a minimum high school GPA of 2.25. Required documents include the application for undergraduate admission, a non-refundable application fee, and an official high school transcript. Standardized test scores (ACT/SAT) are not required for admission to the university but are used for placement in English and mathematics courses and for awarding academic and competitive scholarships.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in Criminal Justice,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"For unconditional admission, freshman applicants must have a minimum 2.25 cumulative high school GPA (on a 4.0 scale). An official high school transcript, GED, or home school transcript is required for admission.",Not Required,True,True,False,False,False,,,program,Bachelor of Science in Criminal Justice,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"The minimum requirements for admission to the University as a first-time freshman are as follows: Submit an official high school transcript or GED score. Submit an official ACT or SAT score. (Beginning with the fall 2021 entering class, UNA is test-optional for students who have a 3.0 or higher high school GPA.)",Not Required,True,False,False,False,False,16.0,880.0,program,Bachelor of Science in Culinary Arts Management,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"General university admission requirements for freshmen include submission of an application, official high school transcript, and an official ACT or SAT score. For unconditional admission, a student must have a 2.25 GPA and a 16 ACT/880 SAT score. For students who have a GPA of 2.0-2.24, the ACT must be an 18/950 SAT. Additionally, to be admitted to the College of Business and Technology, an undergraduate student must have an overall GPA of 2.0 or higher. The student must have also completed MA 112 or a higher level mathematics course, EC 221, EC 222, AC 291, CIS 125, and QM 291 with a grade of C or better in each course and an average GPA of 2.0 in those courses.",Not Required,True,True,False,True,True,16.0,880.0,program,Bachelor of Business Administration in Economics,https://catalog.una.edu/undergraduate/colleges-programs/business/business.pdf
Not Required,Not Required,"To apply, prospective students must submit an online Application for Admission, a $35 Application Fee, and an official High School Transcript. For the Engineering Technology program, official ACT and/or SAT scores are explicitly required. While the university offers test-optional admission for students with a 3.00 or higher GPA, this option is not available for Engineering Technology program consideration. Admission is granted based on a combination of high school GPA and test scores, such as a minimum 2.50 GPA with a 16 ACT or 860 SAT, or a minimum 2.25 GPA with an 18 ACT or 940 SAT.",Not Required,True,True,True,True,True,16.0,860.0,program,Bachelor of Engineering,https://catalog.una.edu/undergraduate/
,,The University of North Alabama offers unconditional and conditional admission. Unconditional Admission: A minimum composite score of 20 on the ACT (or 1030 on the SAT-ERW+M) and a minimum of 2.25 high school GPA. Conditional Admission: A minimum composite score of 16 on the ACT (or 880 on the SAT-ERW+M) and a minimum of 2.0 high school GPA. The University of North Alabama offers a test-optional admissions plan for freshman students with a minimum of 3.0 high school GPA.,,True,False,True,False,False,16.0,880.0,program,Bachelor of Science in Engineering Technology,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-science-engineering-mathematics/engineering-industrial-professions/bs-engineering-technology/
Not Required,Not Required,"To be considered for admission, students should submit an application for admission, official high school transcript, and official ACT or SAT scores. To be admitted unconditionally, applicants must have a minimum composite score of 18 on the ACT (or SAT equivalent) AND a minimum 2.00 high school GPA. The University of North Alabama is test-optional for students with a 3.0 or higher cumulative high school GPA.",Not Required,True,False,False,False,False,18.0,,program,Bachelor of Arts in English,https://catalog.una.edu/
Not Required,Not Required,First-time freshmen who have earned a high school diploma or GED may be admitted to the university unconditionally with one of the following: 1. A minimum composite score of 20 on the ACT (or 1030 on the SAT-ERW+M); or 2. A minimum 2.50 cumulative high school grade point average (GPA). Conditional admission may be granted to students who do not meet unconditional admission requirements with a minimum composite score of 16 on the ACT (or 880 on the SAT-ERW+M) and a minimum 2.0 cumulative high school grade point average.,Not Required,True,False,False,False,False,,,program,Bachelor of Science in English,https://www.liberty.edu/arts-sciences/bachelors/english-writing/
Not Required,Not Required,Unconditional admission to the University may be granted to first-time freshmen who are graduates of a regionally accredited high school (or the equivalent) and meet the following criteria: At least a 2.25 high school GPA and a composite score of 18 or higher on the ACT (or 960 or higher on the SAT-I ERW+M). UNA is test-optional for students with a 2.50 or higher high school GPA.,Not Required,True,True,False,False,False,18.0,960.0,program,Bachelor of Arts in Entertainment Industry,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-arts/entertainment-industry/ba-bs/
Not Required,Not Required,"The University of North Alabama has general admission requirements for undergraduate students. For regular admission, a minimum high school GPA of 2.25 and a minimum ACT composite of 18 or SAT of 940 (combined Evidence-Based Reading & Writing and Math) is required. However, the university offers a test-optional policy for students entering in the Spring, Summer, or Fall 2025 semesters. Students applying under the test-optional policy must have a 2.50 or higher cumulative high school GPA.",Not Required,True,False,False,False,False,18.0,940.0,program,Bachelor of Science in Entertainment Industry,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"Unconditional Admission: To be unconditionally admitted, a first-time freshman must have a minimum high school GPA of 2.25 and a minimum composite score of 18 on the ACT or an equivalent score on the SAT (960). Conditional Admission: To be conditionally admitted, a first-time freshman must have a minimum high school GPA of 2.0 and a minimum composite score of 16 on the ACT or an equivalent score on the SAT (880). Test-Optional Admission: Test-optional admission is available for first-time freshmen with a high school GPA of 2.50 or higher. The Office of Admissions reserves the right to require an ACT/SAT score on a case-by-case basis. Test scores will be required for some academic scholarships, nursing and honors college admission.",Not Required,True,True,False,False,False,18.0,960.0,program,Bachelor of Arts in Entertainment Industry (Entertainment Business Option),https://www.una.edu/sitemap.xml
Not Required,Not Required,"The University of North Alabama practices a test-optional admission policy for most freshman applicants. Applicants may qualify for Unconditional or Conditional Admission. Unconditional Admission: Verified high school GPA of 2.50 or higher and a composite score of 18 or higher on the ACT (or 960 or higher on the SAT), OR a verified high school GPA of 3.0 or higher (test optional). Conditional Admission: Verified high school GPA of 2.00-2.49 and a composite score of 16-17 on the ACT (or 880-950 on the SAT).",Not Required,True,False,False,False,False,16.0,880.0,program,Bachelor of Science in Entertainment Industry (Entertainment Business Option),https://catalog.una.edu/undergraduate/
,,Admission requirements are not specified for this program. General freshman admission to the university is based on high school GPA and may require standardized test scores. Unconditional admission may be granted to first-time freshmen who meet at least one of the following criteria: High school GPA of 2.50 or higher on a 4.00 scale AND an ACT composite score of 18 or higher (or SAT equivalent of 940); High school GPA of 2.00-2.49 AND an ACT composite score of 20 or higher (or SAT equivalent of 1020). The University of North Alabama also offers test-optional admission to students with a 3.0 or higher high school grade point average (GPA).,,True,False,False,False,False,,,program,Bachelor of Arts in Entertainment Industry (Entertainment Technology Option),https://catalog.una.edu/
Not Required,Not Required,"To be considered for admission, applicants must submit an online application, a $35 application fee, and an official high school transcript. For unconditional admission, a minimum high school GPA of 3.0 is required. For conditional admission, a minimum high school GPA of 2.0 is required. The University of North Alabama is test-optional for admissions purposes, and the submission of an ACT or SAT score is not required for a student to be considered for admission.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Entertainment Industry (Entertainment Technology Option),https://catalog.una.edu/undergraduate/
,,Students who have completed the general education requirements and have earned an overall GPA of 2.75 or above are eligible for admission into the Exercise Science Major. Students may apply for admission by completing an application form in the HPER Office.,,True,False,True,False,False,,,program,Bachelor of Science in Exercise Science,https://catalog.una.edu/undergraduate/colleges-programs/education-human-sciences/health-physical-education-recreation/bs-exercise-science/
Not Required,Not Required,"First-time freshmen who have earned a high school diploma (or the equivalent) and are under the age of 21, must submit the following: a completed application for admission, a $35 non-refundable application fee, and an official high school transcript. An official ACT or SAT score may be required, however, UNA offers test-optional admission for applicants with a 2.75 or higher high school GPA.",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Fashion Merchandising and Design,https://www.una.edu/art/degree/fashion-merchandising-and-design.html
Not Required,Not Required,"To be admitted to the BBA degree program, a student must have: 1. completed at least 45 semester hours of coursework; 2. completed the following courses with a grade of C or better: EN 111, EN 112, MA 112 or MA 113 or MA 125, CIS 125, AC 291, AC 292, EC 251, and EC 252; and 3. achieved a GPA of at least 2.25 on all coursework attempted at UNA.",Not Required,True,False,False,False,False,18.0,960.0,program,Bachelor of Business Administration in Finance,https://catalog.una.edu/undergraduate/colleges-programs/business/department-economics-finance/department-economics-finance.pdf
,,,,True,False,False,False,False,,,program,Bachelor of Science in Fitness Management,https://www.una.edu/education/bachelor-degrees/bachelor-of-science-health-and-fitness.html
Not Required,Not Required,"To be considered for admission, students must submit: an official high school transcript or GED score, an official ACT or SAT score, and a non-refundable $35 application fee. The University of North Alabama has a test-optional admissions policy for students with a 2.5 or higher high school GPA. For unconditional admission for those submitting scores, a minimum 2.25 high school GPA is required along with a minimum composite score of 18 on the ACT or a minimum combined score of 960 on the SAT.",Not Required,True,False,False,False,False,18.0,960.0,program,Bachelor of Arts in Foreign Languages,https://www.una.edu/sitemap.xml
Not Required,Not Required,,Not Required,True,False,True,False,False,,,program,Bachelor of Arts in Geography,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-science-engineering-mathematics/geoscience/ba-bs-geography/ba-bs-geography.pdf
Not Required,Not Required,"For unconditional admission, first-time freshmen must have a minimum high school GPA of 2.25 AND a minimum composite score of 18 on the ACT or a 970 on the SAT. For conditional admission, applicants may have a high school GPA of 2.0 and a composite score of 16 on the ACT or a 880 on the SAT. For students who apply test-optional, you must have a minimum high school GPA of 2.5.",Not Required,True,False,False,False,False,18.0,970.0,program,Bachelor of Science in Geography,https://www.una.edu/registrar/Academic%20Calendars/index.html
Not Required,Not Required,UNA has two paths for unconditional freshman admission: 1. A minimum 2.0 cumulative high school GPA (on a 4.0 scale) and a minimum composite score of 18 on the ACT or 960 on the SAT (evidenced-based reading/writing + math). 2. A minimum 2.5 cumulative high school GPA (on a 4.0 scale).,Not Required,True,False,False,False,False,18.0,960.0,program,Bachelor of Science in Health & Fitness,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"To be considered for admission to UNA, you need to submit the following: Online Application for Admission, $35 Application Fee, Official High School Transcript, Official ACT or SAT Score.",Not Required,True,True,False,True,True,18.0,940.0,program,Bachelor_of_Science in Health Promotion,https://www.fhsu.edu/hhp/academic-programs/
Not Required,Not Required,"First-time freshmen must submit an application for admission, a $35 non-refundable application fee, and an official high school transcript. An official ACT or SAT score may be required. For unconditional admission, a student must have a high school diploma with a minimum GPA of 2.25 and at least an 18 composite on the ACT or a 960 on the SAT. The university offers a test-optional admission policy for students who have a 3.0 or higher high school grade point average.",Not Required,True,False,False,False,False,18.0,960.0,program,Bachelor of Science in Hospitality and Events Management,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"Unconditional admission to the University may be granted to a first-time freshman who meets the following criteria: Has a minimum high school GPA of 2.25 or higher; and, Has a composite score of 18 or higher on the ACT (or 960 on the SAT, taken March 2016 or after). Students who have a GPA of 2.00-2.24 must have a composite score of 20 on the ACT (or 1030 on the SAT, taken March 2016 or after) for unconditional admission. Students who have a composite score of 16-17 on the ACT (or 880-950 on the SAT) must have a GPA of 2.50 or higher for unconditional admission. The University of North Alabama is test-optional for students through the fall 2025 entry term. High school graduates who have at least a 3.0 GPA but do not have an ACT or SAT score on file may be admitted.",Not Required,True,False,False,False,False,,,program,Bachelor of Fine Arts in Interior Architecture and Design,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"ADMISSION REQUIREMENTS FOR FIRST-TIME FRESHMEN: Students who meet the criteria for regular admission must meet one of the following requirements:

A minimum 2.25 high school GPA and a minimum 18 ACT (960 SAT).
OR
A minimum 2.50 high school GPA and a minimum 16 ACT (880 SAT).
OR
A minimum 3.00 high school GPA.

UNA is currently Test Optional for admissions. Students must have a 2.5 GPA for admissions without a test score. Students who don't meet this requirement may still be considered for admissions with a test score.",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in Interdisciplinary Studies,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/interdisciplinary-professional-studies/interdisciplinary-professional-studies.pdf
Not Required,Not Required,The University of North Alabama is test-optional for admission purposes. Applicants with a minimum 2.25 high school GPA may be admitted without an ACT or SAT score. Applicants may also qualify for traditional admission with a minimum 2.0 high school GPA and a minimum 18 ACT composite score or 960 SAT composite score.,Not Required,True,False,False,False,False,,,program,Bachelor of Science in Interdisciplinary Studies,https://www.una.edu/interdisciplinary-studies/docs/BIS_brochure.pdf
Not Required,Not Required,"The program catalog states that admission to the College of Business and Technology is open to all students admitted to the University. The University of North Alabama's freshman admission requirements are as follows:

UNA is a test optional institution, and ACT/SAT scores are not required for admission for students with a 2.5 GPA or higher.

Students with a 2.00-2.49 GPA must submit an official ACT/SAT score for admission review.

Admission Types:
- Unconditional Admission: Students with a 2.25 GPA and an 18 ACT or a 960 SAT are unconditionally admitted to UNA.
- Conditional Admission: Students with a 2.00 GPA and a 16-17 ACT or an 880-950 SAT are conditionally admitted to UNA.",Optional,True,False,False,False,False,16.0,880.0,program,Bachelor of Business Administration in Professional Management (Accommodation and Service Industry Management Concentration),https://catalog.una.edu/undergraduate/colleges-programs/business/department-management-marketing/bba-professional-management/
Not Required,Not Required,"General freshman admission to the university requires a high school diploma or GED. Unconditional admission requires a minimum 2.00 high school GPA and a minimum composite score of 18 on the ACT (or 960 on the SAT-I). A test-optional policy is available for students with a 2.50 or higher cumulative high school GPA. After admission to the university, students are admitted to the B.B.A. Degree Program upon successful completion of the following with a cumulative grade point average of 2.0 or higher: CIS 125, EC 251, EC 252, AC 291, AC 292, MA 112 or higher, EN 111, and EN 112.",Not Required,True,True,False,False,False,18.0,960.0,program,Bachelor of Business Administration in Professional Marketing (Digital Marketing Concentration),https://catalog.una.edu/undergraduate/
Not Required,Not Required,"Admission to the University is granted to students who show promise of success in a university curriculum. Applicants must submit a completed application for admission and an official high school transcript. For unconditional admission, applicants must meet one of the following criteria: 2.50 or higher cumulative high school GPA (on a 4.0 scale) OR 20 or higher ACT composite score (or SAT equivalent).",Not Required,True,False,True,False,False,,,program,Bachelor of Arts in Occupational Health Science,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-science-engineering-mathematics/engineering-industrial-professions/ba-bs-ohs/
Not Required,Not Required,"Admission to the University of North Alabama is based on a review of the high school academic record. Standardized test scores (ACT/SAT) are not required for admission consideration for most students.

Unconditional Admission:
- High school diploma from a regionally accredited high school
- At least a 2.25 high school grade point average (GPA)
- At least 15 approved units of high school work

Conditional Admission:
- High school diploma from a regionally accredited high school
- At least a 2.00 high school grade point average (GPA)
- At least 15 approved units of high school work",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Occupational Health Science,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"UNA has a test-optional admission policy for first-time freshmen. Regular admission requirements include graduation from a regionally accredited high school with a regular or advanced diploma, and at least a 2.25 cumulative high school GPA (on a 4.0 scale).",Not Required,True,False,True,False,False,,,program,Bachelor of Arts in Physics (General Physics Option),https://catalog.una.edu/undergraduate/
Not Required,Not Required,"First-time freshmen who graduated high school less than three years prior to the start of their entry term are required to submit an official ACT or SAT score report. Additionally, first-time freshmen are required to submit an official high school transcript showing GPA and graduation date.

Unconditional Admission:
- High school GPA of 2.25 or higher; and
- Composite ACT score of 18 or higher (or SAT score of 940 or higher).

Conditional Admission:
- High school GPA of 2.00 or higher; and
- Composite ACT score of 16 or 17 (or SAT score of 860-930).",Not Required,True,False,True,True,True,16.0,860.0,program,Bachelor of Science in Physics (General Physics Option),https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEAbvS-Cg5Hx1T7Q-LelsoTZ0bzMFL5Aj0O3_mNVljYChjdHtCTGVJyOprpeno8lOHCCocxUOecBgIGSt0FBsCsDLlKxq3cBlLHzuLf3IYFpuPPXMVeqSrZ3Rk89atrnSEMO7mls3HhtzH3kSBvnA==
Not Required,Not Required,"To be considered for admission, first-time freshmen must submit an application for admission, a $35 non-refundable application fee, and an official high school transcript. UNA is currently Test-Optional for students who have a 3.0 or higher high school GPA. Students with a GPA below a 3.0 must submit test scores for admission consideration.",Not Required,True,False,False,False,False,18.0,960.0,program,Bachelor of Arts in Political Science,https://www.una.edu/pjlp/index.html
Not Required,Not Required,"The University of North Alabama is test-optional for admission. Applicants can be admitted via two pathways: 1) Traditional admissions with a minimum 2.25 high school GPA and a minimum 18 ACT composite or 960 SAT total score. 2) Test-optional admissions with a minimum 2.50 high school GPA. Required documents include the application for admission, application fee, and an official high school transcript.",Not Required,True,True,False,False,False,18.0,960.0,program,Bachelor of Science in Political Science,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-humanities-social-sciences/pjlp/pjlp.pdf
Not Required,Not Required,"The University of North Alabama has a test-optional admission policy for first-time freshmen through Fall 2025. Applicants with a high school GPA of 2.5 or higher are not required to submit test scores. Applicants with a GPA between 2.0 and 2.49 must submit a test score.

Unconditional Admission:
Requires either a minimum composite score of 18 on the ACT (or 960 on the SAT) with a minimum 2.00 high school GPA, OR a minimum high school GPA of 2.25 with six completed semesters. An official high school transcript is required.

Conditional Admission:
Requires a minimum high school GPA of 2.00 and a composite score of 16 or 17 on the ACT (or 880-950 on the SAT).",Not Required,True,True,False,False,False,16.0,880.0,program,Bachelor_of_Arts in Psychology,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"Unconditional Admission: High school GPA of 2.25 or higher. A high school diploma with a minimum of 24 credits.
Conditional Admission: High school GPA of 2.00-2.24. A high school diploma with a minimum of 24 credits.
UNA is test-optional for students with a high school GPA of 2.50 or higher. Students with a GPA between 2.0 and 2.49 will be reviewed on a case-by-case basis. Students with a GPA below 2.0 may be admissible with an ACT score of 18 or higher or a SAT score of 940 or higher.",Not Required,True,True,False,False,False,,,program,Bachelor of Science in Psychology,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-humanities-social-sciences/psychology-sociology/psychology-sociology.pdf
Not Required,Optional,"First-time freshmen must submit an official high school transcript. Applicants who graduated from high school within the last three years have two admission pathways:
1) Traditional Admission: Submit an official high school transcript and an ACT/SAT score.
2) Test Optional Admission: Students with a 3.00 high school GPA or higher who do not wish to have their test scores considered must complete the essay portion of the admissions application.

Unconditional admission requires a minimum 2.25 high school GPA and a minimum 18 ACT or 940 SAT score.
Conditional admission requires a minimum 2.00 high school GPA and a minimum 16 ACT or 860 SAT score.",Not Required,True,False,False,False,False,16.0,860.0,program,Bachelor of Science in Recreation,https://catalog.una.edu/undergraduate/
Not Required,Required,"Admission to the BSW Program is a selective process and must occur prior to a student's enrollment in any 400-level social work course. Students who meet the minimum criteria are not guaranteed admission to the program. The social work program admission criteria include: 1. Submission of a formal, written application to the BSW Program. 2. Completion of SW 230 and SW 235 with a grade of 'C' or higher. 3. Completion of at least 45 credit hours. 4. A cumulative GPA of at least 2.5. 5. Recommendation for admission by the Social Work Admissions Committee based on consideration of the completed application portfolio, which includes the formal application, the student’s academic record, a personal statement, and letters of recommendation.",Not Required,True,False,False,False,False,,,program,Bachelor of Social Work,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-humanities-social-sciences/social-work/
Not Required,Not Required,"The University of North Alabama practices a test-optional admission policy. Freshman applicants who have a 2.25 cumulative high school GPA or greater on a 4.0 scale will be granted unconditional admission. Applicants who have a cumulative high school GPA between a 2.0-2.24 on a 4.0 scale will be granted conditional admission. For students who choose to submit test scores, an 18 ACT composite or 960 SAT total score is required in addition to the GPA requirement.",Not Required,True,False,False,False,False,18.0,960.0,program,Bachelor of Arts in Sociology (Family Life Education),https://www.una.edu/psychology-and-sociology/sociology-program/index.html
Not Required,Not Required,"Unconditional Admission of First-Time Freshmen: Applicants who have a high school diploma or GED and meet the following criteria will be admitted unconditionally: 1. A minimum composite score of 18 on the ACT (or 940 on the SAT) and a minimum of a 2.0 high school GPA. OR 2. As a test-optional university, students with a minimum of a 2.25 GPA are not required to submit ACT/SAT scores.",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Sociology (Family Life Education),https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-humanities-social-sciences/psychology-sociology/ba-bs-sociology/
Not Required,Not Required,UNA has a test-optional admission policy. Freshman applicants for admission must have a minimum high school GPA of 2.25. Students must meet at least one of the following criteria for unconditional admission to UNA: High school GPA of 2.50 or higher and an ACT composite score of 18 or higher (or SAT equivalent). OR High school GPA of 2.75 or higher. OR High school GPA of 2.25 or higher and an ACT composite score of 20 or higher (or SAT equivalent).,Not Required,True,True,False,False,False,,,program,Bachelor of Science in Sport and Recreation Management,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"Admission to the University of North Alabama is based on a comprehensive review of each applicant's academic record. UNA practices test optional admissions. ACT/SAT scores will not be required for admissions consideration, scholarship review or for course placement. Students may choose to submit their test score as part of the admissions process. Students who meet the following criteria will be admitted to the university:

Unconditional Admission (With Test Score):
- Minimum 2.0 cumulative high school GPA on a 4.0 scale AND
- Minimum 18 ACT composite score or 940 SAT total score

Unconditional Admission (Without Test Score - Test Optional):
- Minimum 2.25 cumulative high school GPA on a 4.0 scale",Not Required,True,False,False,False,False,18.0,940.0,program,Bachelor of Arts in Sustainability,https://catalog.una.edu/undergraduate/
Not Required,Not Required,,Not Required,True,False,True,False,False,,,program,Bachelor of Science in Sustainability,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-science-engineering-mathematics/geoscience/bs-sustainability/
