Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Bachelor of Science in Finance,https://www.clarkson.edu/academics/majors-minors/financial-information-analysis,Not Required,Required,"To apply, applicants must submit either the Common Application or the Clarkson Application. Required materials include an official high school transcript, one letter of recommendation from a school counselor or teacher, and an essay. Standardized test scores (SAT/ACT) are optional. For students who choose to submit scores, Clarkson does not require the writing section for the SAT or the ACT.",Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Financial Information and Analysis,https://www.clarkson.edu/academics/majors-minors/financial-information-analysis,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Global Supply Chain Management,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Innovation and Entrepreneurship,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Computer Engineering,https://www.clarkson.edu/academics/majors-minors/computer-engineering,Not Required,Not Required,"To be considered for admission, applicants must submit the Common Application or the Clarkson Application, an official high school transcript, and one letter of recommendation from a school counselor or teacher. International students may have additional requirements, such as proof of English language proficiency.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Electrical Engineering,https://www.mccormick.northwestern.edu/electrical-computer/academics/undergraduate/electrical-engineering/curriculum-requirements.html,Not Required,Required,"A complete application to Clarkson includes the following: Application (Common App or Clarkson App), High School Transcript, Letter of Recommendation (from a school counselor, teacher or someone who can speak to your academic ability and character), Essay or Personal Statement, and Standardized Test Scores (Optional for Most Applicants).",Not Required,True,True,,True,False,False,,,program,
Bachelor in Engineering Studies,https://www.clarkson.edu/academics/majors-minors,Optional,Required,"To apply for first-year admission, we require the following: Completed Common Application or Clarkson Application, Official high school transcript(s), Letter of recommendation from a teacher or your school counselor, Personal essay. We also welcome you to submit any additional information, such as a résumé of work experience, that you believe will help us in the evaluation process. Clarkson University is test-optional for all undergraduate applicants.",Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Environmental Engineering,https://www.clarkson.edu/academics/majors-minors,Not Required,Required,"A completed Common Application or Clarkson Application, including your essay. An official high school transcript. One letter of recommendation from a school counselor or teacher. SAT and/or ACT scores (optional for most applicants).",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Mechanical Engineering,https://www.clarkson.edu/academics/majors-minors,Optional,Required,"A completed Common Application or Clarkson Application, including your personal essay or statement. An official high school transcript. One letter of recommendation from a school counselor or teacher. Standardized Test Scores (Optional). Clarkson is test-optional for most applicants. This means you may choose whether or not to submit SAT or ACT scores as part of your application for admission.",Optional,True,False,,True,False,False,,,program,
Bachelor of Science in Mathematics,https://www.clarkson.edu/academics/majors-minors,Not Required,Required,First-year applicants should submit the following: A completed Common Application or Clarkson Application (we do not have a preference); Official high school transcript; One letter of recommendation from a school counselor or teacher; A personal essay; Standardized test scores (optional).,Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Physics,https://www.clarkson.edu/academics/majors-minors,Not Required,Required,"To be considered for admission, you must submit the following: A completed Common Application or Clarkson Application; Official high school transcript(s); One letter of recommendation from a teacher or school counselor; Personal essay.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Computer Science,https://www.clarkson.edu/academics/majors-minors,Not Required,Required,"To apply for first-year admission, you will need to submit the following: The Common Application or Clarkson Application (there is no application fee for either); Official high school transcript(s); One letter of recommendation from your school counselor or a teacher; Personal Essay/Statement. Standardized test scores (SAT/ACT) are optional.",Required,True,True,,True,False,False,,,program,
Bachelor of Science in Data Science,https://www.clarkson.edu/academics/majors-minors,Not Required,Optional,"A completed application using either the Common Application or the Clarkson Application. Official high school transcript. One letter of recommendation from a school counselor or a teacher in a core academic subject (math, science, English, social studies or a world language).",Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Information Systems,https://www.sps.nyu.edu/explore/degrees-and-programs/bs-in-information-systems-and-technology.html,Not Required,Required,"To apply as a first-year student, you will need to submit either the Common Application or the Clarkson Application, an official high school transcript, one letter of recommendation (from a school counselor or a teacher in a core academic subject), and a personal essay. Clarkson is test-optional for most applicants.",Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Software Engineering,https://www.clarkson.edu/academics/majors-minors,Not Required,Required,"To apply for admission as a first-year student, you will need to submit the following: A completed application for admission (we accept the Common Application or the Clarkson Application), Official high school transcript(s), One letter of recommendation from a school counselor or teacher. While not required for admission, we recommend that students have completed the following high school coursework: 4 years of English, 4 years of Math (including pre-calculus), 4 years of Science (including chemistry and physics), 3 years of Social Studies.",Not Required,True,True,,True,False,False,,,program,
Bachelor of Arts in Science Studies,https://www.clarkson.edu/academics/majors-minors/science-studies,Optional,Required,"A completed Common Application or Clarkson Application, including the essay. An official high school transcript. All transcripts must be in English. One letter of recommendation from a school counselor or teacher. We will accept up to three.",Not Required,True,False,,False,False,False,,,program,
Bachelor of Science in Environmental Toxicology,https://www.clarkson.edu/academics/majors-minors,Not Required,Required,"A completed Common Application or Clarkson Application, an official high school transcript, one letter of recommendation from your school counselor or a teacher, and a personal essay.",Not Required,True,True,,True,False,False,,,program,
Bachelor of Arts in Liberal Arts and Humanities,https://www.youtube.com/watch?v=TZmOoq7K60E,Optional,Optional,"The following materials are required for a complete application: Common Application or Clarkson Application; Official High School Transcript; One Letter of Recommendation (from a school counselor or teacher). We do not require an essay or personal statement, but we recommend you submit one so we can get to know you better. Your activities, résumé and any extra recommendations are also optional. Clarkson University is test-optional. If you choose to submit your scores, you may have them sent to us directly from the testing agency or you may self-report them.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Arts in Political Science and Government,https://polisci.ucsd.edu/undergrad/major-and-minor-requirements/index.html,,,,,True,False,,False,False,False,,,program,
Bachelor of Arts in Communications,https://hass.rpi.edu/communication-and-media/communication-media-and-design,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Digital Communication and Media/Multimedia,https://www.northcountrynow.com/news/clarkson-universitys-communication-degree-undergoes-name-change-0318875/,Not Required,Required,"To apply for first-year admission, please submit the following: Application (Common Application or Clarkson Application), High School Transcript, One Letter of Recommendation. Clarkson is test-optional. This means you are not required to submit SAT or ACT scores to be considered for admission.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Arts in History,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGWKyk_NXgbbDlvY51_ERPT8qkE41Aoe4GSITYOvdBlYljXtEs8LQM1TMPMdDcxNk5rCueNYGdnFSHhDyDnIlS_pzNgkc0Mc0hVzQRpwnKWsl7b,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Psychology,https://www.clarkson.edu/academics/majors-minors/psychology,Not Required,Not Required,"To apply as a first-year student, you must submit a completed Common Application or Clarkson Application, an official high school transcript, at least one letter of recommendation from a school counselor or teacher, and a personal essay. Standardized test scores (SAT/ACT) are optional as Clarkson is a test-optional school. An application fee or fee waiver is also required.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Science in Computational and Applied Mathematics,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Computer Hardware Engineering,https://www.clarkson.edu/academics/majors-minors,Not Required,Required,"A complete application for admission includes the following:
- A completed application — either the Clarkson Application or the Common Application.
- Official high school transcript. We will also accept an unofficial transcript for an admissions decision.
- One letter of recommendation from a school counselor or teacher.
- Personal essay or statement.
- List of senior year courses.
- Standardized test scores (optional). We accept both the SAT and the ACT, and we do not require the writing section for either test.
- For international applicants, proof of English proficiency is required.",Not Required,True,False,,True,False,False,,,program,
Bachelor of Arts in Economics,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Arts in Literature,https://www.wayup.com/guide/literature-major-right/,Required,Required,"General application requirements vary by level. 

For undergraduate first-year applicants, the required documents are: a completed Common Application or Clarkson Application, official high school transcript(s), and one letter of recommendation from a school counselor or teacher. Clarkson is test-optional for most undergraduate programs, so SAT/ACT scores are not required for admission for most applicants.

For graduate applicants, the required items are: an online application form, statement of purpose, resume or curriculum vitae (CV), letters of recommendation, and official transcripts. Official test scores (like GRE/GMAT) may be required depending on the specific program.",,,,,,False,False,,,institute,
Bachelor of Arts in Social Science Research Methods,https://www.clarkson.edu/academics/schools-institutes/arts-culture-and-technology-department,Not Required,Not Required,"To apply as a first-year student, you will need to submit either the Common Application or the Clarkson Application. Required documents include your official high school transcript and one letter of recommendation. A personal essay is also required as part of the application. Clarkson has a test-optional admissions policy, so submitting standardized test scores (SAT or ACT) is optional.",Not Required,True,False,,False,False,False,,,program,
Minor in Environmental Science,https://www.clarkson.edu/academics/majors-minors,Not Required,Not Required,,Not Required,True,False,,True,False,False,,,program,
