QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
89,Weldon School of Biomedical Engineering,,4.0,3.0,,"Fall, Spring",September 1,December 1,"$29,644/Year (Non-resident)","Full tuition waiver plus stipend (approx. $31,000 - $35,000 per year)",$948.30 (Non-resident),,100% (Tuition remitted for funded assistantships),"Fellowships, Graduate Research Assistantships (GRA), Graduate Teaching Assistantships (GTA)",4-6 years,"$29,644/Year (Non-resident)",Doctor of Philosophy in Biomedical Engineering,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture,,4.0,3.0,,"Fall, Spring, Summer",,December 1 (Priority deadline for fellowships),"$9,992 (Resident), $28,794 (Non-resident) per year",,"$347.85 (Resident), $948.30 (Non-resident)",,100% tuition waiver for Graduate Assistantships,"Research/Teaching Assistantships, Fellowships",4-6 years,"$9,992 (Resident), $28,794 (Non-resident) per year",Doctor of Philosophy in Botany and Plant Pathology,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture,,4.0,3.0,,Fall,"September 1, 2025","December 15, 2025","$28,794/Year",,$948.30,,100%,Graduate Assistantships (Research/Teaching) and Fellowships,4-6 years,"$28,794/Year",Doctor of Philosophy in Botany and Plant Pathology with a Concentration in Cancer Research,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,Davidson School of Chemical Engineering,,4.0,3.0,,"Fall, Spring",September 1,December 15,"$29,644/Year",,$940.05,"Full tuition waiver plus stipend (approx. $31,000/year)",100%,"Research Assistantships, Teaching Assistantships, Fellowships",4-6 years,"$29,644/Year (Non-resident), $10,842/Year (Resident)",Doctor of Philosophy in Chemical Engineering,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Science,,4.0,3.0,,"Fall, Spring","September 1, 2025","December 15, 2025","$28,794/Year",,,,,Assistantships (Teaching and Research) and Fellowships,5-6 years,"$28,794/Year",Doctor of Philosophy in Chemistry,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,Lyles School of Civil Engineering,,4.0,3.0,,"Fall, Spring",,"December 15 (Fall Priority), September 15 (Spring Priority)","$30,964/Year",,$948.15,Full tuition waiver,,"Research/Teaching Assistantships, Fellowships",90 credit hours (approximately 3-5 years),"$30,964/Year",Doctor of Philosophy in Civil Engineering,https://catalog.purdue.edu/preview_entity.php?catoid=7&ent_oid=1803
89,Brian Lamb School of Communication,,4.0,3.0,,Fall,"September 1, 2025","January 1, 2026","$28,794/Year",,$948.30,Full tuition waiver and stipend for assistantships,100%,"Graduate Teaching Assistantships, Research Assistantships, and Fellowships",4-5 years,"$28,794/Year",Doctor of Philosophy in Communication,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,Brian Lamb School of Communication,,4.0,3.0,,Fall,"September 1, 2025","December 15, 2025","$10,002/Year (Resident) or $28,804/Year (Non-Resident)",,$329.05 (Resident) or $948.30 (Non-Resident),Full tuition waiver and monthly stipend,,"Graduate Assistantships (Teaching and Research), Fellowships",4-5 years,"$10,002/Year (Resident) or $28,804/Year (Non-Resident)",Doctor of Philosophy in Communication with a Concentration in Gerontology,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Liberal Arts,,4.0,3.0,,Fall,,"January 1, 2026","$28,802/Year",,$940.05,Full tuition waiver plus stipend for assistantships,,"Fellowships, Teaching Assistantships, Research Assistantships",5-7 years,"$28,802/Year",Doctor of Philosophy in Comparative Literature,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Veterinary Medicine,,4.0,3.0,,"Fall, Spring","September 1, 2025","January 1 (Fall), September 1 (Spring)","$28,794/Year",,,,,"Assistantships, Fellowships",,"$28,794/Year",Doctor of Philosophy in Comparative Pathobiology,https://catalog.purdue.edu/preview_program.php?catoid=18&poid=34332&returnto=24159
89,Purdue Polytechnic Institute,,4.0,3.0,,"Fall, Spring","September 1, 2025","December 15, 2025","$28,794/Year",,$948.30,,,"Research Assistantships, Teaching Assistantships, Fellowships",4 years,"$28,794/Year",Doctor of Philosophy in Computer and Information Technology,https://hammer.purdue.edu/ndownloader/files/49686588
89,College of Science,,4.0,3.0,,"Fall, Spring","September 1, 2025","December 15, 2025","$28,794/Year",,$948.30,,,"Graduate Teaching Assistantships, Graduate Research Assistantships, and Fellowships",4-6 years,"$28,794/Year",Doctor of Philosophy in Computer Science,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,"Purdue Polytechnic Institute, School of Construction Management Technology",,4.0,3.0,,"Fall, Spring",,Fall: March 1; Spring: October 1,"$28,802/Year",,Non-resident: $948.30/credit hour; Resident: $347.85/credit hour,,,"Assistantships (Research/Teaching), Fellowships",3-5 years (90 credit hours),"$14,401/Semester",Doctor of Philosophy in Construction Management Technology,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Health and Human Sciences,,4.0,3.0,,Fall,September 2025,"January 1, 2026","$28,794/Year",,$948.30,,,"Fellowships, Graduate Research Assistantships, Graduate Teaching Assistantships",4-5 years,"$28,794/Year",Doctor of Philosophy in Consumer Science,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Health and Human Sciences,,4.0,3.0,,Fall,,January 1,"$28,794/Year",,,,,"Graduate Assistantships (Teaching and Research), Fellowships",,"$28,794/Year",Doctor of Philosophy in Consumer Science with a Concentration in Gerontology,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
99,College of Education,,4.0,3.0,,"Fall, Spring","September 1, 2025","January 15, 2026","$28,794/Year",,$948.30,,,"Fellowships, Graduate Assistantships, Merit-based",4-6 years,"$28,794/Year",Doctor of Philosophy in Curriculum and Instruction,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Science,,4.0,3.0,,"Fall, Spring",September 1,January 1,"$9,992/Year (Resident); $28,794/Year (Non-Resident); $30,802/Year (International)",,$329.05 (Resident); $948.30 (Non-Resident),Full tuition waiver plus monthly stipend,,"Graduate Teaching Assistantships, Research Assistantships, and Fellowships",4-6 years,"$9,992/Year (Resident); $28,794/Year (Non-Resident); $30,802/Year (International)","Doctor of Philosophy in Earth, Atmospheric, and Planetary Sciences","The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,"Mitchell E. Daniels, Jr. School of Business",,4.0,3.0,,Fall,,January 1,"$28,804/Year",,$948.30,,,Graduate Assistantships (Teaching/Research) with Tuition Waiver and Stipend,5 years,"$28,804/Year",Doctor of Philosophy in Economics,https://www.purdue.edu/academics/ogsps/admissions/gradrequirements/westlafayette/economics/
89,College of Education,,4.0,3.0,,"Fall, Spring",,"Fall: December 1st (priority for funding), April 1st; Spring: September 1st (priority for funding), November 1st",,,,,,"Assistantships, Fellowships",90 credit hours,,Doctor of Philosophy in Educational Studies,https://education.purdue.edu/program/educational-psychology-and-research-methodology-phd/
89,Elmore Family School of Electrical and Computer Engineering,,4.0,3.3,,"Fall, Spring",,December 15 (Fall Priority/Funding),"$30,794/Year",,$948.30,Full tuition waiver plus stipend,100%,"Fellowships, Research Assistantships (RA), Teaching Assistantships (TA)",4-6 years,"$30,794/Year",Doctor of Philosophy in Electrical and Computer Engineering,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,School of Engineering Education,,4.0,3.0,,Fall,,December 15,"$15,411/Semester",,,Tuition waiver and monthly stipend,100%,Assistantships (Teaching and Research) and Fellowships,,"$15,411/Semester",Doctor of Philosophy in Engineering Education,https://engineering.purdue.edu/ENE/Academics/Graduate/PhD/timeline
89,College of Liberal Arts,,4.0,3.0,,Fall,"September 1, 2025","December 1, 2025","$28,794/Year",,$948.30,Full tuition waiver plus stipend,100%,Teaching Assistantships and Fellowships,5-6 years,"$28,794/Year",Doctor of Philosophy in English,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture,,4.0,3.0,,"Fall, Spring, Summer",September 2025,"December 1, 2025","$29,368/Year",,$948.30,,100%,"Research Assistantships, Teaching Assistantships, and Fellowships",4-5 years,"$29,368/Year",Doctor of Philosophy in Entomology,https://catalog.illinois.edu/graduate/las/entomology-phd/
89,College of Engineering,,4.0,3.0,,"Fall, Spring","September 1, 2025","January 1, 2026","$29,642/Year",,$948.30,,,"Graduate Research Assistantships (GRA), Graduate Teaching Assistantships (GTA), Fellowships",4-6 years,"$29,642/Year",Doctor of Philosophy in Environmental and Ecological Engineering,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture,,4.0,3.0,,"Fall, Spring, Summer",,"January 1 (Fall Priority), April 1 (Fall General)","$28,802/Year",,$940.75,,,"Fellowships, Graduate Research Assistantships, Graduate Teaching Assistantships",,"$28,802/Year",Doctor of Philosophy in Food Science,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture,,4.0,3.0,,"Fall, Spring, Summer","September 1, 2025","January 1, 2026","$28,794/Year",,$948.30,,,"Graduate Assistantships (Research and Teaching), Fellowships",4-5 years,"$28,794/Year",Doctor of Philosophy in Forestry and Natural Resources,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Health and Human Sciences,,4.0,3.0,,"Fall, Spring, Summer","September 1, 2025","January 15 (Fall/Summer), October 1 (Spring)","$28,794/Year (Non-resident); $9,992/Year (Resident)",,$948.30 (Non-resident); $347.85 (Resident),,,"Graduate Teaching Assistantships, Graduate Research Assistantships, Fellowships",4-5 years,"$28,794/Year (Non-resident); $9,992/Year (Resident)",Doctor of Philosophy in Health and Kinesiology,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Health and Human Sciences,,4.0,3.0,,Fall,"September 1, 2025","January 1, 2026","$28,794/Year",,$948.30,Full tuition waiver plus monthly stipend,100%,Merit-based (Assistantships and Fellowships),4-5 Years,"$28,794/Year",Doctor of Philosophy in Health and Kinesiology with a Concentration in Gerontology,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,School of Health Sciences,,4.0,3.0,,Fall,"September 1, 2025",December 1,"$9,992/Year (Resident), $28,794/Year (Non-resident)",,"$329.05 (Resident), $929.05 (Non-resident)",Full tuition waiver and stipend for assistantships,100% tuition waiver,"Assistantships (Research/Teaching), Fellowships",4-5 years,"$9,992/Year (Resident), $28,794/Year (Non-resident)",Doctor of Philosophy in Health Sciences,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Liberal Arts,,4.0,3.0,,Fall,September 1,December 15,"$28,794/Year",,$948.30,,,"Fellowships, Teaching Assistantships",5-7 years,"$9,992/Year (Resident), $28,794/Year (Non-Resident)",Doctor of Philosophy in History,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
89,College of Agriculture (Department of Horticulture and Landscape Architecture),,4.0,3.0,,"Fall, Spring, Summer",,December 15 (Priority),"$28,794/Year",,$948.30,Full tuition waiver plus stipend for most PhD assistantships,,"Graduate Research/Teaching Assistantships, Fellowships",4-5 years,"$28,794/Year",Doctor of Philosophy in Horticulture,https://graduateguide.com/school/purdue_university_the_graduate_school/
89,"White Lodging-J.W. Marriott, Jr. School of Hospitality and Tourism Management",,4.0,3.0,,Fall,,January 5,"$28,794/Year",,$948.30,Tuition remission plus a monthly stipend,100% tuition waiver,Graduate Assistantships (Teaching or Research) and Fellowships,,"$28,794/Year",Doctor of Philosophy in Hospitality and Tourism Management,https://hhs.purdue.edu/htm/
