Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,level
Global Supply Chain Management,"Our Master of Business Administration (MBA) program prepares you for a career in leadership by reinforcing your business fundamentals and focusing on the global supply chain, environmental sustainability and entrepreneurship. You will develop skills in decision-making, risk management, strategic thinking and more.

Take on a leadership role managing supply chains across the globe. We have a world-renowned reputation in supply chain management. The U.S. Army uses our curriculum for its senior logistics personnel. Our program is also ranked among the Top 20 in the nation by U.S. News & World Report. You will study subjects like operations management, strategic sourcing, lean six sigma, logistics and more. Students often earn a Lean Six Sigma Green Belt certification as part of their studies.",https://www.clarkson.edu/academics/graduate/business-administration-mba,All of our business programs are accredited by the Association to Advance Collegiate Schools of Business (AACSB International).,MBA,Master of Business Administration in Global Supply Chain Management,https://www.clarkson.edu/academics/graduate/programs,
"['Advanced Materials Processing', 'Biomolecular Engineering', 'Complex Fluids and Nanotechnology', 'Process and Energy Systems Engineering']","The Doctor of Philosophy (PhD) in Chemical Engineering is a research-based degree that prepares students to be leaders in the field. Students learn advanced fundamentals and conduct independent research on a cutting-edge topic in chemical engineering. You'll complete the program with a written dissertation and an oral defense. Most students finish in about four years of full-time study after a Master of Science degree or about five years after a Bachelor of Science degree. We are committed to an inclusive and diverse environment. Learn more about our initiatives and campus groups. Our primary research thrusts in chemical engineering are: Advanced Materials Processing, Biomolecular Engineering, Complex Fluids and Nanotechnology, Process and Energy Systems Engineering.",https://www.clarkson.edu/academics/graduate/chemical-engineering-phd,,,Doctor of Philosophy in Chemical Engineering,https://www.clarkson.edu/academics/graduate/programs,
"['Advanced Materials', 'Biomolecular Engineering', 'Process Engineering']","The Master of Science (MS) in Chemical Engineering degree from Clarkson is suited to students with a bachelor's degree in chemical engineering or another related field. Our program allows you to deepen your expertise in the field. You will develop a sophisticated understanding of chemical engineering principles and practices. You will learn to apply these advanced concepts to solve complex problems in various industries. You can complete the 30-credit-hour program in one year. Customize your coursework to your career interests. Choose to complete a thesis and conduct research with our renowned faculty. Or opt for a non-thesis, project-based track. You can also further specialize your degree through one of three concentrations. Graduates of this program have gone on to work at companies like Pfizer, GlobalFoundries and Regeneron Pharmaceuticals.",https://www.clarkson.edu/graduate-programs/chemical-engineering-ms,,Masters,Master of Science in Chemical Engineering,https://www.clarkson.edu/academics/graduate/programs,
"['environmental and water resources engineering', 'geotechnical and materials engineering', 'structural and construction engineering']","The Department of Civil & Environmental Engineering offers graduate programs leading to the Master of Science (MS), Master of Engineering (ME) and Doctor of Philosophy (PhD) degrees. Our graduate students come from around the world and often go on to be leaders in industry and academia. As a student, you will have opportunities to work closely with our world-renowned faculty on cutting-edge research in a wide array of topics. In particular, we specialize in environmental and water resources engineering, geotechnical and materials engineering, and structural and construction engineering. The doctor of philosophy degree requires a minimum of 90 credit hours beyond the bachelor's degree. A minimum of 39 of these hours must be in coursework. In addition, there are seminar, residency and teaching requirements. You will work with a faculty advisor and advisory committee to plan your coursework and research, and your studies will culminate in a dissertation with a final oral defense.",https://www.clarkson.edu/academics/graduate/programs-civil-environmental-engineering,,,Doctor of Philosophy in Civil & Environmental Engineering,https://www.clarkson.edu/academics/graduate/programs,
"Environmental Engineering, Geotechnical Engineering, Structural Engineering, Water Resources Engineering, Transportation Engineering",Our Master of Science in Civil & Environmental Engineering program is project-based and designed to be completed in one calendar year. Study with and conduct research alongside our world-class faculty. You'll gain advanced skills as you focus on one of five distinct areas of study or create a multidisciplinary plan of study based on your career interests. Students who are admitted to the program are directly admitted into one of the research groups of our faculty. Learn more about their research specializations. You may also qualify for our tuition-scholarship program.,https://www.clarkson.edu/academics/graduate/civil-environmental-engineering-ms,,,Master of Science in Civil and Environmental Engineering,https://www.clarkson.edu/academics/graduate/programs,
,"The Master of Science in Computer Science at Clarkson University allows students to improve their skills and knowledge in computer science and to prepare for professional careers in the field or for further graduate studies. The program offers a flexible curriculum where students can specialize in areas such as artificial intelligence, cybersecurity, data science, human-computer interaction, robotics, software engineering or computer vision. Courses focus on analysis, design and implementation, but do not emphasize programming skills, per se. All students must complete a graduate research project or master's thesis as a part of their studies. You may choose to complete the program at our main campus in Potsdam, New York, or at our Capital Region Campus in Schenectady, New York. You can also start the program at one campus and finish at the other.",https://www.clarkson.edu/graduate/master-science-computer-science,,,Master of Science in Computer Science,https://www.clarkson.edu/academics/graduate/programs,
,"The Doctor of Philosophy (PhD) program in computer science at Clarkson is designed for students who wish to pursue a career in research and development in academia, industry or government. The program provides an intellectually stimulating environment, where students can engage in cutting-edge research alongside our expert faculty. A successful PhD student will gain the skills and experience necessary to become a leader in their chosen field.",https://www.clarkson.edu/graduate/phd-computer-science,,PhD,Doctor of Philosophy in Computer Science,https://www.clarkson.edu/academics/graduate/programs,
,"The Master of Science in Construction Engineering Management is an interdisciplinary program jointly administered by the Department of Civil and Environmental Engineering and the School of Business. It is designed to prepare students for a wide range of professional careers in the architecture-engineering-construction (AEC) industry. The core curriculum provides students with knowledge of the business and management aspects of the construction industry. As a Construction Engineering Management student, you’ll learn the technical aspects of construction materials, equipment, planning, scheduling and cost estimating. You’ll also develop the managerial skills necessary for a successful career in the construction industry. The coursework integrates construction engineering with business management. You’ll become equipped with the ability to manage complex construction projects.",https://www.clarkson.edu/academics/graduate/construction-engineering-management,,,Master of Science in Construction Engineering Management,https://www.clarkson.edu/academics/graduate/programs,
,"The Advanced Certificate in Construction Engineering Management is a 12-credit, four-course sequence designed to be an attractive option for working professionals and graduate students who want specialized knowledge in construction engineering management. The Advanced Certificate in Construction Engineering Management complements our successful Master of Science in Construction Engineering Management. The courses are offered on a rotating basis via distance learning to allow a student to complete the program from any location on a part-time basis. Graduate students matriculated in other programs at Clarkson may also apply for the certificate.",https://www.clarkson.edu/academics/graduate/construction-engineering-management-advanced-certificate,,Certificate,Advanced Certificate in Construction Engineering Management,https://www.clarkson.edu/academics/graduate/programs,
,"The Doctor of Philosophy in electrical and computer engineering program at Clarkson University emphasizes a close working relationship between students and faculty. As a result, our graduate students are highly sought after for positions in industry, research and academia.

The graduate program provides a strong foundation in the fundamentals while encouraging students to pursue cutting-edge research. You can conduct research in one of four primary areas. This includes areas with a large number of faculty, including power and energy systems and communications and signal processing. Read more about research below.

You can also work with faculty outside the department, such as through one of our world-renowned research centers. This includes the Center for Air and Aquatic Resources Engineering and Sciences (CAARES), the Center for Advanced Materials Processing (CAMP) and the Institute for a Sustainable Environment (ISE).

All full-time students in the PhD program are supported with a stipend and tuition waiver, most often through a teaching or research assistantship.",https://www.clarkson.edu/academics/graduate/phd-electrical-computer-engineering,,PhD,Doctor of Philosophy in Electrical and Computer Engineering,https://www.clarkson.edu/academics/graduate/programs,
,"The Master of Science in Electrical and Computer Engineering is a research-based master’s degree program designed to deepen your fundamental knowledge of electrical and computer engineering and support your independent research experience. Our program prepares you for a research-and-development-oriented career or for more advanced studies at the doctoral level. In particular, this degree is intended for students who have a strong aptitude for research and are looking to push beyond the limits of current technologies. You will develop an in-depth understanding of advanced topics in electrical and computer engineering. You will acquire the skills necessary to perform independent research. You will learn how to organize and present your results professionally in both written and oral forms. You will be better prepared to make a long-term impact on society in your field of choice. The program requires 30 credit hours, including six to 12 credit hours of thesis research. The program typically takes four semesters to complete. Students are assigned an advisor in their general area of interest for the first semester. By the end of the first semester, students select their research advisor and thesis topic.",https://www.clarkson.edu/graduate/ms-electrical-computer-engineering,,,Master of Science in Electrical and Computer Engineering,https://www.clarkson.edu/academics/graduate/programs,
Power Engineering,"The Master of Science in Electrical and Computer Engineering is a research-based master's degree program. Our graduate program is flexible and may be tailored to a student's individual interests. Clarkson is a national leader in power engineering education and research. We have seven full-time faculty dedicated to power engineering who are active in research programs with funding from both government and industry. Our graduate power program includes a broad set of courses, including power systems analysis, protection, dynamics and control; power electronics; renewable energy systems and electric machines.",https://www.clarkson.edu/academics/graduate/electrical-computer-engineering,,Masters,"Master of Science in Electrical and Computer Engineering, Power Engineering Concentration",https://www.clarkson.edu/academics/graduate/programs,
,"The electric power system is arguably the largest and most complex machine ever built. The engineering challenges are vast, with opportunities ranging from designing the next generation of smart grid technology to developing systems for integrating renewable energy sources. To meet these demands, the Advanced Certificate in Power Systems Engineering program at Clarkson will prepare you for a rewarding career in the power industry. You'll gain a fundamental understanding of power systems and be prepared to perform advanced engineering tasks in your specialty. Through a combination of on-campus and online coursework, this nine-credit-hour program can be completed in as little as nine months, and the curriculum overlaps significantly with our Master of Science in Electrical Engineering program. This allows you to apply what you've learned toward a master's degree, should you choose to continue your education.",https://www.clarkson.edu/academics/graduate/advanced-certificate-power-systems-engineering,,Certificate,Advanced Certificate in Power Systems Engineering,https://www.clarkson.edu/academics/graduate/programs,
,"The Master of Science in Engineering Management (MSEM) is an interdisciplinary master's degree program that integrates engineering and business courses. The program is specifically designed to meet the needs of today's engineering professionals who want to lead a team, a project or an organization with excellence. The Clarkson MSEM will prepare you to make important business decisions by understanding and speaking the language of business from the engineering perspective. You will gain a solid foundation in the functional areas of business and will develop analytical and problem solving skills to make strategic decisions. The MSEM is a 30-credit-hour program that provides the knowledge and skills necessary for you to excel in the current global and competitive business environment.",https://www.clarkson.edu/graduate/master-science-engineering-management,,,Master of Science in Engineering Management,https://www.clarkson.edu/academics/graduate/programs,
"['Advanced Materials Science', 'Aeronautical and Mechanical Engineering', 'Biomolecular and Biomedical Engineering', 'Civil and Environmental Engineering', 'Electrical and Computer Engineering', 'Software Engineering']","The Master of Science in Engineering Science (MSES) is a highly flexible, interdisciplinary graduate engineering program. You will build an individualized plan of study from graduate-level courses across multiple engineering disciplines and can even incorporate relevant courses in math and science. The degree is ideal for students whose interests and career goals span traditional engineering fields. It is a research-based, thesis-optional program that requires 30 credit hours of coursework and is best suited for on-campus students at our main campus in Potsdam, New York. Our state-of-the-art facilities offer everything you need to conduct cutting-edge research, while our small class sizes ensure you receive individualized mentorship from faculty who are recognized experts in their fields.",https://www.clarkson.edu/graduate/ms-engineering-science,,,Master of Science in Engineering Science,https://www.clarkson.edu/academics/graduate/programs,
,"The Doctor of Philosophy (PhD) in Environmental Science and Engineering is a research-based degree that prepares students to be leaders in environmental science and engineering. Graduates will go on to pursue careers as faculty members at colleges and universities or as scientists and engineers at national laboratories, consulting firms and nongovernmental agencies. The program is inherently interdisciplinary. This allows students to select courses across the University, including from the Institute for a Sustainable Environment, the Wallace H. Coulter School of Engineering and the School of Arts & Sciences. You will have a broad background in fundamental environmental science and engineering and in-depth expertise in at least one area of specialization.",https://www.clarkson.edu/academics/graduate/environmental-science-engineering-phd,,PhD,Doctor of Philosophy in Environmental Science and Engineering,https://www.clarkson.edu/academics/graduate/programs,
"['Engineering', 'Science']","As a student in the Master of Science in Environmental Science and Engineering program at Clarkson, you will gain the advanced knowledge and skills necessary to solve complex environmental problems. You will study in our state-of-the-art facilities, including the world-renowned Institute for a Sustainable Environment (ISE). Through the program, you will learn how to address issues such as air and water pollution, contaminated sites, industrial and hazardous waste management, water resources management, sustainability and renewable energy systems. You can specialize your studies in either science or engineering through our tailored curriculum. And you can get a jumpstart on your professional career via our established relationships with private and government employers.",https://www.clarkson.edu/graduate/environmental-science-engineering,,Masters,Master of Science in Environmental Science and Engineering,https://www.clarkson.edu/academics/graduate/programs,
,"Materials are all around us, from the concrete in our sidewalks to the glass on our phones. Research at Clarkson in materials science and engineering focuses on advancing the performance of existing materials and developing new ones to help solve some of the world's most pressing issues. Our PhD in Materials Science & Engineering is an interdisciplinary program administered by the Departments of Chemical and Biomolecular Engineering, Chemistry and Biomolecular Science, Civil and Environmental Engineering, Electrical and Computer Engineering, and Mechanical and Aeronautical Engineering. As a student in our program, you will have access to our world-class research facilities and the opportunity to work alongside faculty who are experts in their fields. You will also have the opportunity to participate in our research centers, including the Center for Advanced Materials Processing (CAMP), a New York State Center for Advanced Technology.",https://www.clarkson.edu/academics/graduate/doctor-philosophy-phd-materials-science-engineering,,Doctoral,Doctor of Philosophy in Materials Science and Engineering,https://www.clarkson.edu/academics/graduate/programs,
,The Master of Science in Materials Science and Engineering is a multidisciplinary program aimed at providing a graduate-level education in materials engineering for students with undergraduate degrees in engineering or the physical sciences. The program provides an education in the fundamental science and engineering of materials. It also allows students to specialize in a materials sub-discipline to prepare them for a job in the industry or to continue their education toward a PhD.,https://www.clarkson.edu/graduate/materials-science-and-engineering,,Master's,Master of Science in Materials Science and Engineering,https://www.clarkson.edu/academics/graduate/programs,
"['Advanced Manufacturing', 'Aerospace Engineering', 'Materials Processing', 'Solid Mechanics/Design', 'Thermal and Fluid Sciences']","The Mechanical Engineering PhD program provides you with the skills and training needed to be a leader in the mechanical engineering industry or in in academia. You will receive an advanced education in the fundamentals of mechanical engineering while also specializing in an area of your choice.
A PhD in mechanical engineering will enable you to make high-level contributions to the field. You can conduct high-level research at a university or a national lab. Or you can pursue a career in industry, including roles in R&D, manufacturing and consulting. Many of our students are also interested in becoming educators.",https://www.clarkson.edu/graduate/phd-mechanical-engineering,,,Doctor of Philosophy in Mechanical Engineering,https://www.clarkson.edu/academics/graduate/programs,
"['Solid Mechanics, Materials and Manufacturing', 'Fluid Mechanics, Thermal and Energy Sciences', 'Robotics, Controls and Dynamical Systems']","Our Master of Science in Mechanical Engineering is a flexible program that allows you to tailor your curriculum to your specific interests and goals. Core areas of study include solid mechanics, fluid mechanics and robotics. You can choose to write a master's thesis or opt for a non-thesis, project-based track. You can earn the degree in just one year of full-time study. You can also pursue a master's degree part-time. Most classes are held in the late afternoon or evening for the convenience of working professionals.",https://www.clarkson.edu/graduate/mechanical-engineering-ms,,Master's,Master of Science in Mechanical Engineering,https://www.clarkson.edu/academics/graduate/programs,
"['Biology (grades 7-12)', 'Chemistry (grades 7-12)', 'Chinese (grades K-12)', 'Earth Science (grades 7-12)', 'English (grades 7-12)', 'French (grades K-12)', 'German (grades K-12)', 'Mathematics (grades 7-12)', 'Physics (grades 7-12)', 'Social Studies (grades 7-12)', 'Spanish (grades K-12)', 'Technology (grades K-12)']","Clarkson's one-year Master of Arts in Teaching (MAT) program is designed for individuals who have a bachelor's degree in a specific subject area and want to become a teacher in that subject. The MAT program is field-based and requires two semesters of clinical practice in our partner schools. Our graduates are highly sought-after by school districts throughout New York and other states. We have a nearly 100 percent placement rate, and our alumni have been recognized with state and national teaching awards.",https://www.clarkson.edu/academics/graduate/master-arts-teaching,All teacher education programs are accredited by the Association for Advancing Quality in Educator Preparation (AAQEP).,,Master of Arts in Teaching,https://www.clarkson.edu/academics/graduate/programs,
,,,,Master of Arts,Master of Arts in Teaching English to Speakers of Other Languages,https://www.clarkson.edu/news-events/clarkson-university-transfer-16-teaching-programs-siena-college,
,"The Master of Science in Occupational Therapy program at Clarkson University provides a strong foundation in the sciences, professional skills, and research and prepares students to become highly skilled, ethical, and compassionate occupational therapists. Students will be prepared to enter a variety of practice settings with a comprehensive understanding of the profession's history, theory, and evidence-based practice. Our curriculum emphasizes hands-on learning, clinical reasoning, and interprofessional collaboration, ensuring that our graduates are well-equipped to meet the diverse needs of their clients and communities. This program culminates in a capstone experience, allowing students to integrate their knowledge and skills in a focused area of practice.",https://www.clarkson.edu/academics/arts-sciences/occupational-therapy/master-science-occupational-therapy,"The entry-level occupational therapy master’s degree program is accredited by the Accreditation Council for Occupational Therapy Education (ACOTE) of the American Occupational Therapy Association (AOTA), located at 6116 Executive Boulevard, Suite 200, North Bethesda, MD 20852-4929. ACOTE’s telephone number c/o AOTA is (301) 652-AOTA and its Web address is www.acoteonline.org. Graduates of the program will be eligible to sit for the national certification examination for the occupational therapist administered by the National Board for Certification in Occupational Therapy (NBCOT). After successful completion of this exam, the individual will be an Occupational Therapist, Registered (OTR). In addition, most states require licensure in order to practice; however, state licenses are usually based on the results of the NBCOT Certification Examination. Note that a felony conviction may affect a graduate’s ability to sit for the NBCOT certification examination or attain state licensure.",Master's,Master of Science in Occupational Therapy,https://www.clarkson.edu/academics/graduate/programs,
,"The Doctor of Physical Therapy (DPT) program at Clarkson University is a three-year graduate program that prepares students for a career as a physical therapist. Our program combines a strong foundation in the basic and clinical sciences with extensive hands-on experience in our state-of-the-art laboratories and diverse clinical settings. Students in our DPT program learn from expert faculty who are dedicated teachers, clinicians and researchers. Clarkson's DPT program prides itself on a low student-to-faculty ratio, which allows for personalized attention and mentorship. Our curriculum emphasizes evidence-based practice, critical thinking and professional development, ensuring our graduates are well-prepared to meet the challenges of the evolving healthcare landscape. Graduates of our program are highly sought after by employers and have a strong record of success on the national licensure examination. The Doctor of Physical Therapy program begins in the summer and is based at Clarkson's Capital Region Campus in Schenectady, New York.",https://www.clarkson.edu/academics/graduate/doctor-physical-therapy-dpt,"The Doctor of Physical Therapy Program at Clarkson University is accredited by the Commission on Accreditation in Physical Therapy Education (CAPTE), 3030 Potomac Ave., Ste 100, Alexandria, VA 22305-3085; phone: 703-706-3245; email: accreditation@apta.org; website: http://www.capteonline.org. If needing to contact the program/institution directly, please call 518-631-9870 or email dpt@clarkson.edu.",Doctoral,Doctor of Physical Therapy,https://www.clarkson.edu/academics/graduate/programs,
,"The Clarkson University Master of Science in Physician Assistant Studies program has a 28-month curriculum that prepares you for a rewarding career as a physician assistant (PA). PAs are licensed medical providers who work in all medical and surgical specialties on healthcare teams with physicians and other providers. Our mission is to educate and develop compassionate, skilled and knowledgeable physician assistants who will provide high-quality healthcare to the people of the North Country and other communities.

The program philosophy is one of commitment to our students and to the communities we serve. Our faculty and staff are dedicated to supporting our students as they learn and grow through our program. Our primary goal is to educate PAs to provide superior medical care and to become leaders in their communities. We expect a high level of professionalism from our students. We are committed to teaching and modeling the importance of teamwork, integrity, intellectual curiosity and caring. We offer our students a variety of educational opportunities in diverse communities in upstate New York. We believe that an awareness of the many challenges of providing medical care in a rural setting is a key component to a comprehensive medical education. We support the communities we serve by teaching our students to be mindful of and to address the social determinants of health that impact the wellness of individuals and communities.",https://www.clarkson.edu/academics/graduate/physician-assistant-studies,"The Accreditation Review Commission on Education for the Physician Assistant, Inc. (ARC-PA) has granted Accreditation-Continued status to the Clarkson University Physician Assistant Program sponsored by Clarkson University. Accreditation-Continued is an accreditation status granted when a currently accredited program is in compliance with the ARC-PA Standards.",,Master of Science in Physician Assistant Studies,https://www.clarkson.edu/academics/graduate/programs,
,"The Master of Science in Bioethics is a 31-credit-hour program that introduces students to the major areas of bioethics. Students develop the necessary background and skills to analyze and resolve complex moral problems and dilemmas in medicine, research and health policy. This program provides an excellent foundation for a number of professions including medicine, law, nursing and other allied health professions as well as for those seeking doctoral level work in bioethics or a related field. Students can complete all degree requirements completely online. Students may also begin study in either the fall or spring semester. All graduates of the program complete a major research paper that may be submitted for publication to an academic journal. Students typically complete the program in two years, although it can be completed in as little as 12 months. Each student is also provided with a faculty mentor who assists him or her with all aspects of the program, from course selection to the completion of the major research paper. The Master of Science degree in bioethics is granted jointly by Clarkson University and the Icahn School of Medicine at Mount Sinai in New York City.",https://www.clarkson.edu/academics/graduate/master-science-bioethics,,,Master of Science in Bioethics,https://www.clarkson.edu/academics/graduate/programs,Masters
