Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,"the PhD program in the History and Theory of Music (htm). The graduate program in The History and Theory of Music at UC Irvine is unique within the state of California, and rare within the United States as a whole, in combining both historical musicology and music theory and analysis to offer a Ph.D. program with a particular emphasis on music theory and analysis, critical theory, and the aesthetics and philosophy of music. The program rests on two central pillars: a sustained engagement with musical works that is underpinned by a thorough grounding in musical skills and literacy, and a strong focus on criticalredirectTo unavailable, and it is not possible to extract the information at this time.",https://www.arts.uci.edu/department/music/graduate-programs,,PhD,PhD in History and Theory of Music,https://grad.uci.edu/admissions/degree-programs/,
"Integrated Composition, Improvisation, and Technology (ICIT)","The Ph.D. program in Integrated Composition, Improvisation, and Technology (ICIT) is taught by a core faculty whose work embraces diverse forms of music making, challenging conventional distinctions between classical composition, computer music, improvisation, and jazz. [2] Students will receive close personal attention from faculty, and are encouraged to work on interdisciplinary projects. [2] The Department of Music seeks students with a strong foundation who wish to develop new creative work integrating a wide range of contemporary music and ideas. [3] In addition to the core ICIT faculty, the Music Department includes many other performers, musicologists, theorists, and historians, making for a rich environment in which to develop critical skills that are essential for the 21st-century musician. [3]",https://music.arts.uci.edu/icit,,PhD,"PhD in Music: Integrated Composition, Improvisation, and Technology",https://grad.uci.edu/admissions/degree-programs/,
,,,,,PhD in Philosophy,https://grad.uci.edu/admissions/degree-programs/,Failed to parse JSON response
,"The University of California, Irvine, does not offer a stand-alone Master of Arts (M.A.) in Political Science. Students may earn an M.A. degree while on the path to earning a Ph.D., but the university does not admit students who intend to complete their studies with only an M.A. [2, 7] The M.A. is not a terminal degree. [7]",https://www.polisci.uci.edu/graduate/requirements.php,,MA,Master of Arts in Political Science,https://grad.uci.edu/admissions/degree-programs/,
"['Public Choice', 'Democracy Studies', 'International Relations', 'Race and Minority Politics']","The Department of Political Science offers a Ph.D. program in Political Science. The department has attained a reputation for producing the very best innovative and interdisciplinary scholarship. Faculty are engaged in the study of such key questions as the politics of advanced and democratizing societies, international cooperation and peace, the politics splicy of racial and ethnic minority groups, and the origins of altruism and morality and their impact on world politics. Graduate students can pursue concentration in public choice and specializations in democracy studies, international relations, and race and minority politics. The Ph.D. program offers big payoffs to graduate students, in fact, because of the extended range of inquiry an interdisciplinary program affords.",https://www.polisci.uci.edu/graduate/index.php,,PhD,PhD in Political Science,https://grad.uci.edu/admissions/degree-programs/,
," The program offers both MA and PhD degrees, although the latter is emphasized. [16] The graduate program offers broad training in sociology, with several areas of concentrated expertise: education; family, life course, and sexualities; global inequality and change; immigration; population; organizations, occupations, and labor; social inequality: race/ethnicity, gender, and class/stratification; social movements and political sociology; social networks; organizations, occupations, and labor; and the study of democracy. [16] We are committed to theoretically informed and empirically grounded scholarship. We welcome multidisciplinary pursuits, forging links with other units on the campus and beyond. We also embrace a broad range of methods – including ethnography, experiments, formal modeling, historical-comparative analysis, and surveys – to pursue answers to questions of substantive and theoretical importance. [16]",https://sociology.uci.edu/pages/graduate-program,"UC Irvine is accredited through fall 2032 by the Western Association of Schools and Colleges, Senior College and University Commission (WSCUC). [2]",Master of Arts [12],Master of Arts in Sociology,https://grad.uci.edu/admissions/degree-programs/,
"['Social Networks', 'Gender', 'Race/Ethnicity', 'Labor', 'Social Movements', 'Family', 'Migration', 'Population', 'Political Economy', 'States and Global Transformation']"," The program provides structured training in sociological theory, statistics, and qualitative and quantitative research methods. The Department of Sociology offers a Ph.D. program in Sociology. While the core of the program is sociological, it may also include an interdisciplinary component, incorporating links to anthropology, education, law, political science, history, criminology, and urban planning. [7] Particular emphases include social networks, gender, race/ethnicity, labor, social movements, family, migration, population, political economy, and states and global transformation. [7] Program faculty take diverse theoretical and methodological approaches to a variety of substantive issues, are committed to empirical research addressing central sociological issues, and are open to intellectual cross-pollination from cognate disciplines. [7] Small entering cohorts ensure personalized attention for each student and guarantee access to professors, allowing for close mentorship relationships. [7] Graduate students have the opportunity to participate in a variety of interdisciplinary research units, including the Center for the Study of Democracy; the Center for Global Peace and Conflict Studies; the Center for Research on Immigration, Population and Public Policy; and the Center for Demographic and Social Analysis. [7]",https://catalogue.uci.edu/schoolofsocialsciences/departmentofsociology/sociology_phd/,,PhD,PhD in Sociology,https://grad.uci.edu/admissions/degree-programs/,
,"The Master of Arts degree in Spanish is a two-year program of study designed to expose the beginning graduate student to all periods of peninsular, Latin American, and Chicanx/Latinx literature and culture. [4, 5] The degree is awarded upon the successful completion of course work and written and oral comprehensive examinations. [4, 5] A minimum of eight graduate seminars must be completed in the Department of Spanish and Portuguese with a letter grade. [4, 5] Students are required to take one course in Theory (SPANISH 239A or equivalent). [4, 5]",https://humanities.uci.edu/spanish/graduate/ma-spanish,,MA,Master of Arts in Spanish,https://grad.uci.edu/admissions/degree-programs/,
,,,,,PhD in Spanish,https://grad.uci.edu/admissions/degree-programs/,Failed to parse JSON response
,"The PhD Program in Visual Studies engages in the histories, theories, and analysis of the visual, from practices and experiences of looking to the nature of representation, images, and their media. Interdisciplinary and theoretically rigorous, Visual Studies is committed to the investigation of cultural productions of seeing, picturing, and knowing, from the past to the present day. The faculty work across diverse cultures, geographies, and periods, with strong interests in photography, performance, illustration and design histories, archaeology, architecture and the built environment, site-based installation, museum studies and exhibition histories, manuscripts, sculpture, and painting. The program welcomes students who wish to explore new and innovative lines of inquiry into the visual and visuality. Students are admitted directly into the PhD program in small cohorts and with multi-year funding packages.",https://www.humanities.uci.edu/visualstudies,,PhD,PhD in Visual Studies,https://grad.uci.edu/admissions/degree-programs/,
"['Biophotonics', 'Biomedical Micro/Nanoscale Systems', 'Bioimaging & Computation', 'Molecular & Cellular Engineering']","Giving students an opportunity to focus on a wide range of contemporary topics critical to biomedical engineering. Core courses covering broad aspects of biomedical engineering will be followed by a choice of elective courses in such areas as biomedical imaging, tissue engineering and repair, biomedical devices, rehabilitation engineering, and capped by experiential learning in research laboratories or project courses. The program accommodates students with a BS/BA or a more advanced degree in biomedical engineering, chemical engineering, mechanical engineering, electrical engineering, computer science, computer engineering, physics, chemistry, or biology.",https://grad.uci.edu/admissions/degree-programs/biomedical-engineering-m-s/,,M.S.,Master of Science in Biomedical Engineering,https://grad.uci.edu/admissions/degree-programs/,
,"The PhD in Biomedical Engineering program at the University of California, Irvine, is designed for students who want to become leaders in the field. The program prepares students for careers in academia, industry, and government by providing a deep understanding of engineering principles and life sciences. Research is a central component of the program, with students working in state-of-the-art laboratories alongside world-renowned faculty. Key research areas include biomedical imaging, micro/nano-scale systems, biomechanics, and systems biology.",https://engineering.uci.edu/dept/bme/graduate/phd,,PhD,PhD in Biomedical Engineering,https://grad.uci.edu/admissions/degree-programs/,
,"Chemical engineering uses the knowledge of chemistry, mathematics, physics, biology, and humanities to solve societal problems in areas such as energy, health, environment, food, clothing, materials, and sustainability, and serves a variety of processing industries whose vast array of products include chemicals, petroleum products, plastics, pharmaceuticals, foods, textiles, fuels, consumer products, and electronic and cryogenic materials. Chemical Engineering also advances societal goals by developing environmentally conscious and sustainable technologies to meet global challenges. This animportant assetsincemolecular sciences such as chemistry, molecular biology, biomedicine, and solid-state physics are providing the seeds for future technologies. Chemical engineering has a bright future as the discipline which will bridge science with engineering in multidisciplinary environments. Biomolecular Engineering is concerned with the processing of biological materials and processes that use biological agents such as living cells, enzymes, or antibodies. With integrated knowledge of the principles of biology and chemical engineering, it plays a major engineering role in the rapidly developing area of biotechnology. Career opportunities in Biomolecular Engineering are available in a variety of industries such as biotechnology, chemical, environmental, food, petrochemical, and pharmaceutical industries. The principal objectives of the graduate curriculum in Chemical and Biomolecular Engineering are to develop and expand students' abilities to solve new and more challenging engineering problems and to promote their skills in independent thinking and learning in preparation for careers in manufacturing, research, or teaching. These objectives are reached through a program of course work and research designed by each student with the assistance, advice, and approval of a primary faculty advisor and a faculty advisory committee.",https://catalogue.uci.edu/d-e/cbe/cbe.ms/,,M.S.,Master of Science in Chemical and Biomolecular Engineering,https://grad.uci.edu/admissions/degree-programs/,
,"Chemical engineering uses the knowledge of chemistry, mathematics, physics, biology, and social sciences to solve societal problems such as energy, health, environment, food, clothing, shelter, and transportation. It serves a variety of processing industries whose vast array of products include chemicals, petroleum products, plastics, pharmaceuticals, foods, semiconductors, textiles, fuels, consumer products, and electronic and cryogenic materials. It also serves society to improve the environment by developing and implementing technologies for pollution abatement and remediation. The principal objectives of the graduate curriculum in Chemical and Biomolecular Engineering are to develop and expand students’ abilities to solve new and more challenging engineering problems and to promote their skills in independent thinking and learning in preparation for careers in manufacturing, research, or teaching.",https://cbe.uci.edu/graduate/,,PhD,PhD in Chemical and Biomolecular Engineering,https://grad.uci.edu/admissions/degree-programs/,
,,,,,Master of Science in Civil and Environmental Engineering,https://grad.uci.edu/admissions/degree-programs/,
"['Environmental Health', 'Environmental Engineering and Water Resources', 'Geotechnical and Geoenvironmental Engineering', 'Infrastructure Engineering', 'Structural Engineering and Mechanics']","The PhD is the highest level of study and requires a serious commitment. Graduates of the doctoral program are well positioned for careers in academia, industry, government, and consulting. Students who have excellent academic backgrounds and demonstrated capability for independent study/research are encouraged to apply to the doctoral program. Students entering the doctoral program in civil and environmental engineering are expected to meet the general admission requirements of the graduate school; gain acceptance into the Department of Civil and Environmental Engineering; and hold a bachelor's or master's degree in engineering or a related field. The PhD is a research oriented degree that requires in-depth knowledge of a specific topic of study. Programs of study are highly individualized, but consist of two main components: course work and independent research. Unlike bachelor's degree and some master's degrees, progress toward the doctoral degree is measured by achievement, not time or number of courses completed.",https://engineering.uci.edu/dept/cee/graduate/phd,,PhD,PhD in Civil and Environmental Engineering,https://grad.uci.edu/admissions/degree-programs/,
"['AI/ML Systems', 'Intelligent Physical Systems', 'Computational Engineering Methods/Systems', 'Computer Security', 'Network/Distributed Systems', 'Wireless/Embedded Systems', 'Integrated Systems', 'Devices and Nanofab']","MS in ECE students can choose one of the following concentrations for focused study in a specific area of electrical and computer engineering. MS students are not required to complete a concentration in order to graduate. Generally, MS students can select from the full range of ECE graduate course offerings to meet their course requirements and advance toward their individual career objectives. [1]",https://grad.uci.edu/admissions/degree-programs/,,Masters,Master of Science in Electrical and Computer Engineering,https://grad.uci.edu/admissions/degree-programs/,
"['Electrical Engineering (EE)', 'Computer Engineering']",The doctoral program in Electrical and Computer Engineering is tailored to the individual background and interest of the student. There are several milestones to pass: admission to the Ph.D. program by the Graduate Committee; Ph.D. preliminary examination on the background and potential for success in the doctoral program; departmental teaching requirement which can be satisfied through service as a teaching assistant or equivalent; original research work; development of a research report and dissertation proposal; advancement to Ph.D. candidacy; completion of the Ph.D. dissertation; and a public dissertation defense. [1] The Ph.D. dissertation is written documentation of original research that has impact on the field of study for the Ph.D. [1] A public Ph.D. dissertation defense is also required. [1],https://catalogue.uci.edu/donaldbrenschoolofinformationandcomputersciences/departmentofelectricalengineeringandcomputerscience/electricalandcomputerengineering_phd/,,PhD,PhD in Electrical and Computer Engineering,https://grad.uci.edu/admissions/degree-programs/,
,"The University of California, Irvine (UCI) does not offer a program with the specific title 'Master of Engineering'. However, the university offers Master of Science (M.S.) degrees in various engineering disciplines that serve a similar purpose for students seeking advanced technical knowledge for professional practice. The following information pertains to the Master of Science in Mechanical Engineering program. Specific details regarding concentrations were not found on the official program page. The Master of Science program in Mechanical Engineering aims to provide students with an advanced educational experience that will prepare them for careers in industry, government, or academia.",https://grad.uci.edu/admissions/degree-programs/,,Masters,Master of Engineering,https://grad.uci.edu/admissions/degree-programs/,
,"Every MSE graduate student is assumed to have taken a basic “Introduction to Materials Science and Engineering” undergraduate course prior to enrolling in graduate studies in MSE here at UCI. The program requires all new students in the M.S. degree program to take required core courses. Both the Ph.D. preliminary exam and the M.S. comprehensive exam are based, in large part, on materials covered in these required core classes. Students must enroll in and complete these core courses in the first year of their studies. Elective courses are intended to broaden knowledge in areas relevant to MSE studies and research activities. [22]",https://engineering.uci.edu/dept/mse/graduate/handbook,,Master of Science,Master of Science in Materials Science and Engineering,https://grad.uci.edu/admissions/degree-programs/,
"The UCI General Catalogue lists 'Specific Fields of Emphasis' for the program, which include: biomaterials, energy materials, advanced ceramics, polymers and nanocomposite materials, structural and nanostructured metallic materials, micro/nano-device materials, device/system packaging materials, computational materials science, advanced and additive manufacturing, and multifunctional materials.","The Ph.D. in Materials Science and Engineering requires a commitment on the part of the student to dedicated study and collaboration with the faculty. Ph.D. students are selected on the basis of outstanding demonstrated potential and scholarship. Applicants must hold the appropriate prerequisite degrees from recognized institutions of high standing. After substantial preparation, Ph.D. candidates work under the supervision of faculty advisors. The process involves extended immersion in a research atmosphere and culminates in the production of original research results presented in a dissertation. The graduate program is hosted by the Department of Materials Science and Engineering (MSE) and is interdisciplinary. Current research programs include nanomaterials, nanostructures, nanoelectronics, nanodevices, nanocharacterization, device/system packaging materials, materials for fuel cells and related alternative energy systems, biocompatible materials, soft materials such as biological materials and polymeric materials, electronic and photonic materials, hybrid materials, interfacial engineering of materials, computational materials science, and multifunctional materials.",https://catalogue.uci.edu/interdisciplinarystudies/materialsscienceandengineering_phd/,,PhD,PhD in Materials Science and Engineering,https://grad.uci.edu/admissions/degree-programs/,
"['dynamics and controls', 'fluid dynamics and propulsion', 'mechanics of materials and structures', 'systems and design', 'thermal and transport sciences']","A graduate program is offered leading to the Master of Science (M.S.) in Mechanical and Aerospace Engineering. A student may select one of two plans of study for the M.S. degree: the thesis option or the comprehensive examination option.

The thesis option requires completion of eight graduate, technical and science courses; the completion of an original research project with a Faculty Advisor and a thesis describing it; and approval of the thesis by a thesis committee. This plan is available for those who wish to gain research experience or as preparation for study toward the doctoral degree. Students must complete 12 units of ENGRMAE 296, 3 units of ENGRMAE 298, and four graduate courses from a restricted list in the selected MAE major area. Additionally, four of the eight required graduate courses must be from the MAE Department.

The comprehensive examination option requires completion of eleven graduate, technical and science courses, plus a comprehensive exam. Students must complete 3 units of ENGRMAE 298 and four graduate courses from a restricted list. Additionally, six of the eleven required graduate courses must be from the MAE Department.

The Mechanical and Aerospace Engineering faculty have special interest and expertise in five thrust areas: dynamics and controls; fluid dynamics and propulsion; mechanics of materials and structures; systems and design; and thermal and transport sciences.",http://mae.eng.uci.edu/,,Master of Science,Master of Science in Mechanical and Aerospace Engineering,https://grad.uci.edu/admissions/degree-programs/,
,"The doctoral program in Mechanical and Aerospace Engineering is tailored to the individual needs and background of the student. The detailed program of study for each Ph.D. student is formulated in consultation with a Faculty Advisor who takes into consideration the objectives and preparation of the candidate. Within this flexible framework the Department maintains specific guidelines that outline the milestones of a typical doctoral program. All doctoral students should consult the Departmental Ph.D. guidelines for program details, but there are several milestones to be passed: admission to the Ph.D. program, the Qualifying Examination, advancement to candidacy, and the dissertation defense. The Mechanical and Aerospace Engineering faculty have special interest and expertise in five thrust areas: dynamics and controls; fluid dynamics and propulsion; mechanics of materials and structures; systems and design; and thermal and transport sciences. [2]",https://catalogue.uci.edu/thehenrysamuelischoolofengineering/departmentofmechanicalandaerospaceengineering/mechanicalandaerospaceengineering_phd/,,PhD,PhD in Mechanical and Aerospace Engineering,https://grad.uci.edu/admissions/degree-programs/,
,"Software engineering is the application of a systematic, disciplined, quantifiable an pproacheto to the development, operation, and maintenance of software; that is, the application of engineering to software. It is an interdisciplinary field of study that bridges the boundaries of computer science, engineering, mathematics, and behavioral science. The M.S. Software Engineering (MSSE) program at UC Irvine is a heavily research-oriented program aimed at students with a computer science (or related) bachelor's degree, who may or may not have been out in the workforce already, and who seek to build a strong background in software engineering.",https://grad.uci.edu/admissions/degree-programs/,,Masters,Master of Science in Software Engineering,https://grad.uci.edu/admissions/degree-programs/,
,,,,,PhD in Software Engineering,https://grad.uci.edu/admissions/degree-programs/,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Computer Science,https://grad.uci.edu/admissions/degree-programs/,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,PhD in Computer Science,https://grad.uci.edu/admissions/degree-programs/,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Master of Science in Informatics,https://grad.uci.edu/admissions/degree-programs/,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,PhD in Informatics,https://grad.uci.edu/admissions/degree-programs/,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
