Concentration name,description,program website url,Accreditation status,level,Program name,Program Page url,Level
,"The Interdepartmental Graduate Program (IDP) in Archaeology at UCLA offers a doctorate (PhD) in Archaeology. Established in 1968, the program was among the first in the United States to offer an interdepartmental degree in archaeology. The IDP in Archaeology is designed to provide students with a broad and rigorous training in the field of archaeology, while also allowing them to specialize in a particular geographical area or thematic focus. The program is unique in its interdisciplinary approach, drawing on the expertise of faculty from across the university, including departments such as Anthropology, Art History, Classics, Near Eastern Languages and Cultures, and World Arts and Cultures/Dance. The primary objective of the program is to train professional archaeologists who will be leaders in the field, whether in academia, museums, or cultural resource management. Students in the program develop a strong foundation in archaeological theory and method, as well as a deep understanding of the history and culture of their chosen area of study.",https://archaeology.ucla.edu/programs/graduate/,,,PhD in Archaeology,https://www.archaeology.ucla.edu/,
,"The Master of Architecture (M.Arch) is a three-year professional degree program accredited by the National Architectural Accrediting Board (NAAB). The program’s focus is on the integration of design, technology, and critical practice. The curriculum prepares students to engage the challenges of the contemporary world through the discipline of architecture. M.Arch students at UCLA AUD benefit from the program’s location within a preeminent research university and its situation within Los Angeles, a global center for creative experimentation. The program is organized around a series of design studios, which are complemented by courses in history and theory, technology, and professional practice. In their final year, students complete a research-based design project, which allows them to explore a specific topic in depth.",https://www.aud.ucla.edu/academics/m-arch,The Master of Architecture (M.Arch) is a three-year professional degree program accredited by the National Architectural Accrediting Board (NAAB).,,Master of Architecture,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",Masters
"Mobility, Technology, Urban Strategy, and Entertainment","The Master of Science in Architecture (M.S. Architecture) is a one-year post-professional degree program that leads to a Master of Science in Architecture and Urban Design. This program is intended for students who already hold a professional degree in architecture (B.Arch or M.Arch) and wish to pursue advanced research and design studies. The M.S. Architecture is organized around four research themes: Mobility, Technology, Urban Strategy, and Entertainment.",http://www.aud.ucla.edu/,,,Master of Science in Architecture,https://grad.ucla.edu/programs/school-of-arts-and-architecture/architecture-and-urban-design-department/architecture-m-s/,
Critical Studies in Architecture and Culture; Architecture and Technology,"The UCLA PhD in Architecture is an advanced research degree intended for students who wish to pursue careers in academia and research. The program focuses on the history, theory, and technology of architecture and its relationship to broader cultural and social contexts. Students in the PhD program engage in rigorous scholarly research, developing expertise in their chosen field of study while also gaining a broad understanding of the discipline of architecture. The program emphasizes interdisciplinary approaches and encourages students to draw on insights from fields such as art history, sociology, history, and engineering.",https://aud.ucla.edu/academics/phd-in-architecture,,,PhD in Architecture,https://aud.ucla.edu/academics,
"Ceramics, New Genres, Painting and Drawing, Photography, Sculpture",The Master of Fine Arts (M.F.A.) degree program is committed to a diversity of aesthetic and intellectual stances. Students are encouraged to pursue their own interests and to develop their work through a rigorous program of studio work and critical dialogue. The M.F.A. program is a three-year program consisting of advanced studio practice and art theory.,https://www.art.ucla.edu/graduate/,,,Master of Fine Arts in Art,https://www.art.ucla.edu/graduate/,
,The Department of Art History offers the Master of Arts (M.A.) and Doctor of Philosophy (Ph.D.) degrees in Art History. The program is designed to provide students with a broad knowledge of the history of art and a deep understanding of the theories and methods of the discipline. It also offers the opportunity for specialized study in a wide variety of historical and geographical areas.,https://grad.ucla.edu/programs/humanities/art-history/,,,Master of Arts in Art History,https://grad.illinois.edu/admissions/programs,
,"The Department of Art History at UCLA is one of the top programs in the country, with a faculty that is internationally recognized for its research and teaching. The department offers a comprehensive graduate program leading to the Ph.D. in Art History. The program is designed to provide students with a broad knowledge of the history of art and to prepare them for careers in research, teaching, and museum work. The graduate program in Art History is designed to provide students with the necessary tools for advanced research and teaching in the field. Students work closely with faculty members in a variety of fields, from ancient to contemporary art, across a range of geographical areas.",https://arthistory.ucla.edu/graduate/,,,PhD in Art History,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
,"The Department of Asian American Studies at UCLA offers an interdisciplinary program of study leading to the Master of Arts (M.A.) degree. Since its inception in 1970, the graduate program has been a leader in the field, training students for careers in community-based organizations, public policy, arts and culture, and education, as well as for further graduate study in the humanities, social sciences, and professional fields. The program is inherently interdisciplinary, emphasizing the study of Asian American history, culture, and contemporary social issues. Students work closely with faculty members across a variety of disciplines to develop and complete an original research project.",https://asianam.ucla.edu/graduate/m-a-in-asian-american-studies/,,,Master of Arts in Asian American Studies,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
"Buddhist Studies, China, Japan, Korea, South Asia, and Southeast Asia","The Master of Arts in Asian Languages and Cultures is designed for students who wish to pursue advanced study of the languages, literatures, and cultures of East, South, and Southeast Asia. The program provides a broad foundation in Asian studies while allowing for specialization in a specific region and discipline. The M.A. program is intended to provide students with a solid foundation in the study of the languages, literatures, and cultures of Asia. The M.A. degree is essentially a transition to the Ph.D. program, but it may also be taken as a terminal degree for those who are preparing for a career other than teaching and research.",https://alc.ucla.edu/graduate/m-a-program/,,,Master of Arts in Asian Languages and Cultures,https://www.idp.com/universities-and-colleges/university-of-wisconsin-madison/master-of-arts-in-asian-languages-and-cultures/PRG-US-00297545/,
"Buddhist Studies, China, Japan, Korea, South Asia, and Southeast Asia","UCLA’s Department of Asian Languages and Cultures offers graduate programs leading to the Master of Arts and Doctor of Philosophy degrees in Asian Languages and Cultures. Students can choose to specialize in one of several fields, including Buddhist Studies, China, Japan, Korea, South Asia, and Southeast Asia. Our graduate program is designed to provide students with a solid foundation in the languages and cultures of East, South, and Southeast Asia. We aim to train students for careers in research and teaching at the university level, as well as for other professional careers that require advanced linguistic and cultural expertise.",https://www.alc.ucla.edu/graduate/ph-d-program/,,,PhD in Asian Languages and Cultures,https://www.alc.ucla.edu/graduate/,
,"The astronomy program provides students with a broad background in astronomy and astrophysics, as well as a more specialized knowledge in one or more areas of research. The program is designed to prepare students for careers in research and teaching in astronomy and astrophysics, as well as in related areas of physics and technology.",https://grad.ucla.edu/programs/physics-and-astronomy/astronomy-grad/,,,PhD in Astronomy,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
,"The Department of Atmospheric and Oceanic Sciences offers the Master of Science (M.S.) and Doctor of Philosophy (Ph.D.) degrees in Atmospheric and Oceanic Sciences. A student in the M.S. program is expected to obtain a broad knowledge of the major areas of atmospheric and oceanic sciences, including the physics and chemistry of the atmospheres of Earth and other planets, and the dynamics and thermodynamics of the atmosphere and oceans. The program is designed to prepare students for careers in research, government, or private industry, or for further study toward the Ph.D. degree.",https://grad.ucla.edu/programs/physical-sciences/atmospheric-oceanic-sciences/,,,Master of Science in Atmospheric and Oceanic Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
,"The Ph.D. program in Atmospheric and Oceanic Sciences is designed to give students a strong foundation in the physical and mathematical sciences and to provide them with the skills necessary to conduct original research. Research in the department covers a wide range of topics, including climate dynamics, atmospheric chemistry and physics, oceanography, and space physics.",https://grad.ucla.edu/programs/physical-sciences/atmospheric-oceanic-sciences/,,,PhD in Atmospheric and Oceanic Sciences,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
,"The Biochemistry, Molecular and Structural Biology (BMSB) Graduate Program is designed for students who want to conduct research at the interface of chemistry, biology and medicine. We are a small, tight-knit program within a large, vibrant research university. Our primary goal is to train the next generation of scientists to be leaders in academia, biotechnology and the pharmaceutical industry. The core of the program is the research experience, where students work in the laboratories of world-renowned faculty to make original and impactful discoveries. Students choose a research advisor from among over 40 faculty members in the Department of Chemistry and Biochemistry. These faculty members have research interests that span the entire range of biochemistry and molecular biology, including structural biology, proteomics, genomics, epigenetics, metabolism, and bioenergetics. The research is often interdisciplinary, involving collaborations with other departments such as microbiology, immunology and molecular genetics; biological chemistry; medicine; and physics. Our faculty are also members of many interdisciplinary research centers and institutes at UCLA, including the Molecular Biology Institute (MBI), the California NanoSystems Institute (CNSI), the Jonsson Comprehensive Cancer Center, and the Eli and Edythe Broad Center of Regenerative Medicine and Stem Cell Research.",https://grad.ucla.edu/programs/physical-sciences/chemistry-and-biochemistry-department/biochemistry-molecular-and-structural-biology/,,,"PhD in Biochemistry, Molecular and Structural Biology",https://grad.ucla.edu/programs/physical-sciences/chemistry-and-biochemistry-department/biochemistry-molecular-and-structural-biology/,
"Biomedical Instrumentation (BMI), Molecular, Cellular and Tissue Therapeutics (MCTT), Imaging, Informatics and Systems Engineering (IIS), and BioSystem Science and Engineering (BSSE)","The Bioengineering Department offers the Master of Science (M.S.) and Doctor of Philosophy (Ph.D.) degrees in Bioengineering. The bioengineering program is an interdisciplinary program that provides a broad-based curriculum in engineering and the life sciences. The program is designed to provide students with a strong foundation in the physical and biological sciences and engineering, and to provide them with the skills to apply this knowledge to the solution of problems in biology and medicine. Students may choose to follow one of several tracks of study, including BioSystem Science and Engineering, Biomedical Instrumentation, Molecular, Cellular and Tissue Therapeutics, and Imaging, Informatics and Systems Engineering.",https://www.bioeng.ucla.edu/m-s-program/,,,Master of Science in Bioengineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
"Biomedical Instrumentation; Molecular, Cellular and Tissue Engineering; Biomedical Imaging; Neuroengineering; Systems and Integrative Biology; Biosystem Science and Engineering","The bioengineering program is an interdisciplinary program that includes the following research areas: (1) biomedical instrumentation; (2) molecular, cellular, and tissue engineering; (3) biomedical imaging; (4) neuroengineering; (5) systems and integrative biology; and (6) biosystem science and engineering. Graduate students are expected to take courses from both the Henry Samueli School of Engineering and Applied Science and the David Geffen School of Medicine, and their research may be conducted in any of the university's laboratories.",https://www.bioeng.ucla.edu/graduate-overview/,,,PhD in Bioengineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
,"The Bioinformatics Interdepartmental Program (IDP) provides students with a broad education in the biological, mathematical, and computer sciences, and with the skills to apply that knowledge to the research problems of today. The program is designed to provide students with the necessary tools to perform research in the field of bioinformatics, which involves the use of computer science and statistics to analyze and interpret biological data.",https://grad.ucla.edu/programs/life-sciences/bioinformatics/,,,PhD in Bioinformatics,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFckytXMZtYgCAXh4tyv3WlQ3BaXyXO6j8i9pWD681Ghsgqr_FfR6SN61AckU1I7UtiVlwTWGQ75X21IXe60FYbk4BEv7mUae-3HTgb13iRdAaFq18YwXZ8Xc4I10OWwg2l-Wldofo85uPhzI-eQRI5ipmDBgPnozsv524=,
,"The Department of Ecology and Evolutionary Biology offers the Master of Science (M.S.) and Doctor of Philosophy (Ph.D.) degrees in Biology. The graduate program in Biology provides students with a broad and deep education in the biological sciences, with a focus on ecology, evolution, and related disciplines. Students in the program have the opportunity to work with world-class faculty on cutting-edge research in a variety of areas, including: animal behavior, conservation biology, ecology, evolutionary genetics, marine biology, paleontology, and plant biology. The program is designed to provide students with a broad knowledge of ecology and evolutionary biology and to provide them with the tools and techniques they need to conduct original research.",https://grad.ucla.edu/programs/life-sciences/ecology-evolutionary-biology/,,,Master of Science in Biology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",Masters
,"The Department of Ecology and Evolutionary Biology offers the Master of Science (M.S.) and Doctor of Philosophy (Ph.D.) degrees in Biology. The program is designed to provide students with a broad background in ecology and evolutionary biology, as well as specialized training in one or more areas of research. The program is flexible and allows students to design a program of study that meets their individual needs and interests. The department is a vibrant community of scholars dedicated to understanding the diversity of life on Earth, and the graduate program provides students with rigorous training in ecology and evolutionary biology, preparing them for careers in academia, research, conservation, and beyond.",https://eeb.ucla.edu/graduate/,,,PhD in Biology,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
,"Biomathematics is the study of biological systems through the use of mathematical models and other quantitative techniques. Its goal is to bring the power of mathematics to bear on the problems of modern biology and medicine. The program is designed for students with a background in the biological or physical sciences or in mathematics. It provides training in the application of mathematics and computing to the solution of problems in the biological and medical sciences. The UCLA Department of Biomathematics offers the Master of Science (M.S.) degree to provide students with a solid foundation in the basics of biomathematics and to prepare them for careers in research, industry, or for further graduate study.",https://grad.ucla.edu/programs/david-geffen-school-of-medicine/biomathematics/,,,Master of Science in Biomathematics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
,"The Department of Computational Medicine Graduate Program in Biomathematics at UCLA provides an excellent research environment for students interested in training for a career in mathematical biology. The primary objective of the program is to train students for research careers in which they can successfully use their mathematical and computational skills to advance our understanding of biological and biomedical systems. To this end, students receive rigorous training in both theoretical biology and mathematical modeling. The research emphasizes applications to biomedicine and includes areas as diverse as genetics and genomics, medical imaging, neuroscience, systems biology and oncology. The Biomathematics PhD program at UCLA is designed to give students a strong foundation in both the mathematical and biological sciences. The curriculum includes courses in biomathematics, biology, and mathematics, as well as a range of elective courses. Students also participate in research rotations, which allow them to explore different research areas and gain experience in different laboratories. In addition to the coursework and research, the program also provides students with opportunities for professional development, including seminars, workshops, and conferences.",https://compmed.ucla.edu/phd/overview,,,PhD in Biomathematics,https://compmed.ucla.edu/phd/overview,
"Medical Imaging, Therapeutic Medical Physics, and Molecular Imaging","The Biomedical Physics (BMP) Interdepartmental Graduate Program offers two graduate degrees: the Master of Science (MS) and the Doctor of Philosophy (PhD). The BMP program is designed for students with an undergraduate background in physics, engineering or a related science who wish to apply their skills in physics and mathematics to the solution of problems in medicine and biology. The program focuses on three main areas of research: Medical Imaging (e.g. MRI, CT, PET), Therapeutic Medical Physics (e.g. Radiation Oncology), and Molecular Imaging.",https://pms.ucla.edu/,Accredited by the Commission on Accreditation of Medical Physics Educational Programs (CAMPEP),,Master of Science in Biomedical Physics,http://campep.org/campeplstgrad.asp,
"Medical Imaging, Molecular Imaging, Medical Physics, and Radiation Biology","The Physics & Biology in Medicine Graduate Program (formerly Biomedical Physics) at UCLA provides an ideal environment for students interested in applying their backgrounds in physics, mathematics and engineering to problems in biology and medicine. This multidisciplinary program, located within the David Geffen School of Medicine at UCLA, offers two graduate degrees: the Master of Science (MS) and the Doctor of Philosophy (PhD) in Physics & Biology in Medicine. The Graduate Program in Physics & Biology in Medicine has four specialty tracks: Medical Imaging, Molecular Imaging, Medical Physics, and Radiation Biology.",https://www.biomedphysics.ucla.edu/education/graduate-program/,The Medical Physics track is accredited by the Commission on Accreditation of Medical Physics Education Programs (CAMPEP).,,PhD in Biomedical Physics,http://campep.org/campeplstgrad.asp,
"Balanced Track, Theoretical Track","The MS program is designed to provide students with the necessary skills to work as a professional biostatistician in a variety of settings, including government, industry, and academia. The program provides a strong foundation in both the theory and application of biostatistics, and prepares students for careers as biostatisticians in public health and biomedical research. The Department of Biostatistics offers two tracks for the MS degree: the Balanced Track and the Theoretical Track. The Balanced Track provides a broad introduction to biostatistical methods, while the Theoretical Track provides a more rigorous mathematical foundation for students who may be interested in pursuing a PhD.",https://biostat.ucla.edu/content/master-science-ms-biostatistics,The UCLA Fielding School of Public Health is accredited by the Council on Education for Public Health (CEPH).,,Master of Science in Biostatistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
,"The PhD program in Biostatistics is designed for students who want to become independent researchers and leaders in the development of statistical methods and their application to public health and the biomedical sciences. Graduates are prepared for careers in academia, government, and industry. The program provides a strong foundation in statistical theory and methods, as well as the opportunity to conduct original research in a variety of application areas. Students in the PhD program will acquire a solid foundation in statistical theory and methods, develop the skills to conduct original research in biostatistics, learn to collaborate with researchers in other fields to solve complex problems in public health and medicine, and gain experience in teaching and communicating biostatistical concepts.",https://biostat.ucla.edu/phd-biostatistics,The UCLA Fielding School of Public Health is accredited by the Council on Education for Public Health (CEPH).,,PhD in Biostatistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
Biostatistics,"The Master of Public Health (MPH) in Biostatistics is a professional degree that provides students with a broad understanding of public health and training in the application of statistical methods to public health and biomedical research. The MPH program is intended for students who want to develop and apply statistical methods to solve public health and biomedical problems. Students learn to design research studies, analyze and interpret data, and communicate results to a variety of audiences.",https://ph.ucla.edu/academics/departments/biostatistics/master-public-health-mph,The UCLA Fielding School of Public Health is accredited by the Council on Education for Public Health (CEPH).,,Master of Public Health in Biostatistics,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",Masters
"Accounting, Decisions, Operations and Technology, Finance, Global Economics and Management, Management and Organizations, Marketing, Strategy","The UCLA Anderson Full-Time MBA program is a two-year, immersive experience that prepares you to lead in a rapidly changing world. You’ll gain a deep understanding of business fundamentals and have the freedom to tailor your curriculum to your career goals. Through Parker Career Management Center, leadership development programs and global opportunities, you'll gain the skills and connections to lead in any industry.",https://www.anderson.ucla.edu/degrees/full-time-mba,UCLA Anderson School of Management is accredited by AACSB International.,,Master of Business Administration,https://apply.anderson.ucla.edu/apply/,
"Accounting, Decisions, Operations and Technology Management, Finance, Global Economics and Management, Management and Organizations, Marketing, Strategy","The Ph.D. program is designed for students who intend to pursue careers in university teaching and research. It is a full-time, research-oriented program in which students are expected to acquire depth in a specialized area of management as well as a strong background in research methodology and a related basic discipline. Major fields of study include accounting; decisions, operations and technology management; finance; global economics and management; management and organizations; marketing; and strategy.",https://grad.ucla.edu/programs/anderson-school-of-management/management-ms-phd/,,,PhD in Business Administration,https://grad.ucla.edu/programs/anderson-school-of-management/management-ms-phd/,
,The Executive M.B.A. Program is designed to meet the needs of mid-career managers and executives who wish to pursue an M.B.A. degree while continuing their professional careers. The curriculum focuses on the common body of knowledge in management and provides the opportunity for students to expand their knowledge in specific areas of interest through elective courses.,http://www.anderson.ucla.edu/degrees/executive-mba,,,Executive Master of Business Administration,https://grad.ucla.edu/programs/anderson-school-of-management/management-executive-mba/,
,"The UCLA Anderson Master of Science in Business Analytics (MSBA) is a 15-month, full-time program that prepares you for a career in the high-demand field of big data. Our curriculum is designed to give you a deep understanding of the mathematical and statistical methods that underpin business analytics, as well as the practical skills you need to apply these methods in a business setting. You will learn how to use data to solve real-world business problems, and you will gain the leadership and communication skills you need to succeed in your career.",https://www.anderson.ucla.edu/degrees/ms-in-business-analytics,,,Master of Science in Business Analytics,https://grad.ucla.edu/programs/anderson-school-of-management/management-business-analytics-ms/,Masters
,"The Chemical and Biomolecular Engineering Department offers the Master of Science (M.S.) and Doctor of Philosophy (Ph.D.) degrees in Chemical Engineering. Research is conducted in the areas of cellular and molecular engineering, systems engineering, materials synthesis and processing, and energy and the environment.",https://www.chemeng.ucla.edu/,,Masters,Master of Science in Chemical Engineering,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/chemical-biomolecular-engineering-department/chemical-engineering/,
,"The Ph.D. program in Chemical Engineering is research-oriented and is designed to prepare students for careers in research and development in academia, industry, and government. The program provides a broad foundation in chemical engineering while allowing students to specialize in a variety of research areas, including biomolecular engineering, nanotechnology, energy and sustainability, and advanced materials. Students work with a faculty advisor to conduct original research that makes a significant contribution to the field, pass a preliminary exam and a qualifying exam, and write and defend a doctoral dissertation.",https://cbe.ucla.edu/graduate-program/phd-program/,,,PhD in Chemical Engineering,"The official university website for the University of California, Los Angeles (UCLA) is [ucla.edu](https://www.ucla.edu/).",
"Analytical Chemistry, Biophysics, Chemical Biology, Inorganic Chemistry, Materials Chemistry, Organic Chemistry, Physical Chemistry, Theory and Computation","The Ph.D. program in Chemistry and Biochemistry is designed to provide students with a strong foundation in chemistry and to develop their research skills in a specific area of interest. The program offers research opportunities in a wide range of areas, including analytical, biological, inorganic, materials, organic, physical, and theoretical chemistry. Students work closely with faculty members on cutting-edge research projects, and have access to state-of-the-art facilities and equipment. The program is committed to providing a supportive and inclusive environment for all students.",https://chemistry.ucla.edu/graduate/phd-program/,,,PhD in Chemistry,https://kaust.smartcatalogiq.ca/en/2024-2025/program-guide/division-of-physical-science-and-engineering-pse/chemistry-chem/chemistry-phd-program,
"Border and Transnational Studies; Expressive Arts; History, Culture and Language; Institutions, Policy, and Justice","The Cesar E. Chavez Department of Chicana/o and Central American Studies at UCLA offers an interdisciplinary program of study leading to the Master of Arts and the Doctor of Philosophy degrees. The Ph.D. program in Chicana and Chicano Studies is designed to provide students with a rigorous and comprehensive foundation in the field, emphasizing interdisciplinary research methods and theories. The goal of the graduate program is to prepare scholars for research and teaching careers in the academy, as well as for leadership positions in the public and private sectors. Students are expected to develop expertise in one or more of the department’s four sub-fields: Border and Transnational Studies; Expressive Arts; History, Culture and Language; and Institutions, Policy, and Justice.",https://chavez.ucla.edu/graduate-studies-program/,,,PhD in Chicana and Chicano Studies,https://chavez.ucla.edu/graduate-studies-program/graduate-handbooks/,
"Civil Engineering Materials, Environmental Engineering, Geotechnical Engineering, Hydrology and Water Resources Engineering, Structural Mechanics and Design, and Transportation Engineering","The Master of Science (M.S.) program in Civil Engineering at UCLA requires each student to complete a minimum of nine courses (36 units) to satisfy the degree requirements. At least five must be graduate courses (200-level), and at least seven must be CEE courses. The program offers several major fields of study, including Civil Engineering Materials, Environmental Engineering, Geotechnical Engineering, Hydrology and Water Resources Engineering, Structural Mechanics and Design, and Transportation Engineering. M.S. degrees are awarded under either the Thesis Plan (Plan I) or the Comprehensive Examination Plan (Plan II).",https://www.cee.ucla.edu/graduate-requirements/,,,Master of Science in Civil Engineering,https://www.cee.ucla.edu/graduate-requirements/,Masters
"Civil Engineering Materials, Environmental Engineering, Geotechnical Engineering, Hydrology and Water Resources Engineering, Structural Mechanics, Structures and Earthquake Engineering, Transportation Engineering","The Civil and Environmental Engineering Department offers the Master of Science (M.S.) and Doctor of Philosophy (Ph.D.) degrees in Civil Engineering. The department’s programs are structured to produce graduates who are prepared for professional and/or research careers in the following major fields: Civil Engineering Materials, Environmental Engineering, Geotechnical Engineering, Hydrology and Water Resources Engineering, Structural Mechanics, Structures and Earthquake Engineering, Transportation Engineering.",https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/civil-environmental-engineering-department/civil-engineering/,,,PhD in Civil Engineering,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/civil-environmental-engineering-department/civil-engineering/,
