Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
"Finance, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"The application requires submission of background information, an application fee, two essays, unofficial transcripts from all undergraduate and graduate programs attended, a one-page resume, and two letters of recommendation. All applicants must submit a GMAT or GRE score, though a test waiver may be available for certain candidates. Non-native English speakers must also submit an English language test score (TOEFL, PTE, or IELTS).",Not Required,False,True,False,True,False,False,,,program,
"Finance, PhD",https://catalog.upenn.edu/graduate/wharton/programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Health Care Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"The Wharton MBA Admissions Committee is interested in your academic readiness, professional experience, and personal characteristics. Application Components include: Background Information, Application Fee, Two Essays, Transcripts, Two Letters of Recommendation, GMAT or GRE Score, English Language Test Score, Résumé, and an Interview.",Not Required,False,False,False,False,False,False,,,program,
"Health Care Management & Economics, PhD",https://catalog.upenn.edu/graduate/wharton/programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Individualized Major, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"A complete Wharton MBA application will consist of the following: Background Information, Two Essays, Transcripts (unofficial transcripts are accepted for the application), Two Letters of Recommendation, GMAT or GRE Score, English Language Test Score, Résumé, Application Fee.",Not Required,False,False,True,False,False,False,,,program,
"Leading Across Differences, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"The application checklist includes: Background Information, Two Essays, Transcripts, Two Letters of Recommendation, GMAT or GRE Score, a one-page Résumé, and an English Language Test Score (if applicable).",Not Required,False,False,False,True,False,False,,,program,
"Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"The Wharton MBA application is comprised of background information (including a résumé), an application fee, two essays, transcripts, two letters of recommendation, GMAT or GRE score, and an English language test score (if applicable).",,False,False,True,True,False,False,,,program,
"Management, PhD",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"A completed application for the Wharton Doctoral Programs includes the online application form, application fee, academic transcripts, three letters of recommendation, essays (including a Statement of Purpose), and a CV or resumé. Submission of GMAT or GRE scores is optional for all programs for the Fall 2025 admissions cycle. A writing sample is optional for the Management program.",Optional,True,True,True,True,False,False,,,program,
"Marketing, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Marketing & Operations Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"The application requires submission of background information, an application fee, two essays, unofficial transcripts from all undergraduate and graduate programs attended, two letters of recommendation, a GMAT or GRE score (a test waiver is available for eligible candidates), an English language test score (if applicable), and a résumé.",Not Required,False,False,True,True,False,False,,,program,
"Marketing, PhD",https://catalog.upenn.edu/graduate/wharton/programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Multinational Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"Application requirements for the Wharton MBA include submission of background information, two required essays, transcripts from all undergraduate and graduate institutions attended, a one-page resume, and two letters of recommendation. All applicants must submit either a GMAT or GRE score, though a test waiver is available for eligible candidates. Non-native English speakers who did not receive their bachelor's degree from an institution where the medium of instruction was English must also submit a TOEFL, PTE, or Duolingo score.",Not Required,False,True,False,True,False,False,,,program,
"Operations, Information and Decisions, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Operations, Information and Decisions, PhD",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"A complete application will include: Online Application, Application Fee, Personal Statement, Letters of Recommendation, Unofficial Transcripts, Test Scores (GMAT or GRE), Test of English as a Foreign Language (TOEFL) or Pearson Test of English Academic (PTE Academic), Resume/CV.",Not Required,False,False,False,True,False,False,,,program,
"Organizational Effectiveness, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"The Wharton MBA application is comprised of background information, two essays, transcripts, GMAT/GRE score (with a test waiver option), English language test score (if applicable), a résumé, and two letters of recommendation.",Not Required,False,True,False,False,False,False,,,program,
"Quantitative Finance, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Real Estate, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"The Wharton MBA application is comprised of the following components: Background Information, Essays, Letters of Recommendation, Transcripts, GMAT or GRE Score, English Language Test Score, Resume, Application Fee.",Not Required,False,False,False,False,False,False,,,program,
"Social and Governance Factors for Business, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"The Wharton MBA application is comprised of your self-reported background information, the application fee, two essays, transcripts, two letters of recommendation, GMAT or GRE score, and an English language test score (if applicable). Applicants must apply through the Wharton MBA Program and select the SOGO MA as part of their application.",Not Required,False,False,True,False,False,False,,,program,
"Statistics and Data Science, MA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"A complete application includes the following: Completed Online Application, Application Fee, Statement of Purpose, Resume, Letters of Recommendation (2), Transcripts, GRE (Optional), English Language Proficiency.",Not Required,True,True,True,True,False,False,,,program,
"Statistics and Data Science, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Statistics and Data Science, PhD",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,Applicants to the doctoral program in Statistics and Data Science must apply online. Completed applications and all supporting material must be submitted by the deadline of December 15.,Not Required,False,True,False,False,False,False,,,program,
"Strategic Management, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"The application includes background information, two required essays, a one-page resume, transcripts from all undergraduate and graduate programs attended, and two letters of recommendation. A GMAT or GRE score is also a component, but applicants may request a test waiver. An English language test score (such as TOEFL or PTE) is required for non-native English speakers who did not earn a degree from an institution where English was the language of instruction.",Not Required,False,True,False,True,False,False,,,program,
