Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
"['Power, Citizenship, and the State', 'Race, Representation, and Knowledge Systems']","The interdisciplinary doctoral degree in African American and African Diaspora Studies (AAADS) focuses on the experiences of people of African descent in the United States, in the African Diaspora, and in the world. These shared experiences—among them, slavery, emancipation, imperialism, decolonization, and racism—warrant close attention, and mark this field (Black Studies/Africana Studies) as a discrete unit of study that bears directly and powerfully on world history, literature, and politics. [7]",https://aaads.indiana.edu/index.html,,Doctor of Philosophy,African American Studies (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
"['Education Track', 'Biomedical Research Track']","Indiana University School of Medicine offers two pathways to the PhD degree in Anatomy and Cell Biology. The Education Track prepares students for careers in anatomy and physiology teaching and educational research, and the Biomedical Research Track prepares students for careers in laboratory research. The Education Track PhD program prepares doctoral-level anatomy educators who are capable of teaching all of the anatomical disciplines and physiology to undergraduate, graduate or professional students and of producing the high-quality educational research and other scholarly work necessary for promotion and tenure. PhD Biomedical Research Track students begin the program in August through the IU School of Medicine BioMedical Gateway Program (IBMG) and complete IBMG core courses and three lab rotations before selecting the program and lab they will join for further training. In the second year of PhD study, students take the major anatomy core courses plus foundation courses of a minor discipline (such as physiology or biochemistry).",https://medicine.iu.edu/departments/anatomy-cell-biology-physiology/education-programs/phd,,PhD,Anatomy (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
"['Clinical Anatomy and Physiology', 'Pre-Professional']","Indiana University School of Medicine offers Master of Science degrees in Anatomy, Cell Biology and Physiology with different learning tracks that prepare students for successful careers in research or education, or entry into professional clinical programs of study such as medicine, occupational therapy or physical therapy. [1] These are independent degrees and not required as a prerequisite for the Anatomy, Cell Biology and Physiology doctoral degrees. [1] The degree programs capitalize on the department's faculty unique expertise in neuroscience, musculoskeletal biology, renal biology and anatomical education research. [4] All tracks of the master's program in Anatomy, Cell Biology and Physiology require a total of 30 credit hours for the degree. [1]",https://medicine.iu.edu/departments/anatomy-cell-biology-physiology/education-programs/graduate/masters-degree,,Master of Science,"Anatomy, Cell Biology and Physiology (M.Sc.)",https://graduate.indiana.edu/degrees-programs/degrees.html,
Anesthesiologist Assistant Program,"Indiana University School of Medicine offers a Master of Science degree in Anesthesia through the Anesthesiologist Assistant Program. This program is a 28-month didactic curriculum that prepares learners for certification as anesthesiologist assistants. [1] The curriculum includes 28 months of intensive didactic sessions complemented by clinical rotations through a variety of subspecialties, including pediatrics, trauma, orthopedics, regional anesthesia, neuro and obstetrics. [1] The program, including classroom, laboratory and clinical requirements, prepares students for the certification examination offered by the National Commission for the Certification of Anesthesiologist Assistants. [1] At the successful conclusion of the program, students are awarded a Master of Science degree in anesthesia. [1]",https://medicine.iu.edu/anesthesia/education-programs/assistant,,Master of Science,Anesthesia (M.Sc.),https://graduate.indiana.edu/degrees-programs/degrees.html,
"['Archaeology and Social Context', 'Food Studies', 'Paleoanthropology']","We offer a depth of study in all four anthropological subfields: archaeology, bioanthropology, linguistic anthropology, and social-cultural anthropology. Our graduate students choose one of these fields for specialization, and may take courses in or pursue an inside minor in any of the other fields. You may also select one of three concentrations to supplement your graduate school coursework: Archaeology and Social Context, Food Studies, and Paleoanthropology. Each of these supplemental concentrations involves its own breadth requirements within Anthropology that may require further class work. All four fields of study have a foreign language requirement. You must pass a qualifying examination to be recommended to candidacy for our Ph.D. degree.",https://anthropology.indiana.edu/graduate/phd/index.html,,PhD,Anthropology (Doctorate in Philosophy),https://graduate.indiana.edu/degrees-programs/degrees.html,
"['Archaeology', 'Bioanthropology', 'Linguistic Anthropology', 'Social-Cultural Anthropology', 'Archaeology and Social Context', 'Food Studies', 'Medical Anthropology', 'Paleoanthropology']","A holistic approach to anthropology. [11] Our curriculum produces graduates trained in a holistic approach to the discipline, with a focus in a major subfield and optional in-depth concentration. [11] You gain research experience, working with internationally recognized faculty as mentors and guides. [11] We consider teaching experience a critical part of our graduate program and make every effort to provide you with teaching opportunities as part of your training. Our graduates place at a high rate around the world in academic institutions and research centers, as well as in other professions. The primary purpose of our graduate program is to develop professional anthropologists for service in universities, colleges, museums, and applied fields. [11] One discipline, four fields of study. [11] Our curriculum is designed to provide a general background in the discipline as well as specializations in the four fields of anthropology: archaeology, bioanthropology, linguistic anthropology, social-cultural anthropology. [11] In addition, you have the option to pursue concentrations that combine studies across the four subfields, including Archaeology and Social Context, Food Studies, Medical Anthropology, and Paleoanthropology. [11] Each of the special concentrations involve faculty from two or more subfields, and engage with faculty in other departments. [11] Concentration studies are in addition your primary subfield of study. [11]",https://anthropology.indiana.edu/graduate/index.html,,MA,Anthropology (MA),https://graduate.indiana.edu/degrees-programs/degrees.html,
"['corporate communication', 'health communication', 'media studies', 'public communication']"," The Department of Communication Studies offers a master's program in Applied Communication with optional concentrations in corporate communication, health communication, media studies and public communication. [2] The overarching goal of this unique program in Applied Communication is to provide students with the competencies and skills necessary to address specific communication issues and problems that are socially relevant and to suggest or implement change. [2] The primary intellectual goal of the program is to increase our students' understanding of the theoretical implications of discipline-specific knowledge and to enhance their ability to understand and predict human interaction relative to realistic, applied outcomes associated with contemporary social problems. [2] A practical goal of the program is to educate professionals who grasp the complexities of communication problems and who are able to develop and execute strategies and create programs to address such issues. [2] Students completing the Applied Communication M.A. curriculum will: communicate both orally and in writing for professional and academic audiences; synthesize, critique, and apply theoretical constructs in communication studies; select and evaluate appropriate methodologies for conducting communication research; propose and justify solutions to real-world communication problems; design and conduct guided communication research. [2]",https://liberalarts.indianapolis.iu.edu/departments/communication-studies/,,M.A.,Applied Communication (M.A.),https://graduate.indiana.edu/degrees-programs/degrees.html,
"Students select a research concentration in water resources, geochemical processes, or physical Earth. [1, 2] Another concentration listed is Human and Environmental Systems. [2]","The Ph.D. in Applied Earth Sciences is offered in the Department of Earth and Environmental Ciências. [1] Students in this program come from a range of science backgrounds but share a common interest in studying and discovering the interactions between earth processes and humans. [1, 2] The Ph.D. program prepares students for academic positions; research; and leadership positions in local, state, national, or private environmental organizations. [1] You'll graduate ready to assess complex environmental systems and assist in providing sound options and solutions for optimizing human-environment interactions. [1]",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEsbBUZKuGhqd3qDi2v6QKWHECDks-JSgfDGptCniRiVFvNBU2HRRpf9N5_W1yMy15Fcuta6-26lMvwdOI5_20xIjZRIuFrCeS7eDw3P4yWCITWrLCixKKZD2uXeF7tW6UEWfN5ZAZSAhYoJZ6YK4YXUffMqa0WcXwQ7yXeEHS77Tfd-BuxAlZfQbheabeDGU4qMZ43Qc5An4g6IhSwR7fMFp43uD6Fps1JTZgQeEFxMWh1nck4tVU=,,"PhD [1, 2]",Applied Earth Sciences (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
Specialization in Art Education,"Prepare for positions oriented to teaching and teacher education in higher education; leadership in K-12, museum or other community settings; or work as an independent consultant or scholar. [1] Such roles require the ability to critically analyze ideas and issues; design and implement curricula aligned with contemporary policy and theory; support and mentor novice and practicing educators; and make significant and ongoing contributions to the field of art education through teaching, scholarship and service. [1] This 60-hour Ed D is the right choice if you prefer research that seeks practical and tangible solutions to challenges in the field of art education. [1] This is a rigorous program in keeping with expectations of doctoral-level work at Indiana University Bloomington. [1] It demands a substantial commitment and offers access to the university's vast intellectual resources. It provides not only course work but also opportunities to conduct research, participate in scholarly publication, and gain teaching experiences in higher education. [1] This degree is fully available online. [1]",https://education.indiana.edu/graduate/doctoral/curriculum-instruction/art-education.html,,Doctor of Education,"Art Education (Ed.D. in Curriculum and Instruction, Residential or Online)",https://graduate.indiana.edu/degrees-programs/degrees.html,
Specialization in Art Education,"Impact the next generation of art teachers and help develop the research that demonstrates the importance of art education on students' overall academic performance. [3] As a candidate for the Ph.D. in Art Education, you'll work with faculty partners to investigate how art is taught in real classroom settings, how gender and ethnic background affect art education, and how technology is changing the way we teach art. [3] This 90-credit hour degree prepares you for a career as a university or college educator and researcher. [3]",https://education.indiana.edu/academics/graduate/doctoral/curriculum-instruction-phd-art-education.html,,Ph.D.,Art Education (Ph.D. in Curriculum and Instruction),https://graduate.indiana.edu/degrees-programs/degrees.html,
,"Positioned within Indiana's premier urban research institution, Herron's two-year, full-time program unites the concepts of science, art, and the creative process for application in the therapeutic context. [1] Facilitate healing through creativity. [1] Our art therapy program offers an immersive learning experience utilizing psychotherapeutic principles' theoretical and practical applications. [1, 4] Through various interventions and in myriad settings, you will be exposed to contemporary approaches, evidence-based practices, and research methodologies including art-based inquiry. [1, 4] You will gain hands-on experience in didactic and experiential teaching methods and be encouraged to use personal art-making across the curriculum to develop knowledge, skills, attitudes, and behaviors required for art therapy's competent and ethical practice. [1]",https://herron.iupui.edu/academics/graduate-degree-programs/art-therapy/index.html,The Master of Arts in art therapy program at Herron School of Art and Design at IU Indianapolis is accredited by the Commission on Accreditation of Allied Health Education Programs (CAAHEP) upon the recommendation of the Accreditation Council for Art Therapy Education (ACATE). [1],Master of Arts,Art Therapy (Master),https://graduate.indiana.edu/degrees-programs/degrees.html,
Specialization in Art Education,"Impact the next generation of art teachers and help develop the research that demonstrates the importance of art education on students' overall academic performance. As a candidate for the Ph.D. in Art Education, you'll work with faculty partners to investigate how art is taught in real classroom settings, how gender and ethnic background affect art education, and how technology is changing the way we teach art. This 90-credit hour degree prepares you for a career as a university or college educator and researcher. At the completion of your course work and before you begin your dissertation, you will need to pass a qualifying exam, in the form of portfolio of work and an oral examination. [1]",https://education.indiana.edu/graduate/doctoral/curriculum-instruction/art-education.html,,Doctoral,Arts Education (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,,Arts Management and Leadership (Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,,Biochemistry and Molecular Biology (M.Sc.),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,,Biology (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,Biology (M.Sc.),https://graduate.indiana.edu/degrees-programs/degrees.html,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,The MS in Biostatistics is an academic degree program for students with a background in math and a strong interest in public health. The program emphasizes statistical theory and methods so that students are prepared to be effective statistical collaborators in interdisciplinary studies; and lead the design and execution of studies.,https://publichealth.indiana.edu/academics/degrees-programs/master-science-biostatistics.html,,Master,Biostatistics (M.Sc.),https://graduate.indiana.edu/degrees-programs/degrees.html,
"['Accounting', 'Business Economics and Public Policy', 'Decision Sciences', 'Entrepreneurship', 'Finance', 'Information Systems', 'Marketing', 'Operations Management', 'Organizational Behavior and HR Management', 'Strategic Management']","The Business Economics and Public Policy (BEPP) PhD program at Kelley is an economics-based doctoral program designed to place graduates in research-focused positions at top business schools, economics departments, and policy institutions. What makes Kelley distinctive is our focus on applied microeconomics—the tools, frameworks, and insights that help us understand how firms, people, and industries make decisions and interact. This emphasis appeals to students eager to explore questions that matter for both business strategy and public policy. Our program is intentionally small, admitting only one to two students each year. With nearly 20 research-active faculty, that translates into a 2:1 faculty-to-student ratio. The result is highly personalized mentoring, frequent opportunities for research collaboration, and strong support for co-authoring articles early in your career.",https://kelley.iu.edu/programs/doctoral/index.html,The Kelley School of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB).,Doctoral,Business (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,MS,Business Administration (MS),https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHfw852EknuadqfukWCzqLPBI63JWcuptjFF342oF6NcQ8Tg1pQIdaZkA9uu6yqW3w9_1eKaRf1xLDUZ4Yb3TkjknaNq3zT0XhB_Qd-oIrAJH5SQ5x3EWZ50Bn1XBaPFR1Qknr23VlxdLWq79joABr5xQ==,
Translational Cancer Biology,"Reducing the burden of cancer requires rapid translation of research breakthroughs into clinical therapies—and that requires specifically trained cancer scientists. Our new doctoral program in Translational Cancer Biology trains investigators not only in fundamental research, but also in innovative fields like precision genomics, immunotherapy, drug development and screening, data science, and more. Our PhD in Translational Cancer Biology is student-centered, workforce-aligned, and future-focused. [11] You will complete course work and conduct research on a wide range of cancer topics, including: Cancer prevention and control; Mechanisms of carcinogenesis; Cancer genomics; Signaling pathway alterations in cancer; Biomarkers of cancer progression; Developing novel therapies for specific cancers; The impact of cancer on quality of life; and. Improving quality of life for survivors. [11]",https://medicine.iu.edu/cancer/education-training/graduate-programs/translational-cancer-biology-phd,,PhD,Cancer Biology (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,,Cellular Physiology and Molecular Biophysics (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
"['Baltic-Finnish region (with primarily Estonian or Finnish as language of specialization)', 'Central Asian region (including Xinjiang, with primarily Uyghur and Uzbek, but also Kazakh, as language of specialization)', 'Hungarian region (with Hungarian as language of specialization)', 'Iranian region (with Persian as language of specialization)', 'Mongolian region (with Mongolian as language of specialization)', 'Tibetan region (with Tibetan as language of specialization)', 'Turkish region (with Turkish as language of specialization)', 'Post-Communism and Nationalism', 'Siberian region (individualized specialization)', 'Volga-Kama region (individualized specialization)']","The department offers a comprehensive program on the study of Central Eurasia, the vast heartland of Europe and Asia. Students may specialize in one or more of the major regions within Central Eurasia, or they may specialize in issues cutting across the areas, or in Central Eurasia as a whole. The degree program consists of two interconnected elements: a language of specialization, which gives a student access to the culture of a given region through the voices of its people; and a region of specialization, which includes courses on various aspects of the region's culture. [4] The Ph.D. program in Central Eurasian Studies at HLS will allow you to work with renowned faculty and graduate well-prepared for an academic career at the university level. You'll develop expertise in the culture, history, and language of a region within this vast and critical part of the world. [6]",https://ceus.indiana.edu,,PhD,Central Eurasian Studies (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
"['Analytical Chemistry', 'Chemical Biology', 'Inorganic Chemistry', 'Materials Chemistry', 'Organic Chemistry', 'Physical Chemistry']","The Chemistry Graduate Program at IU provides outstanding opportunities and a supportive environment for advanced study and training in numerous fields of chemistry, including emerging and interdisciplinary research. The program's faculty are at the forefront of the global research community and engage graduate students in cutting-edge research. Graduates are prepared for careers in industry, academia, government, and other areas. The program emphasizes the attainment of a high level of research expertise in a specialized area, as well as the development of broad chemical knowledge through coursework and research seminars. The major emphasis for the Ph.D. degree is on research, supported by a professional development seminar and a course dedicated to introducing research. The department also supports various career development opportunities. Students may choose to focus on one of six specialized areas of chemistry or pursue research projects spanning multiple areas.",https://chem.indiana.edu/graduate/,,PhD,Chemistry (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,PhD,Chemistry & Chemical Biology (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,,Civil Engineering (Doctorate in Philosophy),https://graduate.indiana.edu/degrees-programs/degrees.html,
Clinical Science,"Our Clinical Science program has the principal goal of training students who can function as clinical psychological scientists. The Clinical Science Program at Indiana University is designed to prepare students to become clinical scientists, that is, to be producers of and collaborators in the production of new knowledge regarding the assessment, understanding, and treatment of psychiatric and psychological disorders. The three major domains of the program that reflect this are research, application, and dissemination. We believe that a clinical scientist should be capable of: Advancing basic knowledge by conducting programmatic research on clinical problems, applying this knowledge to address clinical problems through assessment and intervention, and disseminating this knowledge to a wide variety of audiences.",https://psych.indiana.edu/graduate/phd-programs/clinical-science/index.html,"The Clinical Science Program in the Department of Psychological and Brain Sciences at Indiana University is accredited by two organizations, The American Psychological Association (APA) and the Psychological Clinical Science Accreditation System (PCSAS). [12]",PhD,Clinical Psychology (PhD),https://psych.indiana.edu/,
,"Whether you want to dive more deeply into a current interest or branch out into fresh fields of inquiry, we'll prepare you for a successful career in academia. Our Ph.D. in media arts and sciences program is one of the top research programs in media and communication, with one of the most productive graduate student research records in the world. Our customizable curriculum will give you plenty of room to grow and explore. It grants the opportunity to dive deeply into your disciplinary focus, but also provides a space in which you can explore meaningful interdisciplinary discussions and collaborations. Our doctoral students research topics as varied as embodied cognition, Israeli satire, and Black Twitter. Plus, you'll join a dynamic, diverse group of students who share your love of media research. [2, 3] This 90-credit program includes a core curriculum, courses in research methods, and a custom course plan — including a minor — that you'll choose under the guidance of a faculty advisory committee. [2]",https://mediaschool.indiana.edu/graduate-programs/phd-media-arts-sciences/index.html,,Doctor of Philosophy,Communications (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,,Computational Data Science (Mathematics) (M.Sc.),https://graduate.indiana.edu/degrees-programs/degrees.html,Failed to parse JSON response
,"A doctoral degree from the Luddy School of Informatics, Computing, and Engineering is a mark of distinction. It shows you have the passion and the ability to make a real, substantive contribution to your field. It shows you’re a leader. Our doctoral programs will give you the opportunity to work alongside some of the top faculty in the world on research that can change the way we live and work.",https://luddy.iu.edu/academics/doctoral/index.html,,Doctoral,Computer and Information Sciences (Doctoral),https://luddy.iu.edu/academics/doctoral/index.html,
,,,,Doctoral,Computer Science (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html,
Mental Health Track,"This 60-credit hour degree prepares you for a career as a professionally-licensed mental health counselor in a variety of community settings. Through a combination of coursework, laboratory experiences, practica, and internships you'll develop effective counseling skills and gain the qualifications and confidence needed to help others. [1]",https://education.indiana.edu/academics/graduate-programs/masters/mental-health-counseling.html,"The M.S. Ed in Mental Health Counseling and Counselor Education is accredited by the Masters in Psychology and Counseling Accreditation Council (MPCAC) for the period of August, 2018 through August, 2028. [1]",M.S.Ed.,Counseling and Counselor Education (Master),https://graduate.indiana.edu/degrees-programs/degrees.html,
,"Become a counseling psychologist through a program where your knowledge of theoretical systems informs your clinical approach, and your practice guides your research. [1] This APA-accredited Ph.D. program is based on a scientist-practitioner training model, with a strong emphasis on multicultural issues and social justice. [1] You'll learn to apply psychological principles with an understanding of and respect for differing world views. [1] You'll undertake original research under the guidance of a faculty advisor. [1] You'll get real-world experience as both a counselor and a counselor supervisor. [1]",https://education.indiana.edu/academics/degrees-programs/doctoral/counseling-psychology.html,The Ph. D. program in Counseling Psychology is accredited by the American Psychological Association. [1],Doctoral,Counseling Psychology (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,Certificate,Creative Writing (Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html,
"['Fiction', 'Poetry']","Indiana University's graduate program in Creative Writing offers three years of fully-funded study leading to a Master of Fine Arts degree. Our award-winning faculty works hands-on with candidates throughout a three-year program focused on the learning, application, and integration of craft concepts and the generation and workshopping of original student poetry and fiction. Your thesis is a book-length manuscript in the genre of your choice.",https://english.indiana.edu/graduate/master-of-fine-arts-degree/index.html,,Master of Fine Arts,Creative Writing and Literature (Master's Degree Program),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,Certificate,Crime Mapping and Analysis (Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,Doctoral,Criminal Justice (Doctoral),https://graduate.indiana.edu/degrees-programs/degrees.html,
Art Education,"Prepare for positions oriented to teaching and teacher education in higher education; leadership in K-12, museum or other community settings; or work as an independent consultant or scholar. Such roles require the ability to critically analyze ideas and issues; design and implement curricula aligned with contemporary policy and theory; support and mentor novice and practicing educators; and make significant and ongoing contributions to the field of art education through teaching, scholarship and service. [1] This 60-hour Ed D is the right choice if you prefer research that seeks practical and tangible solutions to challenges in the field of art education. [1] This is a rigorous program in keeping with expectations of doctoral-level work at Indiana University Bloomington. [1] It demands a substantial commitment and offers access to the university's vast intellectual resources. [1] It provides not only course work but also opportunities to conduct research, participate in scholarly publication, and gain teaching experiences in higher education. [1] This degree is fully available online. [1]",https://education.indiana.edu/graduate/programs/doctoral/curriculum-instruction-art-education-edd.html,,Ed.D.,"Curriculum and Instruction – Specialization in Art Education (Ed.D., Residential or Online)",https://graduate.indiana.edu/degrees-programs/degrees.html,
Specialization in Art Education,"Impact the next generation of art teachers and help develop the research that demonstrates the importance of art education on students' overall academic performance. As a candidate for the Ph.D. in Art Education, you'll work with faculty partners to investigate how art is taught in real classroom settings, how gender and ethnic background affect art education, and how technology is changing the way we teach art. This 90-credit hour degree prepares you for a career as a university or college educator and researcher. [3]",https://education.indiana.edu/programs/graduate/doctoral/phd-art-education.html,,PhD,Curriculum and Instruction – Specialization in Art Education (Ph.D.),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,,"Curriculum and Instruction – Specialization in Mathematics Education (Ed.D., Online)",https://graduate.indiana.edu/degrees-programs/degrees.html,Failed to parse JSON response
Specialization in Mathematics Education,"The Ph.D. in Curriculum and Instruction with a specialization in Mathematics Education prepares students to conduct research and teach mathematics and mathematics education at colleges and universities. [4] The doctoral program, which consists of 90 credit hours, centers on K-12 mathematics teaching and learning. [4] Students develop skills for various roles in Mathematics Education, including research, teacher education, and curriculum development. [6] The curriculum includes learning new strategies to engage students, such as problem-based and discussion-rich teaching methods, and the appropriate use of technology in mathematics classrooms. [6]",https://education.indiana.edu/programs/graduate/doctoral/phd-mathematics-education.html,,Ph.D.,Curriculum and Instruction – Specialization in Mathematics Education (Ph.D.),https://graduate.indiana.edu/degrees-programs/degrees.html,
Specialization in Science Education,"This program is ideal for science educators who have already earned a master's degree but want to continue building their skills and knowledge. [5] Designed to train practitioners, this 60-credit hour degree program offers you the opportunity to apply research-based theories to practical settings related to teacher training and young learner's concepts of science, among other topics. [2, 5] You will also have the opportunity to deepen your knowledge in your chosen content area through advanced science coursework. [2, 5]",https://education.indiana.edu/academics/graduate-programs/doctoral/curriculum-instruction-science-education-edd.html,,Ed.D.,"Curriculum and Instruction – Specialization in Science Education (Ed.D., Residential or Online)",https://graduate.indiana.edu/degrees-programs/degrees.html,
Specialization in Science Education,"The Ph.D. in Curriculum and Instruction with a Specialization in Science Education is designed to build upon your passion for science while developing the knowledge and skills to effectively engage others in the learning and doing of science across a variety of contexts. [3, 4] Through the program, you will engage in critical study of learning and teaching across all science disciplines. [3, 4] You will have the opportunity to participate in research projects and teaching experiences aimed at improving science learning for all ages and across a range of settings. [3, 4] Graduates from the program have found rewarding careers in science education within K-12 educational settings, higher education, as well as informal/free-choice science contexts. [3, 4]",https://education.indiana.edu/graduate/doctoral/curriculum-instruction-science-education-phd.html,,Ph.D.,Curriculum and Instruction – Specialization in Science Education (Ph.D.),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,Masters,Cybersecurity (Master's Degree Program),https://graduate.indiana.edu/degrees-programs/degrees.html,
,"By taking classes with both the O'Neill School and the Center for Evaluation, Policy, and Research within the IU Office of the Vice President for Research, you'll develop a strong understanding of qualitative and quantitative research methods so that you can take an evidence-based approach to determining what makes programming effective and valuable for your organization. This program can be completed in one calendar year, but—like all O'Neill School programs—includes curriculum designed to challenge you in order to help you achieve your career goals.",https://oneill.indiana.edu/online/online-certificates/public-nonprofit-evaluation.html,,Graduate Certificate,Data Analytics and Program Evaluation (MS Online),https://oneill.indiana.edu/online/online-certificates/public-nonprofit-evaluation.html,
,"The Master of Science in Data Science program at Indiana University is designed for students who want to become data professionals with the vision and skills to solve problems by transforming information into insight. The program provides a holistically trained expertise to use data to unite communities, prevent disasters, transform industries, and improve lives. Students learn to mine large datasets, visualize findings, and manage high-throughput systems, while also exploring how data science drives smarter decisions in fields like health care, business, and tech. The curriculum covers the entire pipeline of data analysis, from data processing and storage to modeling, machine learning, and visualization, with a strong foundation in ethical, real-world applications. Graduates are prepared for a variety of roles, including data scientists, analysts, engineers, business intelligence analysts, programmers, software developers, and solutions architects.",https://luddy.indiana.edu/programs/master-of-science-in-data-science/index.html,"Indiana University is accredited by the Higher Learning Commission (HLC). [4, 6]",,Data Science (Master's Degree Program),https://graduate.indiana.edu/degrees-programs/degrees.html,
