QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,The American Sentinel College of Nursing & Health Sciences,1.0,4.0,3.0,,"Fall, Spring, Summer",,,"$8,040 total program tuition",,670,,,,12 credit hours,"$8,040 total program tuition",Graduate Certificate in Infection Prevention and Control,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,0.0,4.0,3.0,,"Fall, Spring, Summer",,,8040,,670,,,Alumni,,,Graduate Certificate in Leadership,https://post.edu/academics/online-graduate-degrees/
,The School of Education,2.0,4.0,3.0,,,,,,,670,,Up to 15%,"Alumni-based, Legacy-based, Military-based",6 months,10050,Graduate Certificate in Learning Design and Technology,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,1.0,4.0,3.0,,Multiple start dates year-round,,,,,670,,,,,10050,Graduate Certificate in Marketing,https://post.edu/academics/online-graduate-degrees/
,The John P. Burke School of Public Service & Education,,4.0,2.5,,Six 8-week terms per year,,,"$8,040/Program",,670,,,,As little as six months,"$8,040/Program",Graduate Certificate in Online Teaching,https://post.edu/academics/online-graduate-degrees/
,The John P. Burke School of Public Service and Education,,4.0,3.0,,"Six, 8-week terms per year",,,12060,,670,,,,12 months,12060,Graduate Certificate in Paralegal Studies,https://post.edu/academics/online-graduate-degrees/
,School of Arts and Sciences,2.0,4.0,3.0,,Six 8-week modules per year,,,12060,,670,,,"Alumni, Family, Military",As little as eight months,12060,Graduate Certificate in Professional Counseling,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,,4.0,3.0,,Multiple terms throughout the year,,,10050,,670,,,,,10050,Graduate Certificate in Project Management,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,,4.0,2.5,,Multiple start dates per year,,,10050,,670,,,Military Discounts,,10050,Graduate Certificate in Social Media Marketing,https://post.edu/academics/online-graduate-degrees/
,School of Education,,4.0,3.0,,Rolling,,,10050,,670,,15%,"Alumni, Military, Partner",As few as eight months,10050,Graduate Certificate in Special Education,https://post.edu/academics/online-graduate-degrees/
,The School of Arts & Sciences,2.0,4.0,3.0,,Multiple start dates per year,,,,,$670 per credit hour,,,,,8040,Graduate Certificate in Strategic Communication,https://post.edu/academics/online-graduate-degrees/
,The School of Education,0.0,4.0,2.5,,Multiple starts per year,,,10050,,670,,15,"Institutional Grants, Legacy, Alumni, First-Generation",,10050,Graduate Certificate in Teaching English Language Learners (TELL),https://post.edu/academics/online-graduate-degrees/
